Protein ID,H53_EL_RM_vs_H53_LL_RM,H53_EL_RM_vs_H53_LL_RM_PEP,2174_EL_RM_vs_2174_LL_RM,2174_EL_RM_vs_2174_LL_RM_PEP,2176_EL_RM_vs_2176_LL_RM,2176_EL_RM_vs_2176_LL_RM_PEP,H53_EL_RM_vs_2174_EL_RM,H53_EL_RM_vs_2174_EL_RM_PEP,2176_LL_RM_vs_H53_LL_RM,2176_LL_RM_vs_H53_LL_RM_PEP,H53_EL_RM_vs_H53_EL_CM,H53_EL_RM_vs_H53_EL_CM_PEP,2176_EL_RM_vs_2176_EL_CM,2176_EL_RM_vs_2176_EL_CM_PEP,H53_EL_RM_vs_2176_EL_RM,H53_EL_RM_vs_2176_EL_RM_PEP,H53_EL_CM_vs_2176_EL_CM,H53_EL_CM_vs_2176_EL_CM_PEP,H53_LL_RM_vs_H53_EL_CM,H53_LL_RM_vs_H53_EL_CM_PEP
HVO_C0046 [D4H0D4] conserved hypothetical protein,0.854048684,0.274164796,0.151384666,0.504323513,0.099857305,0.486258959,0.953299043,0.706256285,0.47035837,0.919757138,1.134683216,0.682433751,0.254963191,0.875758305,0.421643151,0.909163948,-0.515643009,0.960456312,0.132958438,0.455033369
HVO_C0045 [D4H0D3] conserved hypothetical protein,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
HVO_C0044 [D4H0D2] PLD domain protein,0.64551465,0.059586073,0.778143599,0.031837258,0.611820289,0.132563238,-0.038302512,0.918807289,0.124537265,0.956657071,0.432825359,0.682433751,0.366005316,0.872667883,-0.019814807,0.963079365,-0.150401617,0.978240552,-0.361971499,0.389227445
HVO_C0043 [D4H0D1] conserved hypothetical protein,1.683210951,0.000290921,1.793358622,0.000270027,1.822644011,0.000314563,-0.157810733,0.906605708,-0.097219333,0.967827914,0.263154423,0.666935637,0.1987092,0.867047277,0.03360801,0.981364907,-0.020732098,0.990901705,-1.610909938,0.000315019
HVO_C0042 [D4H0D0] helicase domain protein,1.88552986,0.000290921,1.887118534,0.000270027,1.983819045,0.000314563,0.069333739,0.960371609,-0.197513039,0.422834512,0.426745832,0.001299785,0.286082418,0.04526018,0.138636604,0.931637809,-0.050883568,0.993579314,-1.421266141,0.000315019
HVO_C0041 [D4H0C9] conserved hypothetical protein,0.263232865,0.43833581,-0.112587396,0.475461504,0.425058186,0.483927697,-0.659551521,0.834878937,0.236661014,0.935069931,-0.194410952,0.807960627,1.173147093,0.65926588,-0.840513648,0.868751288,0.528569683,0.948293532,-0.393523664,0.466657937
HVO_C0040 [D4H0C8] site-specific DNA-methyltransferase (cytosine-specific),-0.767334317,0.000290921,-1.029694344,0.000270027,-0.661369299,0.004406417,0.297031151,0.70089388,-0.199617625,0.907693221,0.498626482,0.045275165,0.393169476,0.012941436,0.120166255,0.968530312,0.106561092,0.986237241,1.07046088,0.000315019
HVO_C0038 [D4H0C6] conserved hypothetical protein,0.518425682,0.441630254,1.105992795,0.311223503,0.483239719,0.469620831,-0.678593223,0.829641625,0.098505462,0.928184885,0.056914074,0.799330013,0.126023978,0.892414686,0.029531745,0.927086983,0.032468982,0.957237858,-0.482650375,0.459349289
HVO_C0029 [D4H0B7] PIN domain protein,0.681419808,0.399358429,1.258283043,0.001891538,2.098523694,0.036896029,-0.922032292,0.814459913,-0.213679175,0.941527371,-0.625293025,0.748594846,0.443892732,0.864228475,-0.574000724,1,0.325955172,0.959532994,-1.21877871,0.252902475
HVO_C0028 [D4H0B6] conserved hypothetical protein,0.552440669,0.295943709,0.722409367,0.027729061,0.719433235,0.051763036,-0.073576224,0.892685594,0.016359544,0.964920782,0.253044746,0.834355123,0.377803244,0.894069246,-0.243010711,0.945992053,-0.186034345,0.973753123,-0.53866742,0.202764264
HVO_C0018 [D4H0A8] conserved hypothetical protein,0,1,5.798784903,1,0,1,0,1,6.238102701,1,0,1,0,1,0,1,0,1,0,1
HVO_C0017 [D4H0A7] (parA1) ParA domain protein,-0.386308971,0.253456221,-0.006928635,0.743655423,-0.002667988,0.746239774,-0.504337487,0.027889628,0.255121615,0.824609132,-0.472054596,0.157422436,0.163191915,0.910277103,-0.621332445,0.004432964,0.008354782,0.987435112,-0.107156489,0.643549149
HVO_C0012 [D4H0A3] conserved hypothetical protein,-1.261399375,0.230690568,-0.339441349,0.465807457,-0.190061696,0.433129114,-1.060589476,0.767987419,-0.283166125,0.924174329,-0.731551167,0.793493127,0.047265271,0.871771875,-0.336621482,0.919517257,-0.261526799,0.95521298,0.504635447,0.474970524
HVO_C0011 [D4H0A2] hypothetical protein,0.137864845,0.490403365,0.232183404,0.495897275,0.132358172,0.525651952,-0.070427522,0.870318181,0.187029592,0.925656126,-0.145697792,0.835476334,-0.079936747,0.91016636,-0.161246367,0.940128062,-0.12582574,0.961997667,-0.287423505,0.436134454
HVO_C0006 [D4H097] UPF0395 family protein,0.446681674,0.234734077,0.389318519,0.319009041,0.343844033,0.485925883,0.181813746,0.882021279,-0.030994287,0.967827914,-0.060618546,0.872476724,0.068615945,0.907363534,0.053327884,0.960206238,0.219269762,0.959063233,-0.515407633,0.296805869
HVO_C0002 [D4H093] conserved hypothetical protein,-1.561874871,0.094699408,0.233284976,0.518886533,0.347331967,0.415931951,-1.361166459,0.172949589,-0.069619123,0.936837223,-1.538404608,0.225331271,0.025657269,0.886381368,-1.565327953,0.749504358,0.288891557,0.960608139,-0.452895539,0.498620741
HVO_C0001 [D4H092] (orc10) Orc1-type DNA replication protein,-0.047574976,0.759759566,-0.144383254,0.63011708,0.071498228,0.744181141,0.001265439,0.959049353,-0.067207568,0.977007576,0.191968383,0.768361924,0.244505424,0.816934574,-0.042677877,0.978608969,-0.001707383,0.993682394,0.222243995,0.410007645
HVO_B0382 [D4GQ28] (tbp3) TATA-binding transcription initiation factor,3.482190663,0.000290921,3.09633187,0.000270027,3.618981483,0.000314563,0.376553492,0.562819231,0.184338057,0.934088152,1.542691814,0.001299785,1.454383485,0.002611017,-0.108076107,0.959311143,-0.374998473,0.9273246,-1.998979408,0.000315019
HVO_B0378 [D4GQ24] probable PPOX family oxidoreductase,0.928889286,0.090216133,0.950441447,0.096109759,0.887091135,0.151122125,-0.199677853,0.878739481,0.136776987,0.949077863,-0.282826451,0.815316428,-0.764273446,0.7764708,-0.041833829,0.94564426,-0.734480308,0.945657222,-1.116831112,0.333069083
HVO_B0376 [D4GQ22] probable oxidoreductase (aldo-keto reductase family protein),0.723599958,0.000290921,0.889416027,0.000270027,0.755243163,0.000314563,-0.337696878,0.001899474,-0.035132169,0.992097074,-0.239445522,0.183226204,-0.113549931,0.95184759,0.048210212,0.989354889,0.158297624,0.966325863,-1.018930297,0.000315019
HVO_B0375 [D4GQ21] Spo0M family protein,1.862707875,0.000290921,2.305186801,0.000270027,1.837312873,0.000314563,-0.375781307,0.639855005,-0.17984438,0.947179494,-0.33170912,0.635106884,-0.392334504,0.842412926,0.049391236,0.96677024,-0.049005994,0.978815223,-2.236934199,0.000315019
HVO_B0372 [D4GQ19] conserved hypothetical protein,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
HVO_B0371 [D4GQ18] (aldH1) aldehyde dehydrogenase,1.659062246,0.000290921,1.332515533,0.000270027,1.360496826,0.000314563,0.18395783,0.81219221,0.188264112,0.908371728,0.370858533,0.146156915,0.316308298,0.702695909,0.068530219,0.976283525,-0.05348882,0.988979164,-1.271593763,0.000315019
HVO_B0369 [D4GQ16] ABC-type transport system periplasmic substrate-binding protein (probable substrate molybdate),1.785874434,1,1.930031367,1,1.978336396,1,-0.215626728,0.825810818,0,1,-0.101984966,0.806089601,0.322455642,0.877061475,-0.307401813,0.932145637,0.230553878,0.958852681,0,1
HVO_B0358 [D4GQ05] conserved hypothetical protein,-0.099516053,0.441959861,2.100540439,0.214745126,-0.618017045,0.458989177,-2.198063862,0.791017001,0.440332391,0.912120962,0.902046806,0.734466822,1.028631646,0.829589624,-0.005573428,0.927536584,0.167762636,0.961900034,1.054532348,0.240907916
HVO_B0357 [D4GQ04] polyamine aminopropyltransferase,0,1,6.400062457,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
HVO_B0354 [D4GQ01] conserved hypothetical protein,0.745838263,0.000290921,0.991042848,0.000270027,1.050309139,0.000314563,-0.063309703,0.933133864,-0.367395591,0.306216984,-0.116637351,0.897094433,-0.007403213,0.9387858,0.010281527,0.973013352,0.050677306,0.982157292,-0.829273992,0.000315019
HVO_B0353 [D4GQ00] probable carbon-nitrogen hydrolase,0.832495507,0.023359524,0.70368061,0.055266149,0.850454821,0.106712485,-0.239407868,0.85889134,0.476923701,0.709561663,-0.425418029,0.674451379,-0.07824087,0.91808968,-0.31357986,0.923676197,0.009159679,0.969923836,-1.26206011,0.000315019
HVO_B0352 [D4GPZ9] cupin 2 barrel domain protein,1.163712085,0.086633663,0.937600029,0.10459797,0.818032681,0.220919166,0.033762575,0.919807978,0.089931974,0.958306099,0.505409341,0.744218255,0.571865123,0.848882811,0.020677181,0.960923858,0.301758227,0.97253632,-0.74252862,0.112595105
HVO_B0347 [D4GPZ4] GFO family oxidoreductase,0.720406659,0.175172541,0.869358427,0.288024541,0.565633244,0.309872809,-0.183115093,0.847882546,0.31985776,0.911796537,-0.025789935,0.826945056,0.019006559,0.905879562,-0.28549393,0.938213854,0.03859299,0.963574021,-0.675247655,0.413971315
HVO_B0346 [D4GPZ3] homolog to mandelate racemase / homolog to muconate lactonizing enzyme,0.331415253,0.430112665,0.569375259,0.38225879,0.616381043,0.395472311,0.064025958,0.836897443,0.008115564,0.931064493,0.131027307,0.796102662,-0.208848027,0.879347442,-0.437414972,0.911273743,0.061262212,0.964315555,-0.887997808,0.356014723
HVO_B0345 [D4GPZ2] homolog to mandelate racemase / homolog to muconate lactonizing enzyme,1.520468945,0.114795369,1.524781832,0.001891538,1.487214067,0.000314563,0.370357702,0.836349086,-0.239327047,0.930203065,0.887190763,0.37796361,0.538500744,0.756690628,0.279162984,0.932650022,0.004602113,0.980702622,-0.623793093,0.076278381
HVO_B0344 [D4GPZ1] UspA domain protein,0,1,0,1,1.570931758,0.27307548,0,1,0.566993196,0.853689127,0,1,-0.523979394,0.877493076,0,1,-0.31704162,0.979143053,-2.77051134,0.115468681
HVO_B0343 [D4GPZ0] (lplD) alpha-galacturonidase,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
HVO_B0333 [D4GPY0] GFO family oxidoreductase,-0.220074234,0.434057466,2.04293322,0.000270117,1.120322861,0.129367523,-2.206516691,0.794888598,0.558472783,0.777300673,-0.908049351,0.798473108,0.435866815,0.88131601,-1.171596816,0.901286137,0.459919139,0.967565641,-1.270242473,0.268487449
HVO_B0331 [D4GPX8] (dppD15) ABC-type transport system ATP-binding protein (probable substrate dipeptide/oligopeptide),0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
HVO_B0325 [D4GPX2] glycoside hydrolase domain protein,0,1,0,1,0,1,0,1,-0.175268099,0.925564311,0,1,0,1,0,1,0,1,2.03992776,1
HVO_B0324 [D4GPX1] conserved hypothetical protein,0.729900424,0.000290921,0.969464031,0.000270027,0.674099909,0.000314563,-0.286277012,0.629925212,0.240574835,0.804628371,-0.118470381,0.887231423,0.118210197,0.946604189,-0.218076852,0.892244816,-0.027041676,0.989248304,-0.839704823,0.000315019
HVO_B0321 [D4GPW8] GFO family oxidoreductase,0.524232784,0.008741259,0.676868727,0.004055349,0.418839952,0.096839795,-0.453465579,0.489909682,0.247815776,0.899748099,-0.410212631,0.533669434,-0.081508228,0.940229628,-0.096858413,0.968866264,0.2319236,0.972096092,-0.965223902,0.000315019
HVO_B0320 [D4GPW7] IclR family transcription regulator,0,1,0,1,0,1,0,1,-0.072730971,0.926568522,0,1,0,1,0,1,-0.764967574,0.954044557,-1.15981041,0.41231957
HVO_B0319 [D4GPW6] IclR family transcription regulator,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
HVO_B0318 [D4GPW5] (tsgA13) ABC-type transport system periplasmic substrate-binding protein (substrate glucose),0.673094352,0.417648842,1.553942147,0.268718158,0.260767323,0.547428035,-0.570320609,0.787774292,0.556081137,0.899748099,0.300165716,0.785962686,1.051506017,0.819715738,-0.32781822,0.921575502,0.489855041,0.962817781,-0.179759786,0.515313625
HVO_B0311 [D4GPV8] XdhC family protein (nonfunctional),0.761045359,0.439323831,0.890351192,0.377454662,1.88128701,0.15176281,-0.68196096,0.794436813,-0.006178761,0.923705624,0.094244135,0.805253837,0.930833558,0.852015401,-0.911219934,0.910391759,-0.050656446,0.967185381,-0.59269812,0.13977231
HVO_B0300 [D4GPU7] (pucL1) uricase,0.120209238,0.551357963,0.081231499,0.543471004,0.193951059,0.477270402,0.11299978,0.889882763,-0.16386839,0.951893992,-0.129553013,0.830961644,0.504639913,0.829589624,-0.299979335,0.926453095,0.28037297,0.954981848,-0.092677171,0.583746328
HVO_B0295 [D4GPU2] (ugpC) ABC-type transport system ATP-binding protein (probable substrate glycerol-3-phosphate),3.13880998,1,-0.697277637,0.407077117,-0.039079386,0.450692274,0.71489674,1,0,1,3.083283707,1,-1.430761604,0.841861023,-1.762135376,0.872790146,-1.227039959,0.90380018,-0.03211284,0.468984678
HVO_B0292 [D4GPT9] (ugpB) ABC-type transport system periplasmic substrate-binding protein (probable substrate glycerol-3-phosphate),-0.774895072,0.227893908,-0.697593407,0.141188127,-0.394754447,0.337656596,0.076181546,0.886618734,-0.320441724,0.921610589,-0.156410246,0.83266401,-0.090872278,0.922851276,0.019537987,0.950679894,0.042429396,0.97202216,0.315913564,0.61207755
HVO_B0289 [D4GPT6] (bioB) biotin synthase,-0.57436507,0.177315358,-0.295038195,0.312156373,-0.77568978,0.017639503,-0.028799781,0.903796303,0.251537661,0.934988602,0.291527907,0.571133817,-0.000872903,0.933343785,-0.171421422,0.953772166,-0.418163936,0.906999292,0.948749127,0.000315019
HVO_B0287 [D4GPT4] TRAM domain protein,-0.110984753,0.636532859,-0.295353105,0.27819765,-0.281183567,0.371116115,0.218023647,0.791017001,0.187974085,0.937862174,-0.017343562,0.885418794,-0.069209044,0.956679504,0.006907635,0.960372603,-0.081941174,0.981861295,0.083031535,0.662892915
HVO_B0285 [D4GPT2] (tfb3) transcription initiation factor TFB,2.481399036,1,0,1,0,1,4.476377247,1,2.889648578,1,7.633514519,1,0,1,2.825286948,1,0,1,0,1
HVO_B0283 [D4GPT0] HTH-10 family transcription regulator,-0.638704758,0.37080099,-0.837633054,0.390287772,-0.746448669,0.440746482,-0.033906986,0.867261678,-0.105527109,0.923893432,-0.07615862,0.640498894,-0.187889098,0.88851222,0.205346033,0.930093309,0.097138264,0.980134439,0.5808078,0.009143263
HVO_B0279 [D4GPS6] probable S-adenosylmethionine-dependent methyltransferase,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,2.359441782,1
HVO_B0277 [D4GPS4] HTH domain protein,0.071546768,0.564283424,0.480592497,0.23029174,0.356303604,0.486925149,-0.591360432,0.727845548,0.318318714,0.917050085,-0.753041851,0.58880233,-0.074082484,0.90656676,-0.606570161,0.907346146,-0.005152667,0.968190638,-0.696153192,0.215998746
HVO_B0273 [D4GPS0] sensor box histidine kinase,-0.235628002,0.468757065,-1.179692839,0.351682818,-0.729538529,0.436771366,-0.053214127,0.847365829,0.572955953,0.929244341,0.0588122,0.810845394,0.171246607,0.897928909,-0.098115307,0.934470531,-0.027341627,0.964997764,0,1
HVO_B0268 [D4GPR5] monooxygenase (homolog to alkanesulfonate monooxygenase),0.380023712,0.38699924,0.680553115,0.154197655,0.630852548,0.175823401,-0.737067862,0.711507411,0.197468769,0.901709224,-0.47683295,0.761594423,0.12260185,0.901672053,-0.441704869,0.918618784,0.031738362,0.975129496,-0.869334397,0.072464378
HVO_B0267 [D4GPR4] peptidase M24 family protein (homolog to ectoine hydrolase),0.721664071,0.344391724,0.849470584,0.318697111,0.863723848,0.228350609,-0.323927549,0.843178745,0.327514919,0.930116394,-0.130176645,0.807960627,-0.019154015,0.896448964,-0.201359504,0.928516515,-0.042901548,0.965087795,-0.822043755,0.31606232
HVO_B0266 [D4GPR3] (gdhA3) glutamate dehydrogenase (NAD),-0.067402037,0.76011846,-0.332945483,0.022809567,-0.188851223,0.426179984,0.318951197,0.035111468,-0.037498188,0.986190832,0.305380477,0.052526185,0.072975199,0.968461499,0.20070707,0.799602581,-0.005350243,0.993004043,0.421718267,0.002521315
HVO_B0264 [D4GPR1] (serA4) probable D-2-hydroxyacid dehydrogenase,0.013938937,0.459471664,0,1,-0.72569593,0.464967876,3.999118138,1,0.072670153,0.926930574,7.560504195,1,1.645299394,1,0.490356556,0.91247168,0,1,3.953945047,1
HVO_B0263 [D4GPR0] M20 family amidohydrolase (homolog to indole-3-acetyl-aspartate hydrolase),0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
HVO_B0261 [D4GPQ8] pyridoxal phosphate-dependent aminotransferase,-0.814793611,0.423547452,-0.818828254,0.450574425,-1.079034294,0.220596207,-0.030245112,0.880887132,0.155483351,0.925380364,0.267545374,0.794365728,0.194157477,0.890608366,0.128157733,0.924052205,0.095365965,0.969647424,1.013085028,0.373098751
HVO_B0259 [D4GPQ6] conserved hypothetical protein,0.016269059,0.694645104,-0.064692664,0.654781554,-0.156476188,0.557496952,-0.055028073,0.942027127,0.166145109,0.961756652,-0.08830474,0.89287811,-0.074010553,0.945649329,0.020741101,0.974024377,0.014441689,0.982157292,-0.140969819,0.642871177
HVO_B0257 [D4GPQ4] pyridoxal phosphate-dependent aminotransferase,0.167159375,0.624393988,0.135954183,0.592704194,-0.069330091,0.673111736,-0.190627401,0.88398747,0.057285423,0.963546556,0.106073738,0.88677961,-0.019617039,0.94073442,0.064410993,0.966670841,-0.039210023,0.981589558,0.009643739,0.757837098
HVO_B0256 [D4GPQ3] (aor3) aldehyde ferredoxin oxidoreductase,-2.443702608,0.000290921,-1.937796819,0.000270027,-2.621408203,0.000314563,-0.339687093,0.005682505,-0.007095175,0.979489029,-0.72402261,0.001299785,-0.47327678,0.002611017,0.108398311,0.966968521,0.36949921,0.008625803,1.89477446,0.000315019
HVO_B0255 [D4GPQ2] IclR family transcription regulator,0.481007086,0.444927667,0.34119481,0.578037724,-0.250972346,0.618832393,-0.538340127,0.001899474,0.601505078,0.887043423,-0.313438945,0.767164995,0.069401185,0.928365509,-0.2258905,0.920307589,0.183645856,0.961900034,-0.414338333,0.511304478
"HVO_B0253 [D4GPQ1] (suhB3) probable inositol-1(or 4)-monophosphatase / fructose-1,6-bisphosphatase, archaeal-type",0.572436379,0.000290921,0.742661595,0.000270027,0.6184584,0.000314563,-0.032293881,0.961517309,0.064962293,0.980291192,0.060415841,0.923265899,0.07083015,0.956034824,-0.069386038,0.978168283,-0.09657372,0.985534609,-0.509757768,0.000315019
HVO_B0248 [D4GPP7] probable oxidoreductase (short-chain dehydrogenase family),0.157239908,0.571787172,-0.289089983,0.187206713,-0.292594614,0.330129757,-0.033275691,0.951609578,0.262953719,0.887325786,0.335611125,0.413588256,0.030521222,0.956250205,0.140236104,0.961252197,-0.107788212,0.978423193,0.174988012,0.533042303
HVO_B0245 [D4GPP6] (mobA1) molybdenum cofactor guanylyltransferase,0.677890361,0.398381174,0.693103044,0.407077117,1.043202982,0.259763219,0.042535805,0.852467987,-0.179882782,0.939488376,0.015200388,0.769791703,0.409520961,0.877061475,-0.281106764,0.923958372,0.150635954,0.960658618,-0.417158493,0.48528894
HVO_B0239 [D4GPP0] (fdh) formaldehyde dehydrogenase,0,1,-0.275270836,0.452225442,4.976924167,1,0,1,0,1,0,1,-0.387583032,0.867511602,0,1,0,1,0,1
HVO_B0233 [D4GPN4] (xsa) alpha-L-arabinofuranosidase,0.551869348,0.031866601,0.609089657,0.005408843,0.717927596,0.026157464,0.067338881,0.921570235,-0.015968481,0.972923565,0.457967703,0.588391041,0.349232707,0.834112052,-0.105025608,0.964387668,0.001091906,0.983156974,-0.131939337,0.621541248
HVO_B0228 [D4GPM9] (tsgA9) ABC-type transport system periplasmic substrate-binding protein (probable substrate sugar),0,1,1.025208401,0.106299573,1.160553942,0.334710526,0,1,0.031467489,0.957839264,0,1,0.685103233,0.872667883,0,1,-0.706794623,0.956181402,-0.640894372,0.337980984
HVO_B0227 [D4GPM8] (tsgD9) ABC-type transport system ATP-binding protein (probable substrate sugar),1.495878112,0.206834532,0.799752681,0.286793859,1.494788186,0.012911016,0.312025672,0.902309932,-0.13874943,0.937233113,0.979147199,0.784612359,0.6814925,0.824522761,0.431734293,0.963079365,-0.325188302,0.963386357,-0.28949578,0.520661963
HVO_B0223 [D4GPM4] conserved hypothetical protein,1.105260615,0.205290976,0.398081197,0.390287772,0.749535677,0.123937568,0.520190269,0.818115768,0.295067924,0.928892776,0.660443011,0.636191886,0.512686286,0.860217589,0.092318919,0.933234165,-0.300924173,0.963760766,-0.306453391,0.516650409
HVO_B0222 [D4GPM3] PQQ repeat protein,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1.861266114,1
HVO_B0221 [D4GPM2] (livF6) ABC-type transport system ATP-binding protein (probable substrate branched-chain amino acids),0,1,0,1,0,1,0,1,0.71442474,0.838044726,0,1,0,1,0,1,0,1,0.649051843,1
HVO_B0220 [D4GPM1] (livG6) ABC-type transport system ATP-binding protein (probable substrate branched-chain amino acids),0,1,0,1,0,1,0,1,0.168977031,0.921320696,0,1,0,1,0,1,0,1,1.60448161,1
HVO_B0217 [D4GPL8] (livJ6) ABC-type transport system periplasmic substrate-binding protein (probable substrate branched-chain amino acids),0,1,0,1,0,1,0,1,0.771527132,0.878950623,0,1,0,1,0,1,10.4051543,1,-1.763283649,0.368167274
HVO_B0216 [D4GPL7] UPF0261 family protein,0,1,0,1,0,1,0,1,0.606214697,0.771042993,0,1,0,1,0,1,0,1,-1.718115812,0.392193059
HVO_B0213 [D4GPL4] myo-inositol-1-phosphate synthase,0.384700367,0.451531418,1.312806538,0.004867343,0.044127616,0.509606106,-0.499291462,0.819719116,0.602960176,0.589993389,0.393192174,0.764997937,-0.291603324,0.904609396,0.723104766,0.92109022,-0.211533945,0.97008081,-0.778987774,0.374743189
HVO_B0211 [D4GPL2] TatD domain protein,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
HVO_B0202 [D4GPK3] sensor box protein,0.927059016,0.380835381,1.452420974,0.000270027,2.2326063,0.004406417,0.180632441,0.867877341,0.166547235,0.94634966,0.519827335,0.774506782,1.002105494,0.770947426,-0.280223584,0.94359117,-0.354969268,0.966672099,-0.849637511,0.15483616
