"Protein.ID","Fold_Change_Averages"
"HVO_A0429 [D4GR93] homolog to D-aminoacylase",0
"HVO_A0450 [-] UspA domain protein (nonfunctional)",0
"HVO_A0467 [D4GRD2] RND superfamily permease",0
"HVO_A0480 [D4GRE5] (pstB2) ABC-type transport system ATP-binding protein (probable substrate phosphate)",0
"HVO_A0481 [D4GRE6] (phoU4) PhoU domain protein",0
"HVO_A0495 [D4GRF8] (boa7) HTH-10 family transcription regulator",0
"HVO_A0528 [D4GRJ0] EthD domain protein",0
"HVO_A0539 [D4GRK1] CopG domain protein",0
"HVO_A0566 [D4GRM7] (leuD2) 3-isopropylmalate dehydratase small subunit",0
"HVO_A0608 [-] spurious ORF",0
"HVO_A0610 [D4GRR9] (znuC2) ABC-type transport system ATP-binding protein (probable substrate zinc)",0
"HVO_A0617 [D4GRS5] DMT superfamily transport protein",0
"HVO_B0006 [D4GP07] conserved hypothetical protein",0
"HVO_B0023 [D4GP24] (dppC10) ABC-type transport system permease protein (probable substrate dipeptide/oligopeptide)",0
"HVO_B0038 [D4GP39] (tsgD7) ABC-type transport system ATP-binding protein (probable substrate sugar)",0
"HVO_B0086 [D4GP88] AlkP-core domain protein",0
"HVO_B0094 [D4GP96] conserved hypothetical protein",0
"HVO_B0195 [D4GPJ6] hypothetical protein",0
"HVO_B0207 [D4GPK8] hypothetical protein",0
"HVO_B0211 [D4GPL2] TatD domain protein",0
"HVO_B0226 [D4GPM7] auxin permease family transport protein",0
"HVO_B0236 [D4GPN7] homolog to NADH dehydrogenase 51K subunit",0
"HVO_B0244 [D4GPP5] (aor1) aldehyde ferredoxin oxidoreductase",0
"HVO_B0265 [D4GPR2] FAD-dependent oxidoreductase (GlcD/DLD_GlcF/GlpC domain fusion protein)",0
"HVO_B0282 [D4GPS9] probable transmembrane glycoprotein / HTH domain protein",0
"HVO_B0291 [D4GPT8] (glpQ2) glycerophosphodiester phosphodiesterase",0
"HVO_B0294 [D4GPU1] (ugpE) ABC-type transport system permease protein (probable substrate glycerol-3-phosphate)",0
"HVO_B0308 [D4GPV5] (coxS) molybdopterin-containing oxidoreductase small subunit",0
"HVO_B0317 [D4GPW4] (adeC) adenine deaminase",0
"HVO_B0319 [D4GPW6] IclR family transcription regulator",0
"HVO_B0326 [D4GPX3] conserved hypothetical protein",0
"HVO_B0335 [D4GPY2] major facilitator superfamily transport protein",0
"HVO_B0337 [D4GPY4] SAF domain protein",0
"HVO_B0340 [D4GPY7] conserved hypothetical protein",0
"HVO_B0343 [D4GPZ0] (lplD) alpha-galacturonidase",0
"HVO_B0348 [D4GPZ5] dihydrodipicolinate synthase family protein",0
"HVO_B0372 [D4GQ19] conserved hypothetical protein",0
"HVO_C0009 [D4H0A0] hypothetical protein",0
"HVO_C0045 [D4H0D3] conserved hypothetical protein",0
"HVO_C0080 [D4H0G0] ISH16-type transposase ISHvo8",0
"HVO_0510 [D4GS47] (mptD) dihydroneopterin aldolase, archaeal-type",0.0218820436666667
"HVO_0762 [D4GTQ7] NUDIX family hydrolase",0.0305906986923077
"HVO_B0133 [D4GPD4] conserved hypothetical protein",0.0330168661333333
"HVO_1514 [D4GYG0] conserved hypothetical protein",0.0454909894615385
"HVO_2795 [D4GX16] GNAT family acetyltransferase",0.0493057279333333
"HVO_0006 [D4GYK2] acetyltransferase domain protein",0.0503531464615385
"HVO_1032 [D4GVK8] (trm9) tRNA (carboxymethyluridine(34)-5-O)-methyltransferase",0.0508191768461538
"HVO_0204 [D4GZE9] sensor box histidine kinase",0.0547646812
"HVO_0962 [D4GV69] HTH domain protein",0.064521149875
"HVO_0427 [D4GRW8] (rtcA) RNA 3'-terminal phosphate cyclase",0.0660435547692308
"HVO_2449 [D4GT22] DUF1684 family protein",0.0688554117692308
"HVO_0649 [D4GSQ9] small CPxCG-related zinc finger protein",0.0748946956
"HVO_0705 [D4GT56] GtrA family protein",0.0754822588666667
"HVO_2502 [D4GTS0] (hypE2) HypE family protein",0.07587281
"HVO_B0073 [D4GP75] Lrp/AsnC family transcription regulator",0.0765110323846154
"HVO_2887 [D4GXL6] (mscS4) mechanosensitive channel protein MscS",0.07787440125
"HVO_A0605 [D4GRR4] F420-dependent NADP oxidoreductase family protein",0.0788374167
"HVO_0931 [D4GV14] UspA domain protein",0.0829888639444444
"HVO_0663 [D4GSS3] probable S-adenosylmethionine-dependent methyltransferase",0.0834651053333333
"HVO_2089 [D4GUN7] conserved hypothetical protein",0.0845197860769231
"HVO_A0432 [D4GR98] conserved hypothetical protein",0.0849964217777778
"HVO_1475 [D4GYB0] probable rRNA methyltransferase",0.0888133854615385
"HVO_A0178 [D4GQK7] (atpD2) A-type ATP synthase subunit D",0.0899118677692308
"HVO_0863 [D4GUL0] SirR/DtxR family transcription regulator",0.0903778095384615
"HVO_B0221 [D4GPM2] (livF6) ABC-type transport system ATP-binding protein (probable substrate branched-chain amino acids)",0.0908984388666667
"HVO_2299 [D4GWG4] (speB) agmatinase",0.0913905585384615
"HVO_B0042 [D4GP44] (iucD) probable 1,3-diaminopropane N-3-monooxygenase",0.0917466417
"HVO_2403 [D4GWQ0] (gcvH) glycine cleavage system protein H",0.0920913227222222
"HVO_2729 [D4GW59] (ferB2) ferredoxin (3Fe-4S)(4Fe-4S), zinc-containing",0.092827419
"HVO_A0163 [D4GQJ2] (prr) proline racemase",0.0953815505
"HVO_A0322 [D4GQZ9] ABC-type transport system permease protein",0.098511031
"HVO_2666 [D4GV38] (thiD) phosphomethylpyrimidine kinase / phosphomethylpyrimidine phosphate kinase",0.101248765
"HVO_A0048 [D4GQ80] conserved hypothetical protein",0.101498392
"HVO_0386 [D4H012] conserved hypothetical protein",0.102531879333333
"HVO_1482 [D4GYC3] (ferA2) ferredoxin (2Fe-2S)",0.103185586153846
"HVO_0626 [D4GSM2] conserved hypothetical protein",0.104334998166667
"HVO_B0092 [D4GP94] (dppB12) ABC-type transport system permease protein (probable substrate dipeptide/oligopeptide)",0.106127512
"HVO_A0289 [D4GQW6] (ridA4) enamine/imine deaminase",0.1069527665
"HVO_0688 [D4GT28] conserved hypothetical protein",0.107051209230769
"HVO_1423 [D4GY11] homolog to phage PhiH1 repressor protein",0.107385634461538
"HVO_0110 [D4GYV6] sensor box histidine kinase",0.113527007
"HVO_2676 [D4GV53] HesB/IscA family iron-sulfur cluster assembly accessory protein",0.116356608615385
"HVO_0021 [D4GYL6] (thiP) ABC-type transport system permease protein (probable substrate thiamine)",0.1178769214
"HVO_1717 [D4H062] (queE) 7-carboxy-7-deazaguanine synthase",0.118115904846154
"HVO_0189 [D4GZD3] CobC/GpmA family phosphatase",0.119369139384615
"HVO_2984 [D4GY66] (trpY) probable repressor of tryptophan metabolism TrpY",0.119554167
"HVO_1829 [D4GST7] (pepB2) aminopeptidase (homolog to leucyl aminopeptidase / aminopeptidase T)",0.119820203125665
"HVO_B0017 [D4GP18] conserved hypothetical protein",0.120062470769231
"HVO_B0141 [D4GPE2] PQQ repeat protein",0.1220060119
"HVO_1551 [D4GYJ5] DUF151 family protein",0.1240779662
"HVO_2787 [D4GX01] small CPxCG-related zinc finger protein",0.125178233
"HVO_2601 [D4GUC0] (hit2) histidine triad family protein (homolog to bis(5'-nucleosyl)-tetraphosphatase)",0.125405528692308
"HVO_1058 [D4GVN7] (trkA2) TrkA domain protein",0.126565954514724
"HVO_1691 [D4H036] PRC domain protein",0.126633979692308
"HVO_2789 [D4GX07] (moaA) GTP 3',8-cyclase",0.131332096769231
