"Protein.ID","H53_EL_RM_vs_H53_LL_RM_PEP","X2174_EL_RM_vs_2174_LL_RM_PEP","X2176_EL_RM_vs_2176_LL_RM_PEP","H53_EL_RM_vs_2174_EL_RM_PEP","X2176_LL_RM_vs_H53_LL_RM_PEP","H53_EL_RM_vs_H53_EL_CM_PEP","X2176_EL_RM_vs_2176_EL_CM_PEP","H53_EL_RM_vs_2176_EL_RM_PEP","H53_EL_CM_vs_2176_EL_CM_PEP","H53_LL_RM_vs_H53_EL_CM_PEP"
"53","HVO_B0320 [D4GPW7] IclR family transcription regulator",1,1,1,1,0.926568522,1,1,1,0.954044557,0.41231957
"54","HVO_B0319 [D4GPW6] IclR family transcription regulator",1,1,1,1,1,1,1,1,1,1
"55","HVO_B0318 [D4GPW5] (tsgA13) ABC-type transport system periplasmic substrate-binding protein (substrate glucose)",0.417648842,0.268718158,0.547428035,0.787774292,0.899748099,0.785962686,0.819715738,0.921575502,0.962817781,0.515313625
"56","HVO_B0311 [D4GPV8] XdhC family protein (nonfunctional)",0.439323831,0.377454662,0.15176281,0.794436813,0.923705624,0.805253837,0.852015401,0.910391759,0.967185381,0.13977231
"57","HVO_B0300 [D4GPU7] (pucL1) uricase",0.551357963,0.543471004,0.477270402,0.889882763,0.951893992,0.830961644,0.829589624,0.926453095,0.954981848,0.583746328
"58","HVO_B0295 [D4GPU2] (ugpC) ABC-type transport system ATP-binding protein (probable substrate glycerol-3-phosphate)",1,0.407077117,0.450692274,1,1,1,0.841861023,0.872790146,0.90380018,0.468984678
"59","HVO_B0292 [D4GPT9] (ugpB) ABC-type transport system periplasmic substrate-binding protein (probable substrate glycerol-3-phosphate)",0.227893908,0.141188127,0.337656596,0.886618734,0.921610589,0.83266401,0.922851276,0.950679894,0.97202216,0.61207755
"60","HVO_B0289 [D4GPT6] (bioB) biotin synthase",0.177315358,0.312156373,0.017639503,0.903796303,0.934988602,0.571133817,0.933343785,0.953772166,0.906999292,0.000315019
"61","HVO_B0287 [D4GPT4] TRAM domain protein",0.636532859,0.27819765,0.371116115,0.791017001,0.937862174,0.885418794,0.956679504,0.960372603,0.981861295,0.662892915
"62","HVO_B0285 [D4GPT2] (tfb3) transcription initiation factor TFB",1,1,1,1,1,1,1,1,1,1
"63","HVO_B0283 [D4GPT0] HTH-10 family transcription regulator",0.37080099,0.390287772,0.440746482,0.867261678,0.923893432,0.640498894,0.88851222,0.930093309,0.980134439,0.009143263
"64","HVO_B0279 [D4GPS6] probable S-adenosylmethionine-dependent methyltransferase",1,1,1,1,1,1,1,1,1,1
"65","HVO_B0277 [D4GPS4] HTH domain protein",0.564283424,0.23029174,0.486925149,0.727845548,0.917050085,0.58880233,0.90656676,0.907346146,0.968190638,0.215998746
"66","HVO_B0273 [D4GPS0] sensor box histidine kinase",0.468757065,0.351682818,0.436771366,0.847365829,0.929244341,0.810845394,0.897928909,0.934470531,0.964997764,1
"67","HVO_B0268 [D4GPR5] monooxygenase (homolog to alkanesulfonate monooxygenase)",0.38699924,0.154197655,0.175823401,0.711507411,0.901709224,0.761594423,0.901672053,0.918618784,0.975129496,0.072464378
"68","HVO_B0267 [D4GPR4] peptidase M24 family protein (homolog to ectoine hydrolase)",0.344391724,0.318697111,0.228350609,0.843178745,0.930116394,0.807960627,0.896448964,0.928516515,0.965087795,0.31606232
"69","HVO_B0266 [D4GPR3] (gdhA3) glutamate dehydrogenase (NAD)",0.76011846,0.022809567,0.426179984,0.035111468,0.986190832,0.052526185,0.968461499,0.799602581,0.993004043,0.002521315
"70","HVO_B0264 [D4GPR1] (serA4) probable D-2-hydroxyacid dehydrogenase",0.459471664,1,0.464967876,1,0.926930574,1,1,0.91247168,1,1
"71","HVO_B0263 [D4GPR0] M20 family amidohydrolase (homolog to indole-3-acetyl-aspartate hydrolase)",1,1,1,1,1,1,1,1,1,1
"72","HVO_B0261 [D4GPQ8] pyridoxal phosphate-dependent aminotransferase",0.423547452,0.450574425,0.220596207,0.880887132,0.925380364,0.794365728,0.890608366,0.924052205,0.969647424,0.373098751
"73","HVO_B0259 [D4GPQ6] conserved hypothetical protein",0.694645104,0.654781554,0.557496952,0.942027127,0.961756652,0.89287811,0.945649329,0.974024377,0.982157292,0.642871177
"74","HVO_B0257 [D4GPQ4] pyridoxal phosphate-dependent aminotransferase",0.624393988,0.592704194,0.673111736,0.88398747,0.963546556,0.88677961,0.94073442,0.966670841,0.981589558,0.757837098
"75","HVO_B0256 [D4GPQ3] (aor3) aldehyde ferredoxin oxidoreductase",0.000290921,0.000270027,0.000314563,0.005682505,0.979489029,0.001299785,0.002611017,0.966968521,0.008625803,0.000315019
"76","HVO_B0255 [D4GPQ2] IclR family transcription regulator",0.444927667,0.578037724,0.618832393,0.001899474,0.887043423,0.767164995,0.928365509,0.920307589,0.961900034,0.511304478
"77","HVO_B0253 [D4GPQ1] (suhB3) probable inositol-1(or 4)-monophosphatase / fructose-1,6-bisphosphatase, archaeal-type",0.000290921,0.000270027,0.000314563,0.961517309,0.980291192,0.923265899,0.956034824,0.978168283,0.985534609,0.000315019
"78","HVO_B0248 [D4GPP7] probable oxidoreductase (short-chain dehydrogenase family)",0.571787172,0.187206713,0.330129757,0.951609578,0.887325786,0.413588256,0.956250205,0.961252197,0.978423193,0.533042303
"79","HVO_B0245 [D4GPP6] (mobA1) molybdenum cofactor guanylyltransferase",0.398381174,0.407077117,0.259763219,0.852467987,0.939488376,0.769791703,0.877061475,0.923958372,0.960658618,0.48528894
"80","HVO_B0239 [D4GPP0] (fdh) formaldehyde dehydrogenase",1,0.452225442,1,1,1,1,0.867511602,1,1,1
"81","HVO_B0233 [D4GPN4] (xsa) alpha-L-arabinofuranosidase",0.031866601,0.005408843,0.026157464,0.921570235,0.972923565,0.588391041,0.834112052,0.964387668,0.983156974,0.621541248
"82","HVO_B0228 [D4GPM9] (tsgA9) ABC-type transport system periplasmic substrate-binding protein (probable substrate sugar)",1,0.106299573,0.334710526,1,0.957839264,1,0.872667883,1,0.956181402,0.337980984
"83","HVO_B0227 [D4GPM8] (tsgD9) ABC-type transport system ATP-binding protein (probable substrate sugar)",0.206834532,0.286793859,0.012911016,0.902309932,0.937233113,0.784612359,0.824522761,0.963079365,0.963386357,0.520661963
"84","HVO_B0223 [D4GPM4] conserved hypothetical protein",0.205290976,0.390287772,0.123937568,0.818115768,0.928892776,0.636191886,0.860217589,0.933234165,0.963760766,0.516650409
"85","HVO_B0222 [D4GPM3] PQQ repeat protein",1,1,1,1,1,1,1,1,1,1
"86","HVO_B0221 [D4GPM2] (livF6) ABC-type transport system ATP-binding protein (probable substrate branched-chain amino acids)",1,1,1,1,0.838044726,1,1,1,1,1
"87","HVO_B0220 [D4GPM1] (livG6) ABC-type transport system ATP-binding protein (probable substrate branched-chain amino acids)",1,1,1,1,0.921320696,1,1,1,1,1
"88","HVO_B0217 [D4GPL8] (livJ6) ABC-type transport system periplasmic substrate-binding protein (probable substrate branched-chain amino acids)",1,1,1,1,0.878950623,1,1,1,1,0.368167274
"89","HVO_B0216 [D4GPL7] UPF0261 family protein",1,1,1,1,0.771042993,1,1,1,1,0.392193059
"90","HVO_B0213 [D4GPL4] myo-inositol-1-phosphate synthase",0.451531418,0.004867343,0.509606106,0.819719116,0.589993389,0.764997937,0.904609396,0.92109022,0.97008081,0.374743189
"91","HVO_B0211 [D4GPL2] TatD domain protein",1,1,1,1,1,1,1,1,1,1
"92","HVO_B0202 [D4GPK3] sensor box protein",0.380835381,0.000270027,0.004406417,0.867877341,0.94634966,0.774506782,0.770947426,0.94359117,0.966672099,0.15483616
"93","HVO_B0201 [D4GPK2] IclR family transcription regulator",0.052783109,0.1394593,0.001888182,0.189468898,0.884320339,0.755166336,0.851151885,0.96339603,0.976835326,0.358312572
"94","HVO_B0200 [D4GPK1] (aceB2) bifunctional malyl-CoA synthase / malyl-CoA thioesterase",0.000290921,0.000270027,0.000314563,0.912423609,0.771750803,0.680852532,0.648158918,0.956955697,0.981315262,0.013245106
"95","HVO_B0199 [D4GPK0] deaminase domain protein",0.238159105,0.095262749,0.42055859,0.886481298,0.843208239,0.808167716,0.889695518,0.943519262,0.971236019,0.198249751
"96","HVO_B0198 [D4GPJ9] ABC-type transport system periplasmic substrate-binding protein",0.000290921,0.000270027,0.000314563,0.001899474,0.97805547,0.001299785,0.002611017,0.985143922,0.008625803,0.000315019
"97","HVO_B0197 [D4GPJ8] ABC-type transport system permease protein",1,0.136005706,0.484926732,0.001899474,1,0.001299785,0.233463934,0.935927116,0.785969159,1
"98","HVO_B0196 [D4GPJ7] histidine kinase",0.383105059,0.392218852,1,0.849934865,1,0.661942534,0.864702226,0.924891683,0.938350594,0.480627527
"99","HVO_B0195 [D4GPJ6] hypothetical protein",1,1,1,1,1,1,1,1,1,1
"100","HVO_B0194 [D4GPJ5] LppX domain protein",0.000290921,0.013819674,0.000314563,0.915535758,0.957604561,0.827137746,0.933793236,0.963815611,0.97967197,0.000315019
"101","HVO_B0186 [D4GPI7] (dppC14) ABC-type transport system permease protein (probable substrate dipeptide/oligopeptide)",0.277942925,0.395118473,0.48525977,0.859698301,1,0.81491307,0.908267662,0.932398258,0.967100335,0.22763578
"102","HVO_B0185 [D4GPI6] (dppB14) ABC-type transport system permease protein (probable substrate dipeptide/oligopeptide)",0.387973438,1,1,0.844058958,1,0.774740505,0.884895825,0.931211963,0.963008244,0.203086818
"103","HVO_B0184 [D4GPI5] (dppA14) ABC-type transport system periplasmic substrate-binding protein (probable substrate dipeptide/oligopeptide)",0.235356564,0.509731956,0.363559952,0.886343747,0.928628064,0.804415474,0.892286512,0.947636866,0.969647424,0.189871833
"104","HVO_B0183 [D4GPI4] probable amino acid racemase (homolog to homoserine racemase)",0.26850508,0.494888124,0.505933106,0.879027441,0.958131436,0.804834981,0.951320601,0.944519175,0.976803371,0.602286393
"105","HVO_B0182 [D4GPI3] (dhs2) deoxyhypusine synthase",0.000290921,0.000270027,0.000314563,0.823671003,0.911253124,0.677347118,0.954074154,0.735545588,0.983491062,0.000315019
"106","HVO_B0174 [D4GPH5] conserved hypothetical protein",0.316900239,0.415517221,0.467958775,0.905634345,0.909379845,0.787529856,0.872816648,0.922632819,0.957292723,0.407366184
"107","HVO_B0173 [D4GPH4] (sph4) Smc-like protein Sph4",0.589240579,0.469797468,0.548769884,0.872575261,0.939488376,0.10884499,0.932982851,0.955293961,0.971799393,0.026510508
"108","HVO_B0167 [D4GPG9] (narJ) chaperonin-like protein",0.239717027,1,0.433460164,0.813019814,0.842574606,0.639069058,0.875903725,0.743971962,0.953866505,0.450056066
"109","HVO_B0156 [D4GPF8] conserved hypothetical protein",0.283302115,0.249574585,0.456333303,0.895699982,0.915921721,0.828865527,0.895827094,0.925169516,0.962865485,0.13497017
"110","HVO_B0154 [D4GPF6] receiver/sensor box histidine kinase",0.812881621,0.021445038,0.118830193,0.800893464,0.983419718,0.983634085,0.972809324,0.996863578,0.993733762,0.352733119
"111","HVO_B0153 [D4GPF4] CapB domain protein",0.000290921,0.001621216,0.001888182,0.064846623,0.983904615,0.001299785,0.784717625,0.887231178,0.921765865,0.422896063
"112","HVO_B0151 [D4GPF2] NikR family transcription regulator",0.442948862,0.423008891,0.479599874,0.789401862,0.928362456,0.774974036,0.884759932,0.915862327,0.962289106,0.534716641
"113","HVO_B0149 [D4GPF0] (ohyA) oleate hydratase",0.000290921,0.000270027,0.000314563,0.855296388,0.814724134,0.733393596,0.852873873,0.942504579,0.971122223,0.000315019
"114","HVO_B0148 [D4GPE9] HTH-10 family transcription regulator",0.003785152,0.010831402,0.005665816,0.886893258,0.963117404,0.791519614,0.905188407,0.949374083,0.966195178,0.052468301
"115","HVO_B0146 [D4GPE7] aminotransferase class V",0.003785152,0.001621216,0.000314563,0.878883523,0.970408224,0.855019612,0.927797936,0.918417763,0.973753123,0.020506975
"116","HVO_B0144 [D4GPE5] ABC-type transport system periplasmic substrate-binding protein",1,0.000270117,0.245499894,0.881171398,1,0.72632449,0.921252813,0.930439287,0.831507082,1
"117","HVO_B0143 [D4GPE4] receiver/sensor box histidine kinase",0.000290921,0.000270027,0.000314563,0.517219523,0.970026006,0.191898819,0.80205014,0.988743769,0.987390883,0.000315019
"118","HVO_B0142 [D4GPE3] ARM/HEAT repeat protein",0.275738531,0.034305947,0.033104387,0.751549695,0.95997017,0.884507077,0.85474497,0.923203645,0.978118186,0.31867661
"119","HVO_B0141 [D4GPE2] PQQ repeat protein",1,1,1,1,0.924733207,1,1,1,1,1
"120","HVO_B0140 [D4GPE1] PQQ repeat protein",1,0.146960684,1,1,0.937233113,1,1,1,0.953327887,0.37540105
"121","HVO_B0139 [D4GPE0] PQQ repeat protein",1,1,1,1,0.958014727,1,1,1,1,1
"122","HVO_B0138 [D4GPD9] PQQ repeat protein",1,0.209091384,0.285757598,1,0.907919966,1,1,1,1,1
"123","HVO_B0135 [D4GPD6] conserved hypothetical protein",0.000290921,0.000270027,0.000314563,0.88173847,0.95888487,0.786635409,0.002611017,0.923108793,0.966412729,0.000315019
"124","HVO_B0134 [D4GPD5] ABC-type transport system ATP-binding protein",0.000290921,0.000270027,0.000314563,0.906968385,0.959800044,0.037942282,0.425977137,0.978128032,0.97817943,0.000315019
"125","HVO_B0133 [D4GPD4] conserved hypothetical protein",1,1,1,1,0.937940432,1,1,1,1,1
"126","HVO_B0132 [D4GPD3] PQQ repeat protein",0.000290921,0.000270027,0.000314563,0.892685594,0.988274707,0.001299785,0.002611017,0.961142951,0.984910589,0.000315019
"127","HVO_B0131 [D4GPD2] HTH domain protein",0.575886509,0.217726515,0.000314563,0.908171118,0.944944287,0.893756963,0.942234039,0.907346146,0.974379668,0.48528894
"128","HVO_B0130 [D4GPD1] DUF296 family protein",0.00058206,0.077271134,0.058414204,0.148612484,0.953101679,0.551262635,0.924427152,0.840131489,0.974585884,0.066111426
"129","HVO_B0127 [D4GPC8] oxidoreductase (luciferase family protein)",0.000290921,0.000270027,0.000314563,0.868184349,0.944015493,0.625190157,0.919426936,0.934552219,0.973928363,0.000315019
"130","HVO_B0119 [D4GPC0] IclR family transcription regulator",1,1,1,1,1,1,1,1,1,1
"131","HVO_B0118 [D4GPB9] (sph2) Smc-like protein Sph2",0.189277792,0.629761439,0.874822629,0.020578635,0.975939079,0.001299785,0.191809964,0.940879444,0.991055376,0.019875267
"132","HVO_B0117 [D4GPB8] conserved hypothetical protein",0.659181046,0.173710153,0.472280786,0.769007738,0.963493076,0.074962986,0.711899736,0.982448329,0.989145127,0.000315124
"133","HVO_B0116 [D4GPB7] probable oxidoreductase (short-chain dehydrogenase family)",0.066995769,0.214745126,0.298132614,0.863678463,0.935394372,0.758150679,0.880335374,0.941770582,0.956462028,0.455033369
"134","HVO_B0115 [D4GPB6] fumarylacetoacetase family protein",0.391872847,0.435439044,0.42121974,0.78113679,0.91340665,0.638351959,0.867666033,0.805796658,0.954221873,0.460345569
"135","HVO_B0114 [D4GPB5] IclR family transcription regulator",0.505799555,0.117107196,0.01795483,0.828500379,0.853302797,0.653798629,0.96309355,0.94613067,0.985534609,0.009458721
"136","HVO_B0113 [D4GPB4] probable F420-dependent oxidoreductase",1,1,1,1,1,1,1,1,1,1
"137","HVO_B0111 [D4GPB3] homolog to mandelate racemase / homolog to muconate lactonizing enzyme",0.000290921,0.000270027,0.000314563,0.948671981,0.978221261,0.932505973,0.976148621,0.990770454,0.989412518,0.000315019
"138","HVO_B0110 [D4GPB2] oxidoreductase (homolog to zinc-containing alcohol dehydrogenase)",0.385051627,0.000540269,0.000314563,0.841405636,0.815511015,0.732316587,0.78575499,0.905136892,0.967900324,0.188583634
"139","HVO_B0109 [D4GPB1] (tsgD8) ABC-type transport system ATP-binding protein (probable substrate sugar)",1,0.011645972,0.033420293,1,0.92015081,1,1,1,0.964223653,0.011982793
"140","HVO_B0106 [D4GPA8] (tsgA8) ABC-type transport system periplasmic substrate-binding protein (probable substrate sugar)",1,1,1,1,0.945790892,1,1,1,1,0.361924686
"141","HVO_B0105 [D4GPA7] amidohydrolase domain protein",1,0.327134111,1,1,0.892542175,1,1,1,1,1
"142","HVO_B0104 [D4GPA6] homolog to L-rhamnose mutarotase",0.357572249,1,0.267877988,1,0.924547345,1,1,0.912795459,1,1
"143","HVO_B0102 [D4GPA4] glycoside hydrolase domain protein",0.312444685,0.006763195,0.000629347,0.843531334,0.945086099,0.756164488,0.920849611,0.947569133,0.925249709,0.114510717
"144","HVO_B0101 [D4GPA3] IclR family transcription regulator",0.621970921,0.649040176,0.411968234,0.916105007,0.939717775,0.821293877,0.937494895,0.960483259,0.971084207,0.542422648
"145","HVO_B0100 [D4GPA2] (aldH3) alpha-ketoglutarate semialdehyde dehydrogenase",0.311808628,0.288024541,0.458325132,0.836349086,0.873286698,0.711395497,0.889433504,0.923676197,0.949753432,0.451714857
"146","HVO_B0097 [D4GP99] dihydrodipicolinate synthase family protein",1,0.172248058,1,1,0.934662406,1,1,1,1,1
"147","HVO_B0096 [D4GP98] homolog to sugar epimerase/dehydratase",0.393824122,1,0.367830012,1,0.923517379,1,1,0.905840603,1,1
"148","HVO_B0095 [D4GP97] UspA domain protein",1,0.261710474,1,1,0.93275903,1,1,1,0.956629502,0.372441062
"149","HVO_B0093 [D4GP95] (dppA12) ABC-type transport system periplasmic substrate-binding protein (probable substrate dipeptide/oligopeptide)",0.000290921,0.000270027,0.000314563,0.908649562,0.986119833,0.760859888,0.336527057,0.967559253,0.986190965,0.000315019
"150","HVO_B0092 [D4GP94] (dppB12) ABC-type transport system permease protein (probable substrate dipeptide/oligopeptide)",1,1,1,1,0.924454252,1,1,1,1,1
"151","HVO_B0090 [D4GP92] (dppD12) ABC-type transport system ATP-binding protein (probable substrate dipeptide/oligopeptide)",0.049829461,0.368513444,0.263981939,0.8519642,0.95046784,0.824232228,0.881594863,0.941177755,0.963760766,0.120260083
