Protein ID,H26_vs_DksgA,H26_vs_DksgA_PEP,H26_vs_DksgA_KsgA,H26_vs_DksgA_KsgA_PEP,H26_vs_DksgA_ksgA_E84A,H26_vs_DksgA_ksgA_E84A_PEP,Row_Number
HVO_C0043 [D4H0D1] conserved hypothetical protein,0.545703303,0.215975184,-0.879629985,0.0098309,-0.649742213,0.13390866,20
HVO_C0042 [D4H0D0] helicase domain protein,0.436620951,0.215975184,-1.459896678,0.000244843,-1.611273699,0.000241787,21
HVO_C0040 [D4H0C8] site-specific DNA-methyltransferase (cytosine-specific),0.173863185,0.778944267,-0.91359719,0.000244925,-0.911625071,0.000483779,22
HVO_C0038 [D4H0C6] conserved hypothetical protein,-0.479592788,0.58273955,0.7389387,0.268366194,0.603918542,0.279444439,23
HVO_C0018 [D4H0A8] conserved hypothetical protein,-0.381521281,0.409627389,0.748390918,0.000489893,0.852390583,0.000241787,24
HVO_C0017 [D4H0A7] (parA1) ParA domain protein,0.050262639,0.87094558,0.856108464,0.000244843,0.833365064,0.000241787,25
HVO_C0012 [D4H0A3] conserved hypothetical protein,-0.965720101,0.04111302,1.267745631,0.02945342,1.263941043,0.018508919,26
HVO_C0007 [D4H098] conserved hypothetical protein,-1.296726116,0.428680902,1.488542568,0.053165784,1.068012954,0.106418818,27
HVO_C0006 [D4H097] UPF0395 family protein,-0.862160396,0.017985904,1.092455602,0.290030225,-0.695691147,0.360582359,28
HVO_C0002 [D4H093] conserved hypothetical protein,-0.583133912,0.465549388,0.968405295,0.000979959,1.191740844,0.000241787,29
HVO_C0001 [D4H092] (orc10) Orc1-type DNA replication protein,0.290793023,0.556083502,-1.271157008,0.000244843,-1.119300528,0.000241787,30
HVO_B0382 [D4GQ28] (tbp3) TATA-binding transcription initiation factor,-1.096360841,0.026034323,0.159085313,0.536795067,0.047844354,0.520102767,31
HVO_B0381 [D4GQ27] (tenA2) aminopyrimidine aminohydrolase,-0.838620839,0.43096535,0.093282846,0.445495616,0.173295004,0.448668197,32
HVO_B0380 [D4GQ26] (tenA1) aminopyrimidine aminohydrolase,-1.173594271,0.000825727,0.804971449,0.000734904,0.442877964,0.152452429,33
HVO_B0378 [D4GQ24] probable PPOX family oxidoreductase,0.24535016,0.688508339,0.369292584,0.374492383,0.693959422,0.374387728,34
HVO_B0376 [D4GQ22] probable oxidoreductase (aldo-keto reductase family protein),0.345593052,0.15861812,0.533245072,0.000734904,0.580192324,0.000241867,35
HVO_B0375 [D4GQ21] Spo0M family protein,-0.863050589,0.227177234,-1.637558309,0.023712002,-1.90440295,0.026379919,36
HVO_B0371 [D4GQ18] (aldH1) aldehyde dehydrogenase,-0.512895837,0.002475567,0.868988374,0.000244843,0.823933927,0.000241787,37
HVO_B0369 [D4GQ16] ABC-type transport system periplasmic substrate-binding protein (probable substrate molybdate),-0.849697322,0.695629018,-1.468479263,0.424511508,2.441430585,1,38
HVO_B0361 [D4GQ08] (dmsR) HTH-10 family transcription regulator DmsR,-0.805472503,0.538848307,0.051091687,0.460749062,-0.709361196,0.243522826,39
HVO_B0358 [D4GQ05] conserved hypothetical protein,-0.020884387,0.716387962,-1.227175645,0.317472622,-1.057611066,0.339185563,40
HVO_B0357 [D4GQ04] polyamine aminopropyltransferase,0.429858716,0.659568597,-1.375046427,0.000244843,6.137027872,1,41
HVO_B0356 [D4GQ03] DUF2617 family protein,-0.291422211,0.697040849,-0.750597804,0.367564174,-0.975572679,0.344119949,42
HVO_B0355 [D4GQ02] conserved hypothetical protein,0.720502082,0.686207825,4.578493279,1,5.844151114,1,43
HVO_B0354 [D4GQ01] conserved hypothetical protein,0.477332109,0.176689822,-2.285739848,1,-2.220826252,0.073578686,44
HVO_B0353 [D4GQ00] probable carbon-nitrogen hydrolase,-0.607723626,0.645078947,-1.590253004,0.326627786,-1.479440253,0.242369461,45
HVO_B0352 [D4GPZ9] cupin 2 barrel domain protein,0.201325003,0.75786255,0.728715093,0.145375952,1.063033181,0.104065452,46
HVO_B0347 [D4GPZ4] GFO family oxidoreductase,-0.463288547,0.660782974,-0.588337602,0.346961553,0.053412094,0.431883508,47
HVO_B0345 [D4GPZ2] homolog to mandelate racemase / homolog to muconate lactonizing enzyme,-0.189294601,0.72948216,-1.688428331,0.163391708,-1.473782699,0.09287696,48
HVO_B0344 [D4GPZ1] UspA domain protein,-0.308439779,0.539228624,1.748155937,0.03672633,2.197534038,0.000241787,49
HVO_B0340 [D4GPY7] conserved hypothetical protein,0,1,0,1,0,1,50
HVO_B0337 [D4GPY4] SAF domain protein,0,1,0,1,0,1,51
HVO_B0334 [D4GPY1] GFO family oxidoreductase,-0.242278427,0.707915125,-1.502079566,0.317472622,-0.910825249,0.384507962,52
HVO_B0331 [D4GPX8] (dppD15) ABC-type transport system ATP-binding protein (probable substrate dipeptide/oligopeptide),0.06895072,0.705981156,-2.231819553,0.294819854,-1.032816825,0.32447972,53
HVO_B0324 [D4GPX1] conserved hypothetical protein,-0.094595589,0.849811129,-0.802556267,0.003924003,-0.689227004,0.005817054,54
HVO_B0321 [D4GPW8] GFO family oxidoreductase,0.867894753,0.460354357,-1.444121435,0.164765617,-2.07807755,0.042012773,55
HVO_B0319 [D4GPW6] IclR family transcription regulator,0,1,0,1,0,1,56
HVO_B0318 [D4GPW5] (tsgA13) ABC-type transport system periplasmic substrate-binding protein (substrate glucose),-0.100259172,0.736805362,1.634205138,0.427119528,1.296626583,0.244388455,57
HVO_B0317 [D4GPW4] (adeC) adenine deaminase,0,1,0,1,0,1,58
HVO_B0308 [D4GPV5] (coxS) molybdopterin-containing oxidoreductase small subunit,0,1,0,1,0,1,59
HVO_B0306 [D4GPV3] (amaB4) amidase (hydantoinase/carbamoylase family),-1.02694831,0.62984833,0.13323799,0.412181301,-0.390912052,0.343502258,60
HVO_B0305 [D4GPV2] conserved hypothetical protein,-0.808014024,0.026034323,2.212332598,0.000244843,1.947384335,0.000241787,61
HVO_B0301 [D4GPU8] (pucL2) 2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase,-0.506353845,0.009858582,3.311017422,0.000244843,2.947385289,0.000241787,62
HVO_B0300 [D4GPU7] (pucL1) uricase,-0.55361831,0.619770417,2.335820095,0.000244843,1.58286157,0.000241787,63
HVO_B0299 [D4GPU6] (pucM) 5-hydroxyisourate hydrolase,3.114877371,1,4.340582743,0.254579737,2.252511032,0.095730449,64
HVO_B0295 [D4GPU2] (ugpC) ABC-type transport system ATP-binding protein (probable substrate glycerol-3-phosphate),2.316615309,1,1.300196699,1,1.458678434,1,65
HVO_B0292 [D4GPT9] (ugpB) ABC-type transport system periplasmic substrate-binding protein (probable substrate glycerol-3-phosphate),0.698437165,0.293754923,1.205151007,0.001470199,1.299289545,0.000241787,66
HVO_B0291 [D4GPT8] (glpQ2) glycerophosphodiester phosphodiesterase,0,1,0,1,0,1,67
HVO_B0287 [D4GPT4] TRAM domain protein,0.166475899,0.795444671,0.746659884,0.002205884,0.842020497,0.004603057,68
HVO_B0286 [D4GPT3] conserved hypothetical protein,0,1,0,1,0,1,69
"HVO_B0284 [D4GPT1] (tif1b) translation initiation factor aIF-1 (SUI1 protein, bacterial-type IF3)",0.375681426,0.724713779,2.964464098,0.000244843,3.370579591,0.000241787,70
HVO_B0283 [D4GPT0] HTH-10 family transcription regulator,-0.094248377,0.740424633,-1.075528386,0.24700681,-0.766289437,0.374387728,71
HVO_B0279 [D4GPS6] probable S-adenosylmethionine-dependent methyltransferase,-0.497887867,0.648507046,0.769734039,0.265422388,0.622727047,0.308409566,72
HVO_B0277 [D4GPS4] HTH domain protein,-0.266357466,0.61647793,1.910017357,0.000244843,2.012218611,0.000241787,73
HVO_B0273 [D4GPS0] sensor box histidine kinase,0,1,0,1,0,1,74
HVO_B0268 [D4GPR5] monooxygenase (homolog to alkanesulfonate monooxygenase),0.197406075,0.738876938,0.675234317,0.000244843,0.980035747,0.000241787,75
HVO_B0266 [D4GPR3] (gdhA3) glutamate dehydrogenase (NAD),-0.513497081,0.045035402,-1.81707949,0.000244843,-2.06797471,0.000241787,76
HVO_B0264 [D4GPR1] (serA4) probable D-2-hydroxyacid dehydrogenase,-0.288173745,0.670096918,-0.394422764,0.422883655,-0.19234254,0.406562368,77
HVO_B0261 [D4GPQ8] pyridoxal phosphate-dependent aminotransferase,0.074947996,0.739135243,-0.077644447,1,-0.934596681,1,78
HVO_B0259 [D4GPQ6] conserved hypothetical protein,-0.413521802,0.648817562,0.40490634,0.407984899,0.529352011,0.332120871,79
HVO_B0257 [D4GPQ4] pyridoxal phosphate-dependent aminotransferase,0.520636593,0.663806261,-0.732549268,0.400266707,-0.629673733,0.463297023,80
HVO_B0256 [D4GPQ3] (aor3) aldehyde ferredoxin oxidoreductase,0.140949417,0.837376343,-0.959272148,0.000244843,-0.954686571,0.000241787,81
"HVO_B0253 [D4GPQ1] (suhB3) probable inositol-1(or 4)-monophosphatase / fructose-1,6-bisphosphatase, archaeal-type",0.326380174,0.684475394,-0.353061635,0.454431214,-0.336398074,0.466641081,82
HVO_B0248 [D4GPP7] probable oxidoreductase (short-chain dehydrogenase family),1.18783675,0.000825727,2.390145971,0.000244843,2.383364295,0.000241787,83
HVO_B0245 [D4GPP6] (mobA1) molybdenum cofactor guanylyltransferase,-0.026028682,0.712033488,-1.26907882,0.353176137,0.872572776,1,84
HVO_B0244 [D4GPP5] (aor1) aldehyde ferredoxin oxidoreductase,0,1,0,1,0,1,85
HVO_B0237 [D4GPN8] conserved hypothetical protein,0.04570238,0.682156029,3.259441025,1,0.817927949,0.33856991,86
HVO_B0233 [D4GPN4] (xsa) alpha-L-arabinofuranosidase,0.062512563,0.765974673,0.069677201,0.543089779,0.394318478,0.365274522,87
HVO_B0227 [D4GPM8] (tsgD9) ABC-type transport system ATP-binding protein (probable substrate sugar),-0.380534355,0.045035402,0.983541708,1,1.498367264,1,88
HVO_B0226 [D4GPM7] auxin permease family transport protein,0,1,0,1,0,1,89
HVO_B0224 [D4GPM5] cupin 2 barrel domain protein,11.80099768,1,4.420871318,1,6.618523791,1,90
HVO_B0223 [D4GPM4] conserved hypothetical protein,0.267362721,0.742736615,-0.87005612,0.023712002,-0.738816492,0.026873402,91
HVO_B0217 [D4GPL8] (livJ6) ABC-type transport system periplasmic substrate-binding protein (probable substrate branched-chain amino acids),-0.434437191,0.70736335,0.224698262,1,0.195242199,1,92
HVO_B0216 [D4GPL7] UPF0261 family protein,-0.46913873,0.67247284,-0.266943081,0.40122943,-0.651865356,0.395335348,93
HVO_B0207 [D4GPK8] hypothetical protein,0,1,0,1,0,1,94
HVO_B0202 [D4GPK3] sensor box protein,0.235726994,0.715574497,-1.259061791,0.369450655,0.985223789,1,95
HVO_B0201 [D4GPK2] IclR family transcription regulator,0.391714107,0.652529159,-1.649107735,0.356604734,-0.701310146,0.327531467,96
HVO_B0200 [D4GPK1] (aceB2) bifunctional malyl-CoA synthase / malyl-CoA thioesterase,0.242898709,0.73315798,-0.21531927,0.452109811,0.359102371,0.058334957,97
HVO_B0199 [D4GPK0] deaminase domain protein,-0.663864192,0.622389711,-0.151270207,1,-1.553975405,0.280923584,98
HVO_B0198 [D4GPJ9] ABC-type transport system periplasmic substrate-binding protein,-0.517768266,0.000825727,0.801164158,0.000244843,0.414490109,0.031570608,99
HVO_B0197 [D4GPJ8] ABC-type transport system permease protein,-0.2529273,0.67924152,0.241828879,0.392266695,0.07862221,0.599641202,100
HVO_B0194 [D4GPJ5] LppX domain protein,0.379546203,0.690512534,-0.515834858,0.381451262,-0.997429751,0.36903882,101
HVO_B0186 [D4GPI7] (dppC14) ABC-type transport system permease protein (probable substrate dipeptide/oligopeptide),0.60675384,0.655295302,0.033045147,0.372284636,6.959986741,1,102
HVO_B0185 [D4GPI6] (dppB14) ABC-type transport system permease protein (probable substrate dipeptide/oligopeptide),0.601574947,0.694779963,-0.682885244,0.352553563,-1.223516343,0.286558016,103
HVO_B0184 [D4GPI5] (dppA14) ABC-type transport system periplasmic substrate-binding protein (probable substrate dipeptide/oligopeptide),-0.524516178,0.106778799,-2.105426919,0.000244843,-2.195529854,0.000241787,104
HVO_B0183 [D4GPI4] probable amino acid racemase (homolog to homoserine racemase),0.19953565,0.760829092,-0.153365336,0.503623254,-0.367937011,0.311126182,105
HVO_B0182 [D4GPI3] (dhs2) deoxyhypusine synthase,-0.66948602,0.013119053,-0.63888082,0.01477257,-0.861171434,0.001694,106
HVO_B0174 [D4GPH5] conserved hypothetical protein,0.549314015,0.692223952,-0.047039639,0.445165619,0.863770488,0.245254603,107
HVO_B0173 [D4GPH4] (sph4) Smc-like protein Sph4,-0.19528581,0.702089944,1.003649642,0.332761457,0.694183673,0.356216191,108
HVO_B0159 [D4GPG1] (narO) HTH-10 family transcription regulator NarO,0.215734632,0.677484596,0.883155064,0.360666433,0.608441366,0.367783008,109
HVO_B0156 [D4GPF8] conserved hypothetical protein,-0.136788322,0.828172078,1.428924353,0.000244843,1.52969656,0.000241787,110
HVO_B0154 [D4GPF6] receiver/sensor box histidine kinase,0.596075734,0.000825727,0.501820398,0.000244843,0.880298021,0.000241787,111
HVO_B0153B [L9VGF7] receiver box response regulator,-0.478433762,0.453797524,1.614970725,0.000244843,1.606536825,0.000241787,112
HVO_B0153 [D4GPF4] CapB domain protein,0.808468449,0.299353246,-1.067355692,0.403156631,-0.67216377,0.412368628,113
HVO_B0151 [D4GPF2] NikR family transcription regulator,0.299251607,0.639735751,-0.058830436,0.540638989,-0.025487575,0.649538603,114
HVO_B0149 [D4GPF0] (ohyA) oleate hydratase,0.863568418,0.000825727,-0.515371357,0.131874322,-1.230122616,0.000241787,115
HVO_B0146 [D4GPE7] aminotransferase class V,0.64828626,0.576017247,-0.642566212,0.411858107,-0.695875283,0.344737895,116
HVO_B0144 [D4GPE5] ABC-type transport system periplasmic substrate-binding protein,-0.523937275,0.21471981,1.365059178,0.000244843,0.810188485,0.027120212,117
HVO_B0143 [D4GPE4] receiver/sensor box histidine kinase,-0.223364098,0.705427174,0.333247791,0.056731832,0.23908955,0.317787897,118
HVO_B0142 [D4GPE3] ARM/HEAT repeat protein,-0.247485052,0.732110662,-0.467815478,0.482888992,-0.229712671,0.403024947,119
HVO_B0139 [D4GPE0] PQQ repeat protein,0.074832476,0.70736335,1.961589896,1,2.321353212,1,120
HVO_B0138 [D4GPD9] PQQ repeat protein,0.278201467,0.701531507,2.804577343,1,2.261728953,1,121
HVO_B0136 [D4GPD7] alpha/beta hydrolase fold protein,-0.073951746,0.68735942,0.763205141,1,1.54512335,1,122
HVO_B0135 [D4GPD6] conserved hypothetical protein,-0.259853061,0.705427174,-1.119501725,0.329078341,-0.818466836,0.36151962,123
HVO_B0134 [D4GPD5] ABC-type transport system ATP-binding protein,-0.326179696,0.707087227,-0.105187728,0.575998086,0.065033775,0.544536192,124
HVO_B0132 [D4GPD3] PQQ repeat protein,0.272019198,0.72948216,-2.22277567,0.141312287,-1.203493361,0.155160496,125
HVO_B0131 [D4GPD2] HTH domain protein,-0.2035962,0.722043861,-1.364210633,0.162019085,-1.254753726,0.196420299,126
HVO_B0130 [D4GPD1] DUF296 family protein,-1.12412992,0.108949184,1.096907839,0.000244843,0.782976071,0.021455099,127
HVO_B0127 [D4GPC8] oxidoreductase (luciferase family protein),-0.281912505,0.692223952,-0.665500359,0.307766605,-0.792404176,0.255689053,128
HVO_B0119 [D4GPC0] IclR family transcription regulator,0.19300857,0.652220884,0.089258622,0.400587549,-0.327417507,0.387366518,129
HVO_B0118 [D4GPB9] (sph2) Smc-like protein Sph2,0.057037182,0.924853968,0.396290094,0.000244843,0.41574746,0.000241867,130
HVO_B0117 [D4GPB8] conserved hypothetical protein,-0.580239593,0.445835353,0.92653134,0.000244843,0.474544096,0.117718554,131
HVO_B0116 [D4GPB7] probable oxidoreductase (short-chain dehydrogenase family),0.186499773,0.710664599,-1.472809407,0.266599226,-2.204503834,0.333960606,132
HVO_B0115 [D4GPB6] fumarylacetoacetase family protein,-0.644940485,0.295439195,-1.452738126,0.000244843,-1.587418965,0.000241787,133
HVO_B0114 [D4GPB5] IclR family transcription regulator,-0.0044809,0.87887541,-1.981581323,0.000244843,-2.158220315,0.000241787,134
HVO_B0113 [D4GPB4] probable F420-dependent oxidoreductase,-0.009969817,0.772986086,-1.242874629,0.000244843,-1.114970469,0.352173241,135
HVO_B0111 [D4GPB3] homolog to mandelate racemase / homolog to muconate lactonizing enzyme,0.087744945,0.812666788,-1.047317752,0.000489893,-1.47053465,0.000241787,136
HVO_B0103 [D4GPA5] GFO family oxidoreductase,-1.051230477,0.676897577,-0.289989595,0.381134281,-0.13717292,0.394376876,137
HVO_B0102 [D4GPA4] glycoside hydrolase domain protein,0.3186764,0.726838977,-1.294690262,0.325709826,-1.053966759,0.000241787,138
HVO_B0101 [D4GPA3] IclR family transcription regulator,0.152585599,0.777996247,-0.43486131,0.28346888,-0.484458704,0.241793124,139
HVO_B0100 [D4GPA2] (aldH3) alpha-ketoglutarate semialdehyde dehydrogenase,-0.734416634,0.671286283,-0.937409059,0.322043426,2.451415444,1,140
HVO_B0096 [D4GP98] homolog to sugar epimerase/dehydratase,0.00134558,0.699852346,-0.973257786,0.358790492,-0.840020296,0.354037863,141
HVO_B0095 [D4GP97] UspA domain protein,-0.260069545,0.759842377,3.352508864,0.000244843,3.148411946,0.000241787,142
HVO_B0094 [D4GP96] conserved hypothetical protein,0,1,0,1,0,1,143
HVO_B0093 [D4GP95] (dppA12) ABC-type transport system periplasmic substrate-binding protein (probable substrate dipeptide/oligopeptide),0.238906523,0.726308568,-0.816421698,0.279011348,-1.120185436,0.188071298,144
HVO_B0090 [D4GP92] (dppD12) ABC-type transport system ATP-binding protein (probable substrate dipeptide/oligopeptide),0.963327392,0.615486177,0.731208379,0.348823329,0.131325734,0.406884359,145
HVO_B0089 [D4GP91] (dppF12) ABC-type transport system ATP-binding protein (probable substrate dipeptide/oligopeptide),0.203141948,0.695629018,-0.448360423,0.458418555,-0.376475518,0.383556307,146
HVO_B0087 [D4GP89] homolog to mandelate racemase / homolog to muconate lactonizing enzyme,-0.202183508,0.6641076,0.363582634,0.229674751,0.433002787,0.085640287,147
HVO_B0085 [D4GP87] glycoside hydrolase domain protein,-0.299796645,0.72338069,0.882823311,0.040250934,0.737999807,0.085382543,148
HVO_B0084 [D4GP86] DUF336 family protein,-1.056788751,0.000825727,2.529900304,0.000244843,2.29693066,0.000241787,149
HVO_B0083 [D4GP85] gluconolactonase family protein,-0.046600675,0.802010978,1.599029134,0.000244843,1.565476709,0.000241787,150
HVO_B0082 [D4GP84] (dppA11) ABC-type transport system periplasmic substrate-binding protein (probable substrate dipeptide/oligopeptide),0.383131297,0.025232999,-0.243742932,0.315040382,-0.185093673,0.408173004,151
HVO_B0081 [D4GP83] (dppB11) ABC-type transport system permease protein (probable substrate dipeptide/oligopeptide),1.237334199,0.565233124,-0.480196292,0.355357101,0.28939445,0.369981367,152
HVO_B0080 [D4GP82] (dppC11) ABC-type transport system permease protein (probable substrate dipeptide/oligopeptide),1.22742556,0.537705828,0.799811761,0.28973137,0.582171995,0.330589495,153
HVO_B0079 [D4GP81] (dppD11) ABC-type transport system ATP-binding protein (probable substrate dipeptide/oligopeptide),0.382112062,0.060538514,-0.217328858,0.504649794,-0.089900248,0.567207951,154
HVO_B0078 [D4GP80] (dppF11) ABC-type transport system ATP-binding protein (probable substrate dipeptide/oligopeptide),0.424410491,0.530802452,-0.150260742,0.527744825,0.010773652,0.518371846,155
HVO_B0077 [D4GP79] DUF917 family protein,0.318968789,0.621408999,-0.131758045,0.56070152,0.147626737,0.517680008,156
HVO_B0076 [D4GP78] (hyuA4) N-methylhydantoinase (ATP-hydrolyzing) A,0.169271331,0.773465652,0.731363906,0.001715384,0.903243599,0.000241787,157
HVO_B0075 [D4GP77] DUF917 family protein,-0.078073579,0.768646954,0.120465628,0.487624414,0.268676491,0.480089615,158
HVO_B0074 [D4GP76] DUF917 family protein,-0.353254477,0.697040849,0.078967634,0.458418555,0.228746795,0.429920811,159
HVO_B0073 [D4GP75] Lrp/AsnC family transcription regulator,-0.052821666,0.719358914,0.383983531,0.436937656,0.557838224,0.403346192,160
HVO_B0072 [D4GP74] HTH-10 family transcription regulator,-0.324848363,0.693929436,-0.856095376,0.292123844,-0.522680761,0.356216191,161
HVO_B0071 [D4GP73] (adh2) alcohol dehydrogenase (NADP),1.723401594,0.000825727,1.899360042,0.000244843,2.45747234,0.000241787,162
HVO_B0070 [D4GP72] pyridoxal phosphate-dependent aminotransferase,1.055380778,0.000825727,-2.510960427,0.000244843,-2.715326067,0.000241787,163
HVO_B0069 [D4GP71] (gabD) succinate-semialdehyde dehydrogenase,0.774099341,0.000825727,-1.578484728,0.000244843,-1.683393623,0.000241787,164
HVO_B0066 [D4GP68] Lrp/AsnC family transcription regulator,0.147209283,0.77178494,0.418451254,0.235141647,0.515976016,0.191126893,165
HVO_B0065 [D4GP67] thioredoxin domain protein,-0.070286512,0.698167389,1.050653927,0.333991109,1.390687516,0.204537935,166
HVO_B0064 [D4GP66] CbtA family protein,1.067554348,0.068180071,1.99003857,0.002205884,2.024552805,0.000241787,167
HVO_B0063 [D4GP65] CbtB family protein,0.181297216,0.719628088,0.284677047,0.426141022,-0.123419257,0.477727732,168
HVO_B0062 [D4GP64] (cbiT) cobalt-precorrin-6B C15-methyltransferase (decarboxylating),0.430897797,0.075749677,-0.400734154,0.12543787,-0.300457848,0.40270377,169
HVO_B0061 [D4GP63] (cbiL) cobalt-factor-II C20-methyltransferase,-0.016274699,0.929145369,0.754350495,0.000244843,0.872796426,0.000241787,170
HVO_B0060 [D4GP62] (cbiF) cobalt-precorrin-4 C11-methyltransferase,-0.521559249,0.293754923,1.393486619,0.000244843,1.63566225,0.000241787,171
HVO_B0059 [D4GP61] (cbiG) cobalt-precorrin-5A hydrolase,-0.324496932,0.034797815,-0.694464622,0.000244843,-0.721817363,0.000241787,172
HVO_B0058 [D4GP60] (cbiH1) cobalt-factor-III C17-methyltransferase,-0.56497492,0.000825727,0.270921029,0.274862713,0.389013099,0.047515081,173
HVO_B0057 [D4GP59] (cbiH2) cobalt-factor-III C17-methyltransferase,-0.681169955,0.000825727,0.451202589,0.028203279,0.432683839,0.065427356,174
HVO_B0056 [D4GP58] probable ferredoxin (4Fe-4S),-0.606738776,0.67247284,0.15256199,0.56070152,0.205104817,0.554415566,175
HVO_B0055 [D4GP57] conserved hypothetical protein,-0.295026266,0.130327341,-0.546875958,0.000979959,-0.360893901,0.034545788,176
HVO_B0054 [D4GP56] (cbiX1) sirohydrochlorin cobaltochelatase,-0.47522235,0.004121885,-0.409346843,0.052911411,-0.223197513,0.334881326,177
HVO_B0053 [D4GP55] DUF3209 family protein,-1.099631863,0.000825727,1.204584835,0.000244843,1.480530151,0.000241787,178
HVO_B0052 [D4GP54] PQQ repeat protein,0.062894265,0.902811292,-1.662045507,0.000244843,-1.410197221,0.000241787,179
HVO_B0051 [D4GP53] (chlID) ATP-dependent cobaltochelatase subunit ChlID,-0.119326687,0.793386744,-0.049523944,0.765562194,0.152938319,0.466641081,180
HVO_B0050 [D4GP52] (cobN) ATP-dependent cobaltochelatase subunit CobN,0.124088731,0.686783958,-0.611326545,0.000244843,-0.337020897,0.000725734,181
HVO_B0049 [D4GP51] (cbiC) cobalt-precorrin-8 methylmutase,-0.32199728,0.178671252,-0.225650265,0.106034687,0.308859521,0.120359722,182
HVO_B0048 [D4GP50] (cbiE) cobalt-precorrin-7 C5-methyltransferase,-0.178718067,0.763286606,-0.663710167,0.026205374,-0.330597565,0.37029568,183
HVO_B0047 [D4GP49] ABC-type transport system periplasmic substrate-binding protein,-0.862514963,0.000825727,0.565822097,0.004415285,-0.066760099,0.58298276,184
HVO_B0046 [D4GP48] (dat) diaminobutyrate--2-oxoglutarate aminotransferase,1.043136133,1,-0.775688795,0.0098309,1.785264178,1,185
HVO_B0044 [D4GP46] (iucA) siderophore biosynthesis protein IucA,-1.179516854,0.000825727,-1.544560332,0.000244925,-1.84956962,0.005331322,186
HVO_B0043 [D4GP45] (iucB) probable N4-hydroxy-1-aminopropane O-acetyltransferase,-1.324645938,0.683027061,0.527393068,1,1.288818337,1,187
HVO_B0041 [D4GP43] (iucC) siderophore biosynthesis protein IucC,-1.226535785,0.000825727,-1.064022283,0.000244843,-1.532169287,0.042761763,188
HVO_B0040 [D4GP42] (xacR) IclR family transcription regulator XacR,-0.277511786,0.511578596,0.950079745,1,1.034965555,1,189
HVO_B0039 [D4GP41] (xacF) alpha-ketoglutarate semialdehyde dehydrogenase,0.092742905,0.700692649,0.265410792,0.414769216,0.39209323,0.437129643,190
HVO_B0038A [D4GP40] (xacD) D-xylonate dehydratase / D-gluconate dehydratase,1.748454338,0.634017547,5.612125274,1,8.870113573,1,191
HVO_B0031 [D4GP32] probable oxidoreductase (short-chain dehydrogenase family),-0.144491223,0.735245659,-1.587462777,0.12062924,-1.296833319,0.291319669,192
