"Protein.ID","H26_vs_DksgA_PEP","H26_vs_DksgA_KsgA_PEP","H26_vs_DksgA_ksgA_E84A_PEP"
"28","HVO_C0002 [D4H093] conserved hypothetical protein",0.465549388,0.000979959,0.000241787
"29","HVO_C0001 [D4H092] (orc10) Orc1-type DNA replication protein",0.556083502,0.000244843,0.000241787
"30","HVO_B0382 [D4GQ28] (tbp3) TATA-binding transcription initiation factor",0.026034323,0.536795067,0.520102767
"31","HVO_B0381 [D4GQ27] (tenA2) aminopyrimidine aminohydrolase",0.43096535,0.445495616,0.448668197
"32","HVO_B0380 [D4GQ26] (tenA1) aminopyrimidine aminohydrolase",0.000825727,0.000734904,0.152452429
"33","HVO_B0378 [D4GQ24] probable PPOX family oxidoreductase",0.688508339,0.374492383,0.374387728
"34","HVO_B0376 [D4GQ22] probable oxidoreductase (aldo-keto reductase family protein)",0.15861812,0.000734904,0.000241867
"35","HVO_B0375 [D4GQ21] Spo0M family protein",0.227177234,0.023712002,0.026379919
"36","HVO_B0371 [D4GQ18] (aldH1) aldehyde dehydrogenase",0.002475567,0.000244843,0.000241787
"37","HVO_B0369 [D4GQ16] ABC-type transport system periplasmic substrate-binding protein (probable substrate molybdate)",0.695629018,0.424511508,1
"38","HVO_B0361 [D4GQ08] (dmsR) HTH-10 family transcription regulator DmsR",0.538848307,0.460749062,0.243522826
"39","HVO_B0358 [D4GQ05] conserved hypothetical protein",0.716387962,0.317472622,0.339185563
"40","HVO_B0357 [D4GQ04] polyamine aminopropyltransferase",0.659568597,0.000244843,1
"41","HVO_B0356 [D4GQ03] DUF2617 family protein",0.697040849,0.367564174,0.344119949
"42","HVO_B0355 [D4GQ02] conserved hypothetical protein",0.686207825,1,1
"43","HVO_B0354 [D4GQ01] conserved hypothetical protein",0.176689822,1,0.073578686
"44","HVO_B0353 [D4GQ00] probable carbon-nitrogen hydrolase",0.645078947,0.326627786,0.242369461
"45","HVO_B0352 [D4GPZ9] cupin 2 barrel domain protein",0.75786255,0.145375952,0.104065452
"46","HVO_B0347 [D4GPZ4] GFO family oxidoreductase",0.660782974,0.346961553,0.431883508
"47","HVO_B0345 [D4GPZ2] homolog to mandelate racemase / homolog to muconate lactonizing enzyme",0.72948216,0.163391708,0.09287696
"48","HVO_B0344 [D4GPZ1] UspA domain protein",0.539228624,0.03672633,0.000241787
"49","HVO_B0340 [D4GPY7] conserved hypothetical protein",1,1,1
"50","HVO_B0337 [D4GPY4] SAF domain protein",1,1,1
"51","HVO_B0334 [D4GPY1] GFO family oxidoreductase",0.707915125,0.317472622,0.384507962
"52","HVO_B0331 [D4GPX8] (dppD15) ABC-type transport system ATP-binding protein (probable substrate dipeptide/oligopeptide)",0.705981156,0.294819854,0.32447972
"53","HVO_B0324 [D4GPX1] conserved hypothetical protein",0.849811129,0.003924003,0.005817054
"54","HVO_B0321 [D4GPW8] GFO family oxidoreductase",0.460354357,0.164765617,0.042012773
"55","HVO_B0319 [D4GPW6] IclR family transcription regulator",1,1,1
"56","HVO_B0318 [D4GPW5] (tsgA13) ABC-type transport system periplasmic substrate-binding protein (substrate glucose)",0.736805362,0.427119528,0.244388455
"57","HVO_B0317 [D4GPW4] (adeC) adenine deaminase",1,1,1
"58","HVO_B0308 [D4GPV5] (coxS) molybdopterin-containing oxidoreductase small subunit",1,1,1
"59","HVO_B0306 [D4GPV3] (amaB4) amidase (hydantoinase/carbamoylase family)",0.62984833,0.412181301,0.343502258
"60","HVO_B0305 [D4GPV2] conserved hypothetical protein",0.026034323,0.000244843,0.000241787
"61","HVO_B0301 [D4GPU8] (pucL2) 2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase",0.009858582,0.000244843,0.000241787
"62","HVO_B0300 [D4GPU7] (pucL1) uricase",0.619770417,0.000244843,0.000241787
"63","HVO_B0299 [D4GPU6] (pucM) 5-hydroxyisourate hydrolase",1,0.254579737,0.095730449
"64","HVO_B0295 [D4GPU2] (ugpC) ABC-type transport system ATP-binding protein (probable substrate glycerol-3-phosphate)",1,1,1
"65","HVO_B0292 [D4GPT9] (ugpB) ABC-type transport system periplasmic substrate-binding protein (probable substrate glycerol-3-phosphate)",0.293754923,0.001470199,0.000241787
"66","HVO_B0291 [D4GPT8] (glpQ2) glycerophosphodiester phosphodiesterase",1,1,1
"67","HVO_B0287 [D4GPT4] TRAM domain protein",0.795444671,0.002205884,0.004603057
"68","HVO_B0286 [D4GPT3] conserved hypothetical protein",1,1,1
"69","HVO_B0284 [D4GPT1] (tif1b) translation initiation factor aIF-1 (SUI1 protein, bacterial-type IF3)",0.724713779,0.000244843,0.000241787
"70","HVO_B0283 [D4GPT0] HTH-10 family transcription regulator",0.740424633,0.24700681,0.374387728
"71","HVO_B0279 [D4GPS6] probable S-adenosylmethionine-dependent methyltransferase",0.648507046,0.265422388,0.308409566
"72","HVO_B0277 [D4GPS4] HTH domain protein",0.61647793,0.000244843,0.000241787
"73","HVO_B0273 [D4GPS0] sensor box histidine kinase",1,1,1
"74","HVO_B0268 [D4GPR5] monooxygenase (homolog to alkanesulfonate monooxygenase)",0.738876938,0.000244843,0.000241787
"75","HVO_B0266 [D4GPR3] (gdhA3) glutamate dehydrogenase (NAD)",0.045035402,0.000244843,0.000241787
"76","HVO_B0264 [D4GPR1] (serA4) probable D-2-hydroxyacid dehydrogenase",0.670096918,0.422883655,0.406562368
"77","HVO_B0261 [D4GPQ8] pyridoxal phosphate-dependent aminotransferase",0.739135243,1,1
"78","HVO_B0259 [D4GPQ6] conserved hypothetical protein",0.648817562,0.407984899,0.332120871
"79","HVO_B0257 [D4GPQ4] pyridoxal phosphate-dependent aminotransferase",0.663806261,0.400266707,0.463297023
"80","HVO_B0256 [D4GPQ3] (aor3) aldehyde ferredoxin oxidoreductase",0.837376343,0.000244843,0.000241787
"81","HVO_B0253 [D4GPQ1] (suhB3) probable inositol-1(or 4)-monophosphatase / fructose-1,6-bisphosphatase, archaeal-type",0.684475394,0.454431214,0.466641081
"82","HVO_B0248 [D4GPP7] probable oxidoreductase (short-chain dehydrogenase family)",0.000825727,0.000244843,0.000241787
"83","HVO_B0245 [D4GPP6] (mobA1) molybdenum cofactor guanylyltransferase",0.712033488,0.353176137,1
"84","HVO_B0244 [D4GPP5] (aor1) aldehyde ferredoxin oxidoreductase",1,1,1
"85","HVO_B0237 [D4GPN8] conserved hypothetical protein",0.682156029,1,0.33856991
"86","HVO_B0233 [D4GPN4] (xsa) alpha-L-arabinofuranosidase",0.765974673,0.543089779,0.365274522
"87","HVO_B0227 [D4GPM8] (tsgD9) ABC-type transport system ATP-binding protein (probable substrate sugar)",0.045035402,1,1
"88","HVO_B0226 [D4GPM7] auxin permease family transport protein",1,1,1
"89","HVO_B0224 [D4GPM5] cupin 2 barrel domain protein",1,1,1
"90","HVO_B0223 [D4GPM4] conserved hypothetical protein",0.742736615,0.023712002,0.026873402
"91","HVO_B0217 [D4GPL8] (livJ6) ABC-type transport system periplasmic substrate-binding protein (probable substrate branched-chain amino acids)",0.70736335,1,1
"92","HVO_B0216 [D4GPL7] UPF0261 family protein",0.67247284,0.40122943,0.395335348
"93","HVO_B0207 [D4GPK8] hypothetical protein",1,1,1
"94","HVO_B0202 [D4GPK3] sensor box protein",0.715574497,0.369450655,1
"95","HVO_B0201 [D4GPK2] IclR family transcription regulator",0.652529159,0.356604734,0.327531467
"96","HVO_B0200 [D4GPK1] (aceB2) bifunctional malyl-CoA synthase / malyl-CoA thioesterase",0.73315798,0.452109811,0.058334957
"97","HVO_B0199 [D4GPK0] deaminase domain protein",0.622389711,1,0.280923584
"98","HVO_B0198 [D4GPJ9] ABC-type transport system periplasmic substrate-binding protein",0.000825727,0.000244843,0.031570608
"99","HVO_B0197 [D4GPJ8] ABC-type transport system permease protein",0.67924152,0.392266695,0.599641202
"100","HVO_B0194 [D4GPJ5] LppX domain protein",0.690512534,0.381451262,0.36903882
"101","HVO_B0186 [D4GPI7] (dppC14) ABC-type transport system permease protein (probable substrate dipeptide/oligopeptide)",0.655295302,0.372284636,1
"102","HVO_B0185 [D4GPI6] (dppB14) ABC-type transport system permease protein (probable substrate dipeptide/oligopeptide)",0.694779963,0.352553563,0.286558016
"103","HVO_B0184 [D4GPI5] (dppA14) ABC-type transport system periplasmic substrate-binding protein (probable substrate dipeptide/oligopeptide)",0.106778799,0.000244843,0.000241787
"104","HVO_B0183 [D4GPI4] probable amino acid racemase (homolog to homoserine racemase)",0.760829092,0.503623254,0.311126182
"105","HVO_B0182 [D4GPI3] (dhs2) deoxyhypusine synthase",0.013119053,0.01477257,0.001694
"106","HVO_B0174 [D4GPH5] conserved hypothetical protein",0.692223952,0.445165619,0.245254603
"107","HVO_B0173 [D4GPH4] (sph4) Smc-like protein Sph4",0.702089944,0.332761457,0.356216191
"108","HVO_B0159 [D4GPG1] (narO) HTH-10 family transcription regulator NarO",0.677484596,0.360666433,0.367783008
"109","HVO_B0156 [D4GPF8] conserved hypothetical protein",0.828172078,0.000244843,0.000241787
"110","HVO_B0154 [D4GPF6] receiver/sensor box histidine kinase",0.000825727,0.000244843,0.000241787
"111","HVO_B0153B [L9VGF7] receiver box response regulator",0.453797524,0.000244843,0.000241787
"112","HVO_B0153 [D4GPF4] CapB domain protein",0.299353246,0.403156631,0.412368628
"113","HVO_B0151 [D4GPF2] NikR family transcription regulator",0.639735751,0.540638989,0.649538603
"114","HVO_B0149 [D4GPF0] (ohyA) oleate hydratase",0.000825727,0.131874322,0.000241787
"115","HVO_B0146 [D4GPE7] aminotransferase class V",0.576017247,0.411858107,0.344737895
"116","HVO_B0144 [D4GPE5] ABC-type transport system periplasmic substrate-binding protein",0.21471981,0.000244843,0.027120212
"117","HVO_B0143 [D4GPE4] receiver/sensor box histidine kinase",0.705427174,0.056731832,0.317787897
"118","HVO_B0142 [D4GPE3] ARM/HEAT repeat protein",0.732110662,0.482888992,0.403024947
"119","HVO_B0139 [D4GPE0] PQQ repeat protein",0.70736335,1,1
"120","HVO_B0138 [D4GPD9] PQQ repeat protein",0.701531507,1,1
"121","HVO_B0136 [D4GPD7] alpha/beta hydrolase fold protein",0.68735942,1,1
"122","HVO_B0135 [D4GPD6] conserved hypothetical protein",0.705427174,0.329078341,0.36151962
"123","HVO_B0134 [D4GPD5] ABC-type transport system ATP-binding protein",0.707087227,0.575998086,0.544536192
"124","HVO_B0132 [D4GPD3] PQQ repeat protein",0.72948216,0.141312287,0.155160496
"125","HVO_B0131 [D4GPD2] HTH domain protein",0.722043861,0.162019085,0.196420299
"126","HVO_B0130 [D4GPD1] DUF296 family protein",0.108949184,0.000244843,0.021455099
"127","HVO_B0127 [D4GPC8] oxidoreductase (luciferase family protein)",0.692223952,0.307766605,0.255689053
"128","HVO_B0119 [D4GPC0] IclR family transcription regulator",0.652220884,0.400587549,0.387366518
"129","HVO_B0118 [D4GPB9] (sph2) Smc-like protein Sph2",0.924853968,0.000244843,0.000241867
"130","HVO_B0117 [D4GPB8] conserved hypothetical protein",0.445835353,0.000244843,0.117718554
"131","HVO_B0116 [D4GPB7] probable oxidoreductase (short-chain dehydrogenase family)",0.710664599,0.266599226,0.333960606
"132","HVO_B0115 [D4GPB6] fumarylacetoacetase family protein",0.295439195,0.000244843,0.000241787
"133","HVO_B0114 [D4GPB5] IclR family transcription regulator",0.87887541,0.000244843,0.000241787
"134","HVO_B0113 [D4GPB4] probable F420-dependent oxidoreductase",0.772986086,0.000244843,0.352173241
"135","HVO_B0111 [D4GPB3] homolog to mandelate racemase / homolog to muconate lactonizing enzyme",0.812666788,0.000489893,0.000241787
"136","HVO_B0103 [D4GPA5] GFO family oxidoreductase",0.676897577,0.381134281,0.394376876
"137","HVO_B0102 [D4GPA4] glycoside hydrolase domain protein",0.726838977,0.325709826,0.000241787
"138","HVO_B0101 [D4GPA3] IclR family transcription regulator",0.777996247,0.28346888,0.241793124
"139","HVO_B0100 [D4GPA2] (aldH3) alpha-ketoglutarate semialdehyde dehydrogenase",0.671286283,0.322043426,1
"140","HVO_B0096 [D4GP98] homolog to sugar epimerase/dehydratase",0.699852346,0.358790492,0.354037863
"141","HVO_B0095 [D4GP97] UspA domain protein",0.759842377,0.000244843,0.000241787
"142","HVO_B0094 [D4GP96] conserved hypothetical protein",1,1,1
"143","HVO_B0093 [D4GP95] (dppA12) ABC-type transport system periplasmic substrate-binding protein (probable substrate dipeptide/oligopeptide)",0.726308568,0.279011348,0.188071298
"144","HVO_B0090 [D4GP92] (dppD12) ABC-type transport system ATP-binding protein (probable substrate dipeptide/oligopeptide)",0.615486177,0.348823329,0.406884359
"145","HVO_B0089 [D4GP91] (dppF12) ABC-type transport system ATP-binding protein (probable substrate dipeptide/oligopeptide)",0.695629018,0.458418555,0.383556307
"146","HVO_B0087 [D4GP89] homolog to mandelate racemase / homolog to muconate lactonizing enzyme",0.6641076,0.229674751,0.085640287
"147","HVO_B0085 [D4GP87] glycoside hydrolase domain protein",0.72338069,0.040250934,0.085382543
"148","HVO_B0084 [D4GP86] DUF336 family protein",0.000825727,0.000244843,0.000241787
"149","HVO_B0083 [D4GP85] gluconolactonase family protein",0.802010978,0.000244843,0.000241787
"150","HVO_B0082 [D4GP84] (dppA11) ABC-type transport system periplasmic substrate-binding protein (probable substrate dipeptide/oligopeptide)",0.025232999,0.315040382,0.408173004
"151","HVO_B0081 [D4GP83] (dppB11) ABC-type transport system permease protein (probable substrate dipeptide/oligopeptide)",0.565233124,0.355357101,0.369981367
"152","HVO_B0080 [D4GP82] (dppC11) ABC-type transport system permease protein (probable substrate dipeptide/oligopeptide)",0.537705828,0.28973137,0.330589495
"153","HVO_B0079 [D4GP81] (dppD11) ABC-type transport system ATP-binding protein (probable substrate dipeptide/oligopeptide)",0.060538514,0.504649794,0.567207951
"154","HVO_B0078 [D4GP80] (dppF11) ABC-type transport system ATP-binding protein (probable substrate dipeptide/oligopeptide)",0.530802452,0.527744825,0.518371846
"155","HVO_B0077 [D4GP79] DUF917 family protein",0.621408999,0.56070152,0.517680008
"156","HVO_B0076 [D4GP78] (hyuA4) N-methylhydantoinase (ATP-hydrolyzing) A",0.773465652,0.001715384,0.000241787
"157","HVO_B0075 [D4GP77] DUF917 family protein",0.768646954,0.487624414,0.480089615
"158","HVO_B0074 [D4GP76] DUF917 family protein",0.697040849,0.458418555,0.429920811
"159","HVO_B0073 [D4GP75] Lrp/AsnC family transcription regulator",0.719358914,0.436937656,0.403346192
"160","HVO_B0072 [D4GP74] HTH-10 family transcription regulator",0.693929436,0.292123844,0.356216191
"161","HVO_B0071 [D4GP73] (adh2) alcohol dehydrogenase (NADP)",0.000825727,0.000244843,0.000241787
"162","HVO_B0070 [D4GP72] pyridoxal phosphate-dependent aminotransferase",0.000825727,0.000244843,0.000241787
"163","HVO_B0069 [D4GP71] (gabD) succinate-semialdehyde dehydrogenase",0.000825727,0.000244843,0.000241787
"164","HVO_B0066 [D4GP68] Lrp/AsnC family transcription regulator",0.77178494,0.235141647,0.191126893
"165","HVO_B0065 [D4GP67] thioredoxin domain protein",0.698167389,0.333991109,0.204537935
"166","HVO_B0064 [D4GP66] CbtA family protein",0.068180071,0.002205884,0.000241787
"167","HVO_B0063 [D4GP65] CbtB family protein",0.719628088,0.426141022,0.477727732
"168","HVO_B0062 [D4GP64] (cbiT) cobalt-precorrin-6B C15-methyltransferase (decarboxylating)",0.075749677,0.12543787,0.40270377
"169","HVO_B0061 [D4GP63] (cbiL) cobalt-factor-II C20-methyltransferase",0.929145369,0.000244843,0.000241787
"170","HVO_B0060 [D4GP62] (cbiF) cobalt-precorrin-4 C11-methyltransferase",0.293754923,0.000244843,0.000241787
"171","HVO_B0059 [D4GP61] (cbiG) cobalt-precorrin-5A hydrolase",0.034797815,0.000244843,0.000241787
"172","HVO_B0058 [D4GP60] (cbiH1) cobalt-factor-III C17-methyltransferase",0.000825727,0.274862713,0.047515081
"173","HVO_B0057 [D4GP59] (cbiH2) cobalt-factor-III C17-methyltransferase",0.000825727,0.028203279,0.065427356
"174","HVO_B0056 [D4GP58] probable ferredoxin (4Fe-4S)",0.67247284,0.56070152,0.554415566
"175","HVO_B0055 [D4GP57] conserved hypothetical protein",0.130327341,0.000979959,0.034545788
"176","HVO_B0054 [D4GP56] (cbiX1) sirohydrochlorin cobaltochelatase",0.004121885,0.052911411,0.334881326
"177","HVO_B0053 [D4GP55] DUF3209 family protein",0.000825727,0.000244843,0.000241787
"178","HVO_B0052 [D4GP54] PQQ repeat protein",0.902811292,0.000244843,0.000241787
"179","HVO_B0051 [D4GP53] (chlID) ATP-dependent cobaltochelatase subunit ChlID",0.793386744,0.765562194,0.466641081
"180","HVO_B0050 [D4GP52] (cobN) ATP-dependent cobaltochelatase subunit CobN",0.686783958,0.000244843,0.000725734
"181","HVO_B0049 [D4GP51] (cbiC) cobalt-precorrin-8 methylmutase",0.178671252,0.106034687,0.120359722
"182","HVO_B0048 [D4GP50] (cbiE) cobalt-precorrin-7 C5-methyltransferase",0.763286606,0.026205374,0.37029568
"183","HVO_B0047 [D4GP49] ABC-type transport system periplasmic substrate-binding protein",0.000825727,0.004415285,0.58298276
"184","HVO_B0046 [D4GP48] (dat) diaminobutyrate--2-oxoglutarate aminotransferase",1,0.0098309,1
"185","HVO_B0044 [D4GP46] (iucA) siderophore biosynthesis protein IucA",0.000825727,0.000244925,0.005331322
"186","HVO_B0043 [D4GP45] (iucB) probable N4-hydroxy-1-aminopropane O-acetyltransferase",0.683027061,1,1
"187","HVO_B0041 [D4GP43] (iucC) siderophore biosynthesis protein IucC",0.000825727,0.000244843,0.042761763
"188","HVO_B0040 [D4GP42] (xacR) IclR family transcription regulator XacR",0.511578596,1,1
"189","HVO_B0039 [D4GP41] (xacF) alpha-ketoglutarate semialdehyde dehydrogenase",0.700692649,0.414769216,0.437129643
"190","HVO_B0038A [D4GP40] (xacD) D-xylonate dehydratase / D-gluconate dehydratase",0.634017547,1,1
"191","HVO_B0031 [D4GP32] probable oxidoreductase (short-chain dehydrogenase family)",0.735245659,0.12062924,0.291319669
"192","HVO_B0029 [D4GP30] probable sugar dehydrogenase (NADP)",0.893375488,0.038235791,0.050023591
"193","HVO_B0026 [D4GP27] probable oxidoreductase (short-chain dehydrogenase family)",0.000825727,0.000244843,0.020226732
"194","HVO_B0020 [D4GP21] HTH-10 family transcription regulator",0.715574497,0.245554824,0.40785074
"195","HVO_B0018 [D4GP19] (parA2) ParA domain protein",0.804476101,0.436937656,0.563288322
"196","HVO_B0017 [D4GP18] conserved hypothetical protein",0.7123068,0.296619834,0.361207135
"197","HVO_B0016 [D4GP17] conserved hypothetical protein",0.048939009,0.000244843,0.000241787
"198","HVO_B0011 [D4GP12] (soxA1) sarcosine oxidase",0.773225933,1,1
"199","HVO_B0007 [D4GP08] HTH-10 family transcription regulator",0.642257079,1,1
"200","HVO_B0004 [D4GP05] (glyA2) serine hydroxymethyltransferase",0.595597335,0.447146617,0.341034046
"201","HVO_B0003 [D4GP04] DUF336 family protein",0.746564629,0.53539949,0.406240445
"202","HVO_B0002 [D4GP03] M20 family amidohydrolase (homolog to succinyl-diaminopimelate desuccinylase)",0.695629018,1,1
"203","HVO_B0001 [D4GP02] (orc6) Orc1-type DNA replication protein",0.328817359,0.000244843,0.000241787
"204","HVO_A0637 [D4GRU5] (tif1A2) translation initiation factor aIF-1A",0.737583275,0.000244843,0.000241787
"205","HVO_A0636 [D4GRU4] (ybaK) YbaK domain protein",0.807149516,0.000244843,0.000241787
"206","HVO_A0635 [D4GRU3] (sufS2) probable cysteine desulfurase",0.735766135,0.019980272,0.000241787
"207","HVO_A0633 [D4GRU1] (pilA6) pilin PilA",0.299910585,0.000244843,0.000241787
"208","HVO_A0632 [D4GRU0] (pilA5) pilin PilA",0.688508339,0.372915104,0.440746756
"209","HVO_A0631 [D4GRT9] conserved hypothetical protein",0.803357317,0.110000382,0.006789053
"210","HVO_A0630 [D4GRT8] glyoxalase domain protein",0.755375701,0.003187405,0.000241787
"211","HVO_A0629 [D4GRT7] sensor box histidine kinase",0.123266394,0.528786554,0.551939987
"212","HVO_A0627 [D4GRT5] conserved hypothetical protein",0.771062717,0.000244843,0.013857432
"213","HVO_A0626 [D4GRT4] conserved hypothetical protein",0.517926349,0.462749319,0.350000779
"214","HVO_A0625 [D4GRT3] conserved hypothetical protein",0.676897577,1,1
"215","HVO_A0624 [D4GRT2] (cadA) P-type transport ATPase (probable substrate zinc/cadmium)",0.818979684,0.0098309,0.000241787
"216","HVO_A0622 [D4GRT0] conserved hypothetical protein",1,1,1
"217","HVO_A0621 [D4GRS9] conserved hypothetical protein",0.769131138,0.566021619,0.586228541
"218","HVO_A0620 [D4GRS8] conserved hypothetical protein",0.710115955,0.365993837,0.329977386
"219","HVO_A0619 [D4GRS7] conserved hypothetical protein",0.811349042,0.390671536,0.440746756
"220","HVO_A0618 [D4GRS6] flavin-dependent pyridine nucleotide oxidoreductase (homolog to coenzyme A disulfide reductase)",0.840879239,0.000244843,0.000241787
"221","HVO_A0616 [D4GRS4] TetR family transcription regulator",0.720165983,0.099449416,0.394376876
"222","HVO_A0611 [D4GRS0] (znuA2) ABC-type transport system periplasmic substrate-binding protein (probable substrate zinc)",0.542262026,0.025955836,0.04451103
"223","HVO_A0601 [D4GRR1] (nosL2) NosL family protein",0.794302565,0.453767615,0.344119949
"224","HVO_A0591 [D4GRQ1] DICT domain protein",0.698167389,0.316256023,0.213266884
"225","HVO_A0589 [D4GRP9] HxlR family transcription regulator",0.774184046,0.000489893,0.000241787
"226","HVO_A0588 [D4GRP8] HTH domain protein",0.573877207,0.156268072,0.523223205
"227","HVO_A0587 [D4GRP7] receiver/sensor box protein",0.627912803,0.369136084,0.339801469
"228","HVO_A0586 [D4GRP6] (graD3) sugar nucleotidyltransferase",0.339412453,0.031706492,0.000241787
"229","HVO_A0584 [D4GRP4] (guaB2) inosine-5'-monophosphate dehydrogenase",0.72123996,0.476484328,0.414956291
"230","HVO_A0583 [D4GRP3] IclR family transcription regulator",0.845572136,0.002205884,0.000241787
"231","HVO_A0579 [D4GRN9] (livG5) ABC-type transport system ATP-binding protein (probable substrate branched-chain amino acids)",1,1,1
"232","HVO_A0569 [D4GRN0] family 3 CoA transferase",1,1,1
"233","HVO_A0566 [D4GRM7] (leuD2) 3-isopropylmalate dehydratase small subunit",1,1,1
"234","HVO_A0564 [D4GRM5] glyoxalase domain protein",0.036381186,0.000244843,0.000241787
"235","HVO_A0562 [D4GRM3] (hutU) urocanate hydratase",0.011490414,0.000244843,0.000241787
"236","HVO_A0561 [D4GRM2] (hutG) formimidoylglutamase",0.884260217,0.000244843,0.000241787
"237","HVO_A0560 [D4GRM1] (hutI) imidazolonepropionase",0.890299937,0.000244843,0.000241787
"238","HVO_A0559 [D4GRM0] (hutH) histidine ammonia-lyase",0.91133478,0.000244843,0.000241787
"239","HVO_A0558 [D4GRL9] ABC-type transport system periplasmic substrate-binding protein",0.678363832,0.412827885,0.325699666
"240","HVO_A0557 [D4GRL8] ABC-type transport system periplasmic substrate-binding protein",0.518714956,0.013288225,0.000967734
"241","HVO_A0556 [D4GRL7] small CPxCG-related zinc finger protein",0.730272246,0.261310632,0.070771139
"242","HVO_A0555 [D4GRL6] DUF162 family protein",0.698167389,0.21908558,0.328448215
"243","HVO_A0554 [D4GRL5] major facilitator superfamily transport protein",0.640367235,0.34138954,0.268838602
"244","HVO_A0553 [D4GRL4] (cbiP) adenosylcobyrate synthase",0.600043434,0.258673238,0.678310392
"245","HVO_A0551 [D4GRL3] (acs9) acyl-CoA synthetase",0.730535315,0.418983569,0.422745639
"246","HVO_A0550 [D4GRL2] receiver/sensor box histidine kinase",0.000825727,0.512885358,0.545591775
"247","HVO_A0549 [D4GRL1] (nosL1) NosL family protein",0.664709739,0.18804128,0.178117069
"248","HVO_A0547 [D4GRK9] DUF1028 family protein",0.777046221,0.000244843,0.000241787
"249","HVO_A0546 [D4GRK8] probable oxidoreductase (short-chain dehydrogenase family)",0.526153495,0.005644252,0.07128117
"250","HVO_A0545 [D4GRK7] TetR family transcription regulator",0.785291418,0.000244843,0.000241787
"251","HVO_A0541 [D4GRK3] ABC-type transport system periplasmic substrate-binding protein",0.706810945,0.452441236,0.427634162
"252","HVO_A0527 [D4GRI9] IclR family transcription regulator",0.705981156,1,1
"253","HVO_A0525 [D4GRI7] (fadA5) enoyl-CoA hydratase",0.832799327,0.001470199,0.033553327
"254","HVO_A0524 [D4GRI6] (hbd4) 3-hydroxyacyl-CoA dehydrogenase",0.567045138,0.468764983,0.412045479
"255","HVO_A0523 [D4GRI5] UPF0219 family protein",0.533112862,1,1
"256","HVO_A0522 [D4GRI4] (acaB4) acetyl-CoA C-acyltransferase",0.011490414,1,1
"257","HVO_A0512 [D4GRH4] (aldH4) aldehyde dehydrogenase",1,1,1
"258","HVO_A0506 [D4GRG8] (boa8) HTH-10 family transcription regulator",0.701810806,1,1
