"Protein.ID","H26_Exponential_vs_H26_Stationary_PEP","H26_Exponential_vs_HVABI_Exponential_PEP","H26_Exponential_vs_HVLON3_Exponential_PEP","H26_Stationary_vs_HVABI_Stationary_PEP","H26_Stationary_vs_HVLON3_Stationary_PEP"
"15","HVO_C0034 [D4H0C2] hypothetical protein",1,0.67429610533852,1,1,1
"16","HVO_C0017 [D4H0A7] (parA1) ParA domain protein",1,1,1,1,1
"17","HVO_C0009 [D4H0A0] hypothetical protein",1,1,1,1,1
"18","HVO_C0001 [D4H092] (orc10) Orc1-type DNA replication protein",0.744438052125993,0.583045568822771,0.93119517343637,0.283020474554308,0.277115800709816
"19","HVO_B0382 [D4GQ28] (tbp3) TATA-binding transcription initiation factor",0.750742641101809,0.733730082549434,0.922136135677655,0.522860423352077,0.638896932077201
"20","HVO_B0376 [D4GQ22] probable oxidoreductase (aldo-keto reductase family protein)",0.841487700676938,0.639762049618063,0.869141298978977,0.261504363338096,0.580159256199098
"21","HVO_B0375 [D4GQ21] Spo0M family protein",0.751242087967114,0.308308047432007,0.788852519478125,0.0436784639740169,0.543483103371464
"22","HVO_B0371 [D4GQ18] (aldH1) aldehyde dehydrogenase",0.730154806414733,0.729796421961752,0.941983194192872,0.067761009030923,0.599281761146245
"23","HVO_B0369 [D4GQ16] ABC-type transport system periplasmic substrate-binding protein (probable substrate molybdate)",0.690422127176456,0.633398705406233,0.898559950248026,0.00112529846783582,0.544162178405492
"24","HVO_B0365 [D4GQ12] (dmsC) dimethylsulfoxide reductase subunit C",0.693364833422158,0.626632017640196,0.895910780669145,0.443946713022548,0.541443105520861
"25","HVO_B0364 [D4GQ11] (dmsB) dimethylsulfoxide reductase subunit B",1,0.631152918722255,0.90065225969685,1,1
"26","HVO_B0363 [D4GQ10] (dmsA) dimethylsulfoxide reductase subunit A",0.00864890426471876,0.000830360157312193,0.904702949210875,0.000375005859466593,0.000549208008736257
"27","HVO_B0359 [D4GQ06] YidE family protein",0.698892951435986,0.526771146548976,0.910901769612727,0.374237891361814,0.569298540933187
"28","HVO_B0358 [D4GQ05] conserved hypothetical protein",1,1,1,1,1
"29","HVO_B0354 [D4GQ01] conserved hypothetical protein",0.364191003771043,0.24831784310753,0.922327402080351,0.000375005859466593,0.361529731773024
"30","HVO_B0352 [D4GPZ9] cupin 2 barrel domain protein",0.714167802717359,0.636590175791514,0.905746418900413,0.496160661547549,0.535298046508892
"31","HVO_B0348 [D4GPZ5] dihydrodipicolinate synthase family protein",1,1,1,1,1
"32","HVO_B0345 [D4GPZ2] homolog to mandelate racemase / homolog to muconate lactonizing enzyme",0.682661691706275,0.697659086921617,0.923935788364314,0.473332829913782,0.612035518378293
"33","HVO_B0338 [D4GPY5] probable hydro-lyase (homolog to altronate dehydratase)",0.704340015946052,0.647918494632069,0.883821202156794,0.402394630259249,1
"34","HVO_B0336 [D4GPY3] probable hydro-lyase (homolog to altronate dehydratase) (nonfunctional)",0.707174936524746,0.668054566372651,0.873997405828944,1,0.551938500339435
"35","HVO_B0335 [D4GPY2] major facilitator superfamily transport protein",1,1,1,1,1
"36","HVO_B0328 [D4GPX5] (dppA15) ABC-type transport system periplasmic substrate-binding protein (probable substrate dipeptide/oligopeptide)",1,1,1,0.000375005859466593,0.297862967127032
"37","HVO_B0326 [D4GPX3] conserved hypothetical protein",1,1,1,1,1
"38","HVO_B0324 [D4GPX1] conserved hypothetical protein",0.742652103432155,0.00991339397570679,0.90016406604531,0.351440398749683,0.323268444665789
"39","HVO_B0323 [D4GPX0] oxidoreductase domain protein",0.710268284664751,0.670441502792869,0.900286349695481,0.386622138111066,0.293142052011277
"40","HVO_B0321 [D4GPW8] GFO family oxidoreductase",0.737498623870045,0.0562149759519922,0.909805665176315,0.149041513656759,0.59284146098064
"41","HVO_B0319 [D4GPW6] IclR family transcription regulator",1,1,1,1,1
"42","HVO_B0318 [D4GPW5] (tsgA13) ABC-type transport system periplasmic substrate-binding protein (substrate glucose)",0.516979166039259,0.625982959654055,0.911876955332427,0.000375005859466593,0.157233485321947
"43","HVO_B0316 [D4GPW3] (tsgD13) ABC-type transport system ATP-binding protein (substrate glucose)",1,0.644796735206404,1,0.000375005859466593,0.55395715998281
"44","HVO_B0302 [D4GPU9] (pucH1) probable allantoinase",1,1,1,1,1
"45","HVO_B0300 [D4GPU7] (pucL1) uricase",0.701483133932073,0.653797747939223,0.902341391031282,0.00150033523115323,0.463655338918654
"46","HVO_B0295 [D4GPU2] (ugpC) ABC-type transport system ATP-binding protein (probable substrate glycerol-3-phosphate)",0.700046377483732,0.625007856738796,0.917411558678268,0.429687456398934,0.574250099607263
"47","HVO_B0294 [D4GPU1] (ugpE) ABC-type transport system permease protein (probable substrate glycerol-3-phosphate)",1,1,1,1,1
"48","HVO_B0292 [D4GPT9] (ugpB) ABC-type transport system periplasmic substrate-binding protein (probable substrate glycerol-3-phosphate)",0.0762300865018053,0.0639381696820657,0.9405540799747,0.000375005859466593,0.00054939103850582
"49","HVO_B0287 [D4GPT4] TRAM domain protein",0.692778137327917,0.680460342280826,0.912306980037583,0.0721928180860375,0.431956110508226
"50","HVO_B0286 [D4GPT3] conserved hypothetical protein",0.683565296833719,0.616480022120835,0.860901543277025,0.428667113194909,1
"51","HVO_B0283 [D4GPT0] HTH-10 family transcription regulator",0.695119420840533,0.656559107608931,0.881191159393864,0.496830212025482,0.521853373302246
"52","HVO_B0282 [D4GPS9] probable transmembrane glycoprotein / HTH domain protein",1,1,1,1,1
"53","HVO_B0279 [D4GPS6] probable S-adenosylmethionine-dependent methyltransferase",0.69012658351787,0.579159745066403,0.898932526042734,0.0183445952665173,0.528425774275892
"54","HVO_B0276 [D4GPS3] DMT superfamily transport protein",0.703485268872529,0.651330539038893,1,0.429007254678778,0.000549208008736257
"55","HVO_B0273 [D4GPS0] sensor box histidine kinase",0.664442674326178,0.690280277706351,0.90065225969685,0.2056336188974,0.586358317239684
"56","HVO_B0267 [D4GPR4] peptidase M24 family protein (homolog to ectoine hydrolase)",0.735154693106733,0.629220197191515,0.893712048073193,0.53614732293764,0.587008571754942
"57","HVO_B0266 [D4GPR3] (gdhA3) glutamate dehydrogenase (NAD)",0.00325554379291926,0.707142180244496,0.901741591347721,0.31631830585127,0.524625922429015
"58","HVO_B0265 [D4GPR2] FAD-dependent oxidoreductase (GlcD/DLD_GlcF/GlpC domain fusion protein)",1,1,1,1,1
"59","HVO_B0264 [D4GPR1] (serA4) probable D-2-hydroxyacid dehydrogenase",0.731477412042284,0.568057748159217,0.913690371639424,0.460522462258912,0.571612365881887
"60","HVO_B0263 [D4GPR0] M20 family amidohydrolase (homolog to indole-3-acetyl-aspartate hydrolase)",1,0.1302572306656,1,1,1
"61","HVO_B0257 [D4GPQ4] pyridoxal phosphate-dependent aminotransferase",0.713890644753477,0.714542077753137,0.911661163711106,0.529176915583735,0.500104935595532
"62","HVO_B0256 [D4GPQ3] (aor3) aldehyde ferredoxin oxidoreductase",0.675661852638512,0.554507443022224,0.889435531204194,0.454778996742516,0.569298540933187
"63","HVO_B0253 [D4GPQ1] (suhB3) probable inositol-1(or 4)-monophosphatase / fructose-1,6-bisphosphatase, archaeal-type",0.725083672926382,0.588300008576405,0.921848418925467,0.128678594704025,0.0684433861464725
"64","HVO_B0248 [D4GPP7] probable oxidoreductase (short-chain dehydrogenase family)",0.720484697392982,0.227542170670432,0.91326700597813,0.0078711658813071,0.000549208008736257
"65","HVO_B0236 [D4GPN7] homolog to NADH dehydrogenase 51K subunit",1,1,1,1,1
"66","HVO_B0234B [L9VJ13] conserved hypothetical protein",0.717202670475639,0.000830360157312193,1,0.46018482577907,1
"67","HVO_B0233 [D4GPN4] (xsa) alpha-L-arabinofuranosidase",0.559667050313972,0.7263604068902,0.89806092227513,0.573129296494324,0.531867784279614
"68","HVO_B0230 [D4GPN1] (tsgC9) ABC-type transport system permease protein (probable substrate sugar)",1,1,0.907798586542838,1,1
"69","HVO_B0228 [D4GPM9] (tsgA9) ABC-type transport system periplasmic substrate-binding protein (probable substrate sugar)",0.772759491685198,0.0911398525323341,0.927601539587618,0.000375005859466593,0.00766992445412751
"70","HVO_B0227 [D4GPM8] (tsgD9) ABC-type transport system ATP-binding protein (probable substrate sugar)",0.700909099682491,1,0.917208940163199,0.427306276358667,0.545857848656493
"71","HVO_B0223 [D4GPM4] conserved hypothetical protein",0.716927819768951,0.656253031382255,0.870620851886079,0.483419071893946,0.585707630003942
"72","HVO_B0221 [D4GPM2] (livF6) ABC-type transport system ATP-binding protein (probable substrate branched-chain amino acids)",1,1,1,1,1
"73","HVO_B0220 [D4GPM1] (livG6) ABC-type transport system ATP-binding protein (probable substrate branched-chain amino acids)",0.722926775216035,0.720488026478032,0.919411984656377,0.000375005859466593,0.000549208008736257
"74","HVO_B0217 [D4GPL8] (livJ6) ABC-type transport system periplasmic substrate-binding protein (probable substrate branched-chain amino acids)",0.630104724496863,0.582693456760396,0.924589157979882,0.19882353570547,0.552948342350926
"75","HVO_B0207 [D4GPK8] hypothetical protein",1,1,1,1,1
"76","HVO_B0202 [D4GPK3] sensor box protein",1,1,1,0.429347369079042,0.523587108827651
"77","HVO_B0201 [D4GPK2] IclR family transcription regulator",1,1,1,1,1
"78","HVO_B0200 [D4GPK1] (aceB2) bifunctional malyl-CoA synthase / malyl-CoA thioesterase",0.776254685111388,0.56697135378185,0.938786867000556,0.537473714837396,0.651137478655525
"79","HVO_B0198 [D4GPJ9] ABC-type transport system periplasmic substrate-binding protein",0.00108645526383677,0.000830360157312193,0.250587283860284,0.000375130856193229,0.000549208008736257
"80","HVO_B0197 [D4GPJ8] ABC-type transport system permease protein",0.714721486039181,0.657170705772894,0.893842759847797,0.525188651374908,0.551264702461226
"81","HVO_B0194 [D4GPJ5] LppX domain protein",0.172371031746032,0.000830360157312193,0.920199267582319,0.000375005859466593,0.000549208008736257
"82","HVO_B0186 [D4GPI7] (dppC14) ABC-type transport system permease protein (probable substrate dipeptide/oligopeptide)",1,1,1,1,1
"83","HVO_B0185 [D4GPI6] (dppB14) ABC-type transport system permease protein (probable substrate dipeptide/oligopeptide)",1,1,1,1,1
"84","HVO_B0184 [D4GPI5] (dppA14) ABC-type transport system periplasmic substrate-binding protein (probable substrate dipeptide/oligopeptide)",0.685066535239034,0.622071585533912,0.821470422558376,0.391428604530266,0.517680230690287
"85","HVO_B0183 [D4GPI4] probable amino acid racemase (homolog to homoserine racemase)",0.713335695014218,0.620761271482296,0.90305613805906,0.386965635710562,0.612035518378293
"86","HVO_B0182 [D4GPI3] (dhs2) deoxyhypusine synthase",0.654839293859971,0.644796735206404,0.92560558865334,0.000375005859466593,0.00548324455466365
"87","HVO_B0177 [D4GPH8] ABC-type transport system ATP-binding protein",0.688645371424087,1,0.884109354841762,0.458158444237031,1
"88","HVO_B0175 [D4GPH6] histidine kinase",1,1,1,0.453764639274475,0.000549208008736257
"89","HVO_B0156 [D4GPF8] conserved hypothetical protein",0.689534798265599,1,0.911769124656842,1,1
"90","HVO_B0154 [D4GPF6] receiver/sensor box histidine kinase",0.370833420518508,0.128134972997812,0.257675271116542,0.409575864620379,0.433847514789628
"91","HVO_B0153_A [D4GPF5] CapC domain protein",0.656456298761525,0.662037037037037,0.880448670617468,0.344508179626745,0.401225340547824
"92","HVO_B0153 [D4GPF4] CapB domain protein",0.775326208686744,0.00248943358546816,0.91751269035533,0.00824563883008744,0.544162178405492
"93","HVO_B0149 [D4GPF0] (ohyA) oleate hydratase",0.165589884527583,0.74201282210659,0.929549748110831,0.00862008049312479,0.00657705599004932
"94","HVO_B0144 [D4GPE5] ABC-type transport system periplasmic substrate-binding protein",0.496391892224712,0.665054812209797,0.905976711328199,0.25690518080727,0.564986988191393
"95","HVO_B0143 [D4GPE4] receiver/sensor box histidine kinase",0.234896955024916,0.495979662387936,0.92795925971929,0.312126353237775,0.0437443182393009
"96","HVO_B0142 [D4GPE3] ARM/HEAT repeat protein",0.711944612137605,0.675181409719427,0.904702949210875,0.50819640705848,0.562990677602585
"97","HVO_B0139 [D4GPE0] PQQ repeat protein",0.722926775216035,0.429594660589289,0.888475147742641,0.000375005859466593,0.461080847904816
"98","HVO_B0138 [D4GPD9] PQQ repeat protein",0.741370815801759,0.00826934435912585,0.913160847576147,0.000375005859466593,0.556307092837319
"99","HVO_B0135 [D4GPD6] conserved hypothetical protein",0.69012658351787,0.197802197802198,0.901379872475966,0.0153546850319519,0.19671042753226
"100","HVO_B0134 [D4GPD5] ABC-type transport system ATP-binding protein",0.735676913666738,0.625982959654055,0.428895000808931,0.44733476033914,0.278859372340565
"101","HVO_B0133 [D4GPD4] conserved hypothetical protein",1,1,1,1,1
"102","HVO_B0132 [D4GPD3] PQQ repeat protein",0.718299992460607,0.000830360157312193,0.00400059759964144,0.000375005859466593,0.000549208008736257
"103","HVO_B0131 [D4GPD2] HTH domain protein",0.750742641101809,0.5177442372577,0.921656060817192,0.0280480322552371,0.447739211170249
"104","HVO_B0130 [D4GPD1] DUF296 family protein",0.725083672926382,0.668353556846282,0.911984655973503,0.452073506475289,0.000549208008736257
"105","HVO_B0127 [D4GPC8] oxidoreductase (luciferase family protein)",0.718299992460607,0.318724922967791,0.919806533915262,0.147953020611421,0.217112483591211
"106","HVO_B0123 [D4GPC4] (dppB13) ABC-type transport system permease protein (probable substrate dipeptide/oligopeptide)",0.644995701383687,0.680460342280826,0.883676823871539,0.370101865682965,0.49655319036479
"107","HVO_B0118 [D4GPB9] (sph2) Smc-like protein Sph2",0.668844506122394,0.000830360157312193,0.949950057460771,0.000375005859466593,0.000549208008736257
"108","HVO_B0117 [D4GPB8] conserved hypothetical protein",0.778103899921327,0.716983491745873,0.808128018229133,0.413332662338752,0.591548273362814
"109","HVO_B0115 [D4GPB6] fumarylacetoacetase family protein",0.780401020068234,0.740985505185065,0.937611720584627,0.506860790259211,0.623684553191993
"110","HVO_B0114 [D4GPB5] IclR family transcription regulator",0.309274675347026,0.730059694358716,0.929111076579276,0.228138967342126,0.390650669587295
"111","HVO_B0111 [D4GPB3] homolog to mandelate racemase / homolog to muconate lactonizing enzyme",0.00108645526383677,0.000830360157312193,0.920882220275098,0.238459779882695,0.660215049081137
"112","HVO_B0110 [D4GPB2] oxidoreductase (homolog to zinc-containing alcohol dehydrogenase)",1,1,1,0.449366296859566,1
"113","HVO_B0109 [D4GPB1] (tsgD8) ABC-type transport system ATP-binding protein (probable substrate sugar)",1,1,1,1,1
"114","HVO_B0106 [D4GPA8] (tsgA8) ABC-type transport system periplasmic substrate-binding protein (probable substrate sugar)",0.742652103432155,0.681916781699862,0.921848418925467,0.00262525739828401,0.415933303404323
"115","HVO_B0102 [D4GPA4] glycoside hydrolase domain protein",0.726425174642716,0.702702702702703,0.910245708571287,0.376648736717262,0.407830296924412
"116","HVO_B0101 [D4GPA3] IclR family transcription regulator",0.774628149809024,0.697095435684647,0.856916420340145,0.366997234028199,0.569298540933187
"117","HVO_B0100 [D4GPA2] (aldH3) alpha-ketoglutarate semialdehyde dehydrogenase",0.746973639551985,0.66535559590089,0.908472548719589,0.479051307954632,0.55898593686426
"118","HVO_B0098 [D4GPA0] SGNH-type esterase domain protein",1,1,0.877731529656608,1,1
"119","HVO_B0096 [D4GP98] homolog to sugar epimerase/dehydratase",0.70205627948956,1,1,1,0.506819380604325
"120","HVO_B0093 [D4GP95] (dppA12) ABC-type transport system periplasmic substrate-binding protein (probable substrate dipeptide/oligopeptide)",0.796046230586546,0.105128040562223,0.941384795598846,0.000375005859466593,0.31739208771975
"121","HVO_B0092 [D4GP94] (dppB12) ABC-type transport system permease protein (probable substrate dipeptide/oligopeptide)",1,1,1,1,1
"122","HVO_B0090 [D4GP92] (dppD12) ABC-type transport system ATP-binding protein (probable substrate dipeptide/oligopeptide)",0.682661691706275,0.651639595293646,0.887087146836451,0.472322887246904,0.507875521455427
"123","HVO_B0089 [D4GP91] (dppF12) ABC-type transport system ATP-binding protein (probable substrate dipeptide/oligopeptide)<|>HVO_B0332 [D4GPX9] (dppF15) ABC-type transport system ATP-binding protein (probable substrate dipeptide/oligopeptide)",0.675047066402329,0.522079177468254,0.894363875083184,0.448350649649577,1
"124","HVO_B0089 [D4GP91] (dppF12) ABC-type transport system ATP-binding protein (probable substrate dipeptide/oligopeptide)",0.71582632898704,0.641025352493051,0.891863666859948,0.000375005859466593,1
"125","HVO_B0087 [D4GP89] homolog to mandelate racemase / homolog to muconate lactonizing enzyme",0.797135475347061,0.00414493611788014,0.93713654869808,0.0588841363000047,0.65508182309735
"126","HVO_B0086 [D4GP88] AlkP-core domain protein",1,1,1,1,1
"127","HVO_B0085 [D4GP87] glycoside hydrolase domain protein",0.749992114950504,0.701027322867603,0.933393041085497,0.459847162511067,0.542803566526954
"128","HVO_B0084 [D4GP86] DUF336 family protein",0.748234532395766,0.648229624973811,0.898435436052485,0.344161275994165,0.510335592346467
"129","HVO_B0082 [D4GP84] (dppA11) ABC-type transport system periplasmic substrate-binding protein (probable substrate dipeptide/oligopeptide)",0.00108645526383677,0.756160263024431,0.928492903762541,0.00187534063804562,0.000549208008736257
"130","HVO_B0081 [D4GP83] (dppB11) ABC-type transport system permease protein (probable substrate dipeptide/oligopeptide)",0.715550433112704,0.656864999016694,0.900530446219373,0.416745073416665,0.560656546957917
"131","HVO_B0080 [D4GP82] (dppC11) ABC-type transport system permease protein (probable substrate dipeptide/oligopeptide)",1,1,1,1,1
"132","HVO_B0079 [D4GP81] (dppD11) ABC-type transport system ATP-binding protein (probable substrate dipeptide/oligopeptide)",1,1,1,1,1
"133","HVO_B0078 [D4GP80] (dppF11) ABC-type transport system ATP-binding protein (probable substrate dipeptide/oligopeptide)",0.706326751217082,0.599341383095499,0.890926393616632,0.305830805629243,0.50928200526906
"134","HVO_B0076 [D4GP78] (hyuA4) N-methylhydantoinase (ATP-hydrolyzing) A",0.712779898581277,1,0.893055874081138,1,1
"135","HVO_B0075 [D4GP77] DUF917 family protein",1,1,1,0.458834011946207,1
"136","HVO_B0074 [D4GP76] DUF917 family protein",1,1,1,1,1
"137","HVO_B0072 [D4GP74] HTH-10 family transcription regulator",0.69453547302778,0.589344804765056,0.876191412007468,0.436483520895689,0.552275228259518
"138","HVO_B0071 [D4GP73] (adh2) alcohol dehydrogenase (NADP)",0.782227300845419,0.659305496837515,0.939406255195729,0.246627943566224,0.00164746098486135
"139","HVO_B0070 [D4GP72] pyridoxal phosphate-dependent aminotransferase",0.749741577220332,0.613162897941022,0.922898602697268,0.44326878036078,0.499040707866983
"140","HVO_B0069 [D4GP71] (gabD) succinate-semialdehyde dehydrogenase",1,1,1,1,1
"141","HVO_B0067 [D4GP69] (cat7) transport protein (probable substrate cationic amino acids)",0.672887523787267,0.496390181293117,0.8778843248056,0.353864044317087,0.552275228259518
"142","HVO_B0066 [D4GP68] Lrp/AsnC family transcription regulator",0.726960370471532,0.71071935295213,0.9505479932581,0.427986748963414,0.61551349692659
"143","HVO_B0064 [D4GP66] CbtA family protein",0.676888472632528,0.601386588134241,0.349401957230881,0.193080516747334,0.505056706524049
"144","HVO_B0062 [D4GP64] (cbiT) cobalt-precorrin-6B C15-methyltransferase (decarboxylating)",0.494986773220859,0.740470993039549,0.00400059759964144,0.538468235068537,0.42053602585832
"145","HVO_B0061 [D4GP63] (cbiL) cobalt-factor-II C20-methyltransferase",0.686263253201764,0.721829069134458,0.0274099468698717,0.52618607063636,0.378379810486534
"146","HVO_B0060 [D4GP62] (cbiF) cobalt-precorrin-4 C11-methyltransferase",1,1,1,1,1
"147","HVO_B0059 [D4GP61] (cbiG) cobalt-precorrin-5A hydrolase",0.00108645526383677,0.414279681529318,0.00400059759964144,0.000375005859466593,0.394971454785365
"148","HVO_B0058 [D4GP60] (cbiH1) cobalt-factor-III C17-methyltransferase",0.00108645526383677,0.60881927137581,0.0498306109140649,0.0692387690575291,0.528425774275892
"149","HVO_B0057 [D4GP59] (cbiH2) cobalt-factor-III C17-methyltransferase",0.730419721359504,0.703816406745277,0.573351459441516,0.499507356441453,0.576880780392273
"150","HVO_B0055 [D4GP57] conserved hypothetical protein",0.123331348888329,0.676065140773309,0.922040339232659,0.000375005859466593,0.511037377160125
"151","HVO_B0054 [D4GP56] (cbiX1) sirohydrochlorin cobaltochelatase",1,1,1,1,1
"152","HVO_B0053 [D4GP55] DUF3209 family protein",1,1,0.880894794673262,1,1
"153","HVO_B0052 [D4GP54] PQQ repeat protein",0.53238199780461,0.691993005310189,0.751556656064484,0.488453220383699,0.59284146098064
"154","HVO_B0051 [D4GP53] (chlID) ATP-dependent cobaltochelatase subunit ChlID",0.350655903128153,0.576316190783749,0.00400059759964144,0.00112529846783582,0.00657705599004932
"155","HVO_B0050 [D4GP52] (cobN) ATP-dependent cobaltochelatase subunit CobN",0.00108681714262493,0.0654739446691643,0.00400059759964144,0.00862008049312479,0.694219546488848
"156","HVO_B0049 [D4GP51] (cbiC) cobalt-precorrin-8 methylmutase",1,1,1,0.248046934370915,0.550253149679789
"157","HVO_B0047 [D4GP49] ABC-type transport system periplasmic substrate-binding protein",0.00108645526383677,0.262626262626263,0.905515550918976,0.000375005859466593,0.355041411678772
"158","HVO_B0045 [D4GP47] (bdb) diaminobutyrate decarboxylase",1,0.724499819055989,0.976911125192046,1,1
"159","HVO_B0044 [D4GP46] (iucA) siderophore biosynthesis protein IucA",0.696284583189018,0.641340694139385,0.905976711328199,0.46490930022391,0.529459614382289
"160","HVO_B0040 [D4GP42] (xacR) IclR family transcription regulator XacR",0.407912367605371,0.281836400072873,0.895397863826387,0.000375005859466593,0.000549208008736257
"161","HVO_B0039 [D4GP41] (xacF) alpha-ketoglutarate semialdehyde dehydrogenase",0.735676913666738,0.722631877481566,0.933808773450709,0.261504363338096,0.621491480002978
"162","HVO_B0038A [D4GP40] (xacD) D-xylonate dehydratase / D-gluconate dehydratase",0.711944612137605,0.667755397299912,0.873521404197604,0.000375005859466593,0.574908429910569
"163","HVO_B0038 [D4GP39] (tsgD7) ABC-type transport system ATP-binding protein (probable substrate sugar)",1,1,1,1,1
"164","HVO_B0034 [D4GP35] (tsgA7) ABC-type transport system periplasmic substrate-binding protein (probable substrate sugar)",1,1,1,0.442590739906241,0.554964954792986
"165","HVO_B0031 [D4GP32] probable oxidoreductase (short-chain dehydrogenase family)",0.71857380392748,0.663849873739458,0.904118134661893,0.276682521425512,0.535982694512656
"166","HVO_B0029 [D4GP30] probable sugar dehydrogenase (NADP)",0.646653363208573,0.670739070213446,0.901981969522789,0.0131109415880238,0.416317626312437
"167","HVO_B0026 [D4GP27] probable oxidoreductase (short-chain dehydrogenase family)",0.745961620095444,0.50373072458962,0.893842759847797,0.423902286829527,0.562324344505805
"168","HVO_B0025 [D4GP26] oxidoreductase (homolog to zinc-containing alcohol dehydrogenase)",0.634902770016624,0.678706935802094,0.891996844851647,0.48173969445296,0.542123567400716
"169","HVO_B0023 [D4GP24] (dppC10) ABC-type transport system permease protein (probable substrate dipeptide/oligopeptide)",1,1,1,1,1
"170","HVO_B0021 [D4GP22] (dppA10) ABC-type transport system periplasmic substrate-binding protein (probable substrate dipeptide/oligopeptide)",0.568135694804283,0.716442034463881,0.851639846967086,0.000375005859466593,0.524625922429015
"171","HVO_B0020 [D4GP21] HTH-10 family transcription regulator",1,1,1,1,1
"172","HVO_B0018 [D4GP19] (parA2) ParA domain protein",0.727494766224703,0.0421243790838037,0.927780596257722,0.25761306344792,0.467322151995462
"173","HVO_B0011 [D4GP12] (soxA1) sarcosine oxidase",0.686860194117473,0.670143758046924,0.901500599373186,0.391085463984183,0.571282151843462
"174","HVO_B0006 [D4GP07] conserved hypothetical protein",1,1,1,1,1
"175","HVO_B0001 [D4GP02] (orc6) Orc1-type DNA replication protein",0.760353375082663,0.535274189345147,0.931962899427209,0.0284208213679702,0.254202412874547
"176","HVO_A0636 [D4GRU4] (ybaK) YbaK domain protein",0.608515380218094,0.215035027628266,0.92107634465401,0.441573477056742,0.62743247693605
"177","HVO_A0635 [D4GRU3] (sufS2) probable cysteine desulfurase",1,1,1,1,1
"178","HVO_A0633 [D4GRU1] (pilA6) pilin PilA",0.639980991439185,0.000830360157312193,0.910355384733985,0.291807875001701,0.304268726571154
"179","HVO_A0631 [D4GRT9] conserved hypothetical protein",0.727494766224703,0.596602230941474,0.92795925971929,0.457820620173092,0.530836417537438
"180","HVO_A0629 [D4GRT7] sensor box histidine kinase",0.693364833422158,0.243483483951994,0.908696099161705,0.000375005859466593,0.000549208008736257
"181","HVO_A0627 [D4GRT5] conserved hypothetical protein",0.514736070971429,0.0156420335548307,0.916802276654995,0.0164761353477072,0.000549208008736257
"182","HVO_A0625 [D4GRT3] conserved hypothetical protein",0.717202670475639,0.670739070213446,0.906778233279048,0.255843141185233,0.623684553191993
"183","HVO_A0624 [D4GRT2] (cadA) P-type transport ATPase (probable substrate zinc/cadmium)",0.48979874427006,0.135186514081404,0.907572822048327,0.000375005859466593,0.185430379309655
"184","HVO_A0620 [D4GRS8] conserved hypothetical protein",0.695702456849635,0.66535559590089,0.90666415673229,0.410942354416899,0.549240568348849
"185","HVO_A0619 [D4GRS7] conserved hypothetical protein",0.499654342299299,0.426377332957045,0.91453106384352,0.000375005859466593,0.00603026822003161
