Protein_ID,H26_Exponential_vs_H26_Stationary,H26_Exponential_vs_H26_Stationary_PEP,H26_Exponential_vs_HVABI_Exponential,H26_Exponential_vs_HVABI_Exponential_PEP,H26_Exponential_vs_HVLON3_Exponential,H26_Exponential_vs_HVLON3_Exponential_PEP,H26_Stationary_vs_HVABI_Stationary,H26_Stationary_vs_HVABI_Stationary_PEP,H26_Stationary_vs_HVLON3_Stationary,H26_Stationary_vs_HVLON3_Stationary_PEP,Row_Number
HVO_B0363 [D4GQ10] (dmsA) dimethylsulfoxide reductase subunit A,-1.839651817,0.008648904,1.952222501,0.00083036,0.315295118,0.904702949,2.122151753,0.000375006,1.792423237,0.000549208,27
HVO_B0359 [D4GQ06] YidE family protein,-0.982601595,0.698892951,1.620418608,0.526771147,-1.248816864,0.91090177,1.953343115,0.374237891,1.622894633,0.569298541,28
HVO_B0358 [D4GQ05] conserved hypothetical protein,0,1,0,1,0,1,0,1,0,1,29
HVO_B0354 [D4GQ01] conserved hypothetical protein,-1.406630056,0.364191004,1.071119394,0.248317843,0.056070021,0.922327402,2.172980004,0.000375006,1.086568598,0.361529732,30
HVO_B0352 [D4GPZ9] cupin 2 barrel domain protein,0.800651121,0.714167803,-0.703946846,0.636590176,0.092986333,0.905746419,-1.414988605,0.496160662,-1.275412712,0.535298047,31
HVO_B0348 [D4GPZ5] dihydrodipicolinate synthase family protein,0,1,0,1,0,1,0,1,0,1,32
HVO_B0345 [D4GPZ2] homolog to mandelate racemase / homolog to muconate lactonizing enzyme,-1.132597239,0.682661692,-0.330695413,0.697659087,-0.013300586,0.923935788,0.623403081,0.47333283,0.654509968,0.612035518,33
HVO_B0338 [D4GPY5] probable hydro-lyase (homolog to altronate dehydratase),-1.25402821,0.704340016,0.58364979,0.647918495,-2.782897611,0.883821202,2.272379346,0.40239463,9.914681301,1,34
HVO_B0336 [D4GPY3] probable hydro-lyase (homolog to altronate dehydratase) (nonfunctional),-1.740913805,0.707174937,-0.128963866,0.668054566,1.759688006,0.873997406,5.355258416,1,1.263918377,0.5519385,35
HVO_B0335 [D4GPY2] major facilitator superfamily transport protein,0,1,0,1,0,1,0,1,0,1,36
HVO_B0328 [D4GPX5] (dppA15) ABC-type transport system periplasmic substrate-binding protein (probable substrate dipeptide/oligopeptide),0,1,0,1,0,1,2.08333487,0.000375006,0.990383872,0.297862967,37
HVO_B0326 [D4GPX3] conserved hypothetical protein,0,1,0,1,0,1,0,1,0,1,38
HVO_B0324 [D4GPX1] conserved hypothetical protein,0.583754488,0.742652103,-1.675751404,0.009913394,-0.61419885,0.900164066,-1.244113439,0.351440399,-1.623708577,0.323268445,39
HVO_B0323 [D4GPX0] oxidoreductase domain protein,-0.821236794,0.710268285,0.431323675,0.670441503,-1.001819495,0.90028635,1.85560841,0.386622138,2.622498258,0.293142052,40
HVO_B0321 [D4GPW8] GFO family oxidoreductase,-0.071668979,0.737498624,0.940945513,0.056214976,0.352344446,0.909805665,1.696273572,0.149041514,0.399246352,0.592841461,41
HVO_B0319 [D4GPW6] IclR family transcription regulator,0,1,0,1,0,1,0,1,0,1,42
HVO_B0318 [D4GPW5] (tsgA13) ABC-type transport system periplasmic substrate-binding protein (substrate glucose),-1.856994368,0.516979166,1.02828443,0.62598296,-0.173963973,0.911876955,3.182724753,0.000375006,2.221610532,0.157233485,43
HVO_B0316 [D4GPW3] (tsgD13) ABC-type transport system ATP-binding protein (substrate glucose),6.572963684,1,-2.144975047,0.644796735,12.55907675,1,2.130996397,0.000375006,1.501860002,0.55395716,44
HVO_B0302 [D4GPU9] (pucH1) probable allantoinase,0,1,0,1,0,1,5.038681927,1,7.535038817,1,45
HVO_B0300 [D4GPU7] (pucL1) uricase,-2.007908039,0.701483134,-0.372744452,0.653797748,-0.90422355,0.902341391,1.255312305,0.001500335,2.286416084,0.463655339,46
HVO_B0295 [D4GPU2] (ugpC) ABC-type transport system ATP-binding protein (probable substrate glycerol-3-phosphate),-0.891804174,0.700046377,1.035593144,0.625007857,0.604065214,0.917411559,1.238521755,0.429687456,0.323204378,0.5742501,47
HVO_B0294 [D4GPU1] (ugpE) ABC-type transport system permease protein (probable substrate glycerol-3-phosphate),0,1,0,1,0,1,0,1,0,1,48
HVO_B0292 [D4GPT9] (ugpB) ABC-type transport system periplasmic substrate-binding protein (probable substrate glycerol-3-phosphate),-0.81966647,0.076230087,1.091492863,0.06393817,0.153547843,0.94055408,1.600015841,0.000375006,1.306301257,0.000549391,49
HVO_B0287 [D4GPT4] TRAM domain protein,-1.241475207,0.692778137,0.470014117,0.680460342,-0.343637528,0.91230698,2.31855487,0.072192818,1.605661175,0.431956111,50
HVO_B0286 [D4GPT3] conserved hypothetical protein,-0.311116563,0.683565297,0.896204766,0.616480022,1.024323555,0.860901543,1.663866245,0.428667113,10.18506804,1,51
HVO_B0283 [D4GPT0] HTH-10 family transcription regulator,-0.766318178,0.695119421,0.352260272,0.656559108,-1.681647072,0.881191159,1.150907113,0.496830212,0.416389269,0.521853373,52
HVO_B0282 [D4GPS9] probable transmembrane glycoprotein / HTH domain protein,0,1,0,1,0,1,0,1,0,1,53
HVO_B0279 [D4GPS6] probable S-adenosylmethionine-dependent methyltransferase,3.071147788,0.690126584,2.023285321,0.579159745,0.131888166,0.898932526,-1.135389423,0.018344595,-1.636818881,0.528425774,54
HVO_B0276 [D4GPS3] DMT superfamily transport protein,-0.577127514,0.703485269,-1.682822583,0.651330539,11.21498032,1,1.897912391,0.429007255,2.622208688,0.000549208,55
HVO_B0273 [D4GPS0] sensor box histidine kinase,-2.214826892,0.664442674,0.472502703,0.690280278,-0.216559122,0.90065226,2.458665177,0.205633619,1.342401135,0.586358317,56
HVO_B0267 [D4GPR4] peptidase M24 family protein (homolog to ectoine hydrolase),-0.135368781,0.735154693,-0.446814993,0.629220197,1.005394237,0.893712048,1.053565511,0.536147323,0.987685886,0.587008572,57
HVO_B0266 [D4GPR3] (gdhA3) glutamate dehydrogenase (NAD),3.24682547,0.003255544,0.623152531,0.70714218,0.300350529,0.901741591,-1.034167098,0.316318306,-1.442225042,0.524625922,58
HVO_B0265 [D4GPR2] FAD-dependent oxidoreductase (GlcD/DLD_GlcF/GlpC domain fusion protein),0,1,0,1,0,1,0,1,0,1,59
HVO_B0264 [D4GPR1] (serA4) probable D-2-hydroxyacid dehydrogenase,-0.589323472,0.731477412,-0.756161491,0.568057748,-0.510325265,0.913690372,0.713388953,0.460522462,0.644763165,0.571612366,60
HVO_B0263 [D4GPR0] M20 family amidohydrolase (homolog to indole-3-acetyl-aspartate hydrolase),7.564918843,1,0.466745407,0.130257231,11.93080915,1,0,1,0,1,61
HVO_B0257 [D4GPQ4] pyridoxal phosphate-dependent aminotransferase,0.232622799,0.713890645,-0.338863361,0.714542078,0.332332394,0.911661164,0.164742053,0.529176916,-1.438901708,0.500104936,62
HVO_B0256 [D4GPQ3] (aor3) aldehyde ferredoxin oxidoreductase,-2.285143853,0.675661853,-1.233912718,0.554507443,-0.768427547,0.889435531,-0.780546599,0.454778997,-1.94638987,0.569298541,63
"HVO_B0253 [D4GPQ1] (suhB3) probable inositol-1(or 4)-monophosphatase / fructose-1,6-bisphosphatase, archaeal-type",0.680125202,0.725083673,-0.900749315,0.588300009,-0.164945624,0.921848419,-1.419112139,0.128678595,-1.181708348,0.068443386,64
HVO_B0248 [D4GPP7] probable oxidoreductase (short-chain dehydrogenase family),0.578145633,0.720484697,-0.971547604,0.227542171,-0.403565521,0.913267006,-1.211954949,0.007871166,-2.058361693,0.000549208,65
HVO_B0236 [D4GPN7] homolog to NADH dehydrogenase 51K subunit,0,1,0,1,0,1,0,1,0,1,66
HVO_B0234B [L9VJ13] conserved hypothetical protein,2.230707178,0.71720267,1.640843258,0.00083036,11.75563959,1,-0.612961611,0.460184826,10.18533765,1,67
HVO_B0233 [D4GPN4] (xsa) alpha-L-arabinofuranosidase,1.188149419,0.55966705,0.148863845,0.726360407,-0.402720973,0.898060922,-0.136272862,0.573129296,-0.750862604,0.531867784,68
HVO_B0230 [D4GPN1] (tsgC9) ABC-type transport system permease protein (probable substrate sugar),13.61236303,1,15.74297995,1,5.900588849,0.907798587,0,1,0,1,69
HVO_B0228 [D4GPM9] (tsgA9) ABC-type transport system periplasmic substrate-binding protein (probable substrate sugar),0.412872972,0.772759492,0.927322153,0.091139853,0.26195986,0.92760154,2.64209549,0.000375006,1.074459942,0.007669924,70
HVO_B0227 [D4GPM8] (tsgD9) ABC-type transport system ATP-binding protein (probable substrate sugar),1.722477092,0.7009091,13.91881097,1,0.162251595,0.91720894,1.77490399,0.427306276,-0.800659135,0.545857849,71
HVO_B0223 [D4GPM4] conserved hypothetical protein,-0.409519164,0.71692782,-0.987365174,0.656253031,-1.4553251,0.870620852,-0.227829444,0.483419072,-0.228343452,0.58570763,72
HVO_B0221 [D4GPM2] (livF6) ABC-type transport system ATP-binding protein (probable substrate branched-chain amino acids),0,1,0,1,0,1,0,1,0,1,73
HVO_B0220 [D4GPM1] (livG6) ABC-type transport system ATP-binding protein (probable substrate branched-chain amino acids),-0.957676802,0.722926775,-0.112242714,0.720488026,0.428290844,0.919411985,2.305019393,0.000375006,2.228771782,0.000549208,74
HVO_B0217 [D4GPL8] (livJ6) ABC-type transport system periplasmic substrate-binding protein (probable substrate branched-chain amino acids),1.286828773,0.630104724,0.889516145,0.582693457,-0.226339169,0.924589158,1.678284406,0.198823536,0.038620218,0.552948342,75
HVO_B0207 [D4GPK8] hypothetical protein,0,1,0,1,0,1,0,1,0,1,76
HVO_B0202 [D4GPK3] sensor box protein,0,1,0,1,0,1,-2.156981812,0.429347369,-2.683766668,0.523587109,77
HVO_B0201 [D4GPK2] IclR family transcription regulator,0,1,0,1,0,1,5.907624385,1,4.498175042,1,78
HVO_B0200 [D4GPK1] (aceB2) bifunctional malyl-CoA synthase / malyl-CoA thioesterase,0.252148227,0.776254685,0.673918487,0.566971354,0.036706598,0.938786867,0.362186486,0.537473715,0.286624908,0.651137479,79
HVO_B0198 [D4GPJ9] ABC-type transport system periplasmic substrate-binding protein,-1.628133977,0.001086455,1.496680786,0.00083036,0.759732112,0.250587284,1.3587983,0.000375131,1.70338859,0.000549208,80
HVO_B0197 [D4GPJ8] ABC-type transport system permease protein,-0.042803997,0.714721486,0.674537089,0.657170706,0.182285569,0.89384276,-0.521384476,0.525188651,0.47481613,0.551264702,81
HVO_B0194 [D4GPJ5] LppX domain protein,-0.955903242,0.172371032,1.606623131,0.00083036,0.25664791,0.920199268,2.8842389,0.000375006,2.322946301,0.000549208,82
HVO_B0186 [D4GPI7] (dppC14) ABC-type transport system permease protein (probable substrate dipeptide/oligopeptide),0,1,0,1,0,1,0,1,0,1,83
HVO_B0185 [D4GPI6] (dppB14) ABC-type transport system permease protein (probable substrate dipeptide/oligopeptide),0,1,0,1,0,1,0,1,0,1,84
HVO_B0184 [D4GPI5] (dppA14) ABC-type transport system periplasmic substrate-binding protein (probable substrate dipeptide/oligopeptide),1.028773246,0.685066535,0.535857313,0.622071586,2.219004631,0.821470423,1.614612671,0.391428605,1.343109357,0.517680231,85
HVO_B0183 [D4GPI4] probable amino acid racemase (homolog to homoserine racemase),1.389507932,0.713335695,-0.926693006,0.620761271,-0.257959722,0.903056138,-4.110357308,0.386965636,-1.146187047,0.612035518,86
HVO_B0182 [D4GPI3] (dhs2) deoxyhypusine synthase,1.049427387,0.654839294,-0.632937611,0.644796735,-0.165739656,0.925605589,-2.022434163,0.000375006,-2.300085418,0.005483245,87
HVO_B0177 [D4GPH8] ABC-type transport system ATP-binding protein,-3.293471802,0.688645371,3.552547853,1,-4.499618897,0.884109355,-1.797531724,0.458158444,6.812424073,1,88
HVO_B0175 [D4GPH6] histidine kinase,0,1,0,1,0,1,1.64618979,0.453764639,3.361023831,0.000549208,89
HVO_B0156 [D4GPF8] conserved hypothetical protein,1.037318125,0.689534798,4.811046928,1,-0.582787243,0.911769125,3.132327697,1,5.331103024,1,90
HVO_B0154 [D4GPF6] receiver/sensor box histidine kinase,-0.669340113,0.370833421,-0.582380247,0.128134973,-0.69023799,0.257675271,0.552232251,0.409575865,0.628289002,0.433847515,91
HVO_B0153_A [D4GPF5] CapC domain protein,-2.827298235,0.656456299,-0.998133789,0.662037037,-1.437417498,0.880448671,2.783156732,0.34450818,2.730843781,0.401225341,92
HVO_B0153 [D4GPF4] CapB domain protein,0.027150679,0.775326209,1.312938463,0.002489434,0.295721051,0.91751269,1.698511549,0.008245639,0.581600524,0.544162178,93
HVO_B0149 [D4GPF0] (ohyA) oleate hydratase,-1.766657489,0.165589885,0.28207182,0.742012822,0.271906279,0.929549748,1.497443056,0.00862008,1.542037987,0.006577056,94
HVO_B0144 [D4GPE5] ABC-type transport system periplasmic substrate-binding protein,-1.999081964,0.496391892,0.745943136,0.665054812,-0.862385893,0.905976711,1.971764245,0.256905181,0.387615801,0.564986988,95
HVO_B0143 [D4GPE4] receiver/sensor box histidine kinase,1.796452546,0.234896955,-0.843766034,0.495979662,0.062704568,0.92795926,-1.053390986,0.312126353,-1.69612402,0.043744318,96
HVO_B0142 [D4GPE3] ARM/HEAT repeat protein,-1.065604978,0.711944612,0.458703051,0.67518141,-1.089917018,0.904702949,0.243189388,0.508196407,0.006512368,0.562990678,97
HVO_B0139 [D4GPE0] PQQ repeat protein,-0.982326562,0.722926775,1.152110135,0.429594661,0.738752825,0.888475148,2.818727868,0.000375006,1.749470805,0.461080848,98
HVO_B0138 [D4GPD9] PQQ repeat protein,-0.726401639,0.741370816,1.465872256,0.008269344,0.864066617,0.913160848,2.519621435,0.000375006,1.23489456,0.556307093,99
HVO_B0135 [D4GPD6] conserved hypothetical protein,-1.016814851,0.690126584,2.442469562,0.197802198,1.435905143,0.901379872,3.505235105,0.015354685,3.135350036,0.196710428,100
HVO_B0134 [D4GPD5] ABC-type transport system ATP-binding protein,0.123490641,0.735676914,0.807888376,0.62598296,1.567095631,0.428895001,0.983164732,0.44733476,1.709778618,0.278859372,101
HVO_B0133 [D4GPD4] conserved hypothetical protein,0,1,0,1,0,1,0,1,0,1,102
HVO_B0132 [D4GPD3] PQQ repeat protein,-0.608817833,0.718299992,1.170322165,0.00083036,1.646212761,0.004000598,2.267397165,0.000375006,2.972886142,0.000549208,103
HVO_B0131 [D4GPD2] HTH domain protein,-0.643026629,0.750742641,0.892428144,0.517744237,-0.147015634,0.921656061,1.723195631,0.028048032,1.038625149,0.447739211,104
HVO_B0130 [D4GPD1] DUF296 family protein,-1.484074316,0.725083673,1.06311964,0.668353557,-1.300203514,0.911984656,0.00563318,0.452073506,3.669335857,0.000549208,105
HVO_B0127 [D4GPC8] oxidoreductase (luciferase family protein),0.366675996,0.718299992,-1.970641477,0.318724923,-0.164801862,0.919806534,-1.964044796,0.147953021,-2.092763514,0.217112484,106
HVO_B0123 [D4GPC4] (dppB13) ABC-type transport system permease protein (probable substrate dipeptide/oligopeptide),-3.114710254,0.644995701,0.363586136,0.680460342,-1.252495624,0.883676824,4.435683465,0.370101866,3.965485056,0.49655319,107
HVO_B0118 [D4GPB9] (sph2) Smc-like protein Sph2,0.380388852,0.668844506,-1.060222917,0.00083036,-0.087646419,0.949950057,-1.257624334,0.000375006,-0.888872858,0.000549208,108
HVO_B0117 [D4GPB8] conserved hypothetical protein,-0.279619629,0.7781039,-0.013101693,0.716983492,0.846980366,0.808128018,-0.499249569,0.413332662,0.094566037,0.591548273,109
HVO_B0115 [D4GPB6] fumarylacetoacetase family protein,-0.030507894,0.78040102,-0.272878898,0.740985505,0.024955466,0.937611721,-0.450205697,0.50686079,0.10281604,0.623684553,110
HVO_B0114 [D4GPB5] IclR family transcription regulator,2.243579037,0.309274675,-0.298571476,0.730059694,-0.156489159,0.929111077,-1.381272612,0.228138967,-1.608052765,0.39065067,111
HVO_B0111 [D4GPB3] homolog to mandelate racemase / homolog to muconate lactonizing enzyme,1.91210328,0.001086455,1.179936196,0.00083036,0.309656114,0.92088222,0.756610076,0.23845978,0.30805705,0.660215049,112
HVO_B0110 [D4GPB2] oxidoreductase (homolog to zinc-containing alcohol dehydrogenase),0,1,0,1,0,1,-4.87458555,0.449366297,2.496194494,1,113
HVO_B0109 [D4GPB1] (tsgD8) ABC-type transport system ATP-binding protein (probable substrate sugar),0,1,0,1,0,1,0,1,0,1,114
HVO_B0106 [D4GPA8] (tsgA8) ABC-type transport system periplasmic substrate-binding protein (probable substrate sugar),0.313232853,0.742652103,-0.219920119,0.681916782,-0.17527852,0.921848419,1.913854591,0.002625257,1.208657583,0.415933303,115
HVO_B0102 [D4GPA4] glycoside hydrolase domain protein,1.008536351,0.726425175,0.110335508,0.702702703,0.348983593,0.910245709,-1.224569439,0.376648737,-2.566439432,0.407830297,116
HVO_B0101 [D4GPA3] IclR family transcription regulator,-0.089266798,0.77462815,0.362915333,0.697095436,-0.489760738,0.85691642,1.041915587,0.366997234,-0.282690429,0.569298541,117
HVO_B0100 [D4GPA2] (aldH3) alpha-ketoglutarate semialdehyde dehydrogenase,0.404820874,0.74697364,0.677376754,0.665355596,0.157420742,0.908472549,0.472232483,0.479051308,-0.805528411,0.558985937,118
HVO_B0098 [D4GPA0] SGNH-type esterase domain protein,8.010447302,1,6.685893033,1,0.969744305,0.87773153,0,1,0,1,119
HVO_B0096 [D4GP98] homolog to sugar epimerase/dehydratase,4.471047148,0.702056279,8.280591993,1,13.14938067,1,8.046620123,1,-2.57202918,0.506819381,120
HVO_B0093 [D4GP95] (dppA12) ABC-type transport system periplasmic substrate-binding protein (probable substrate dipeptide/oligopeptide),-0.235528974,0.796046231,0.608870208,0.105128041,-0.168169578,0.941384796,1.948920685,0.000375006,0.70011463,0.317392088,121
HVO_B0092 [D4GP94] (dppB12) ABC-type transport system permease protein (probable substrate dipeptide/oligopeptide),0,1,0,1,0,1,0,1,0,1,122
HVO_B0090 [D4GP92] (dppD12) ABC-type transport system ATP-binding protein (probable substrate dipeptide/oligopeptide),-1.867787471,0.682661692,-2.831594922,0.651639595,1.973163372,0.887087147,0.304529872,0.472322887,4.179855393,0.507875521,123
HVO_B0089 [D4GP91] (dppF12) ABC-type transport system ATP-binding protein (probable substrate dipeptide/oligopeptide)<|>HVO_B0332 [D4GPX9] (dppF15) ABC-type transport system ATP-binding protein (probable substrate dipeptide/oligopeptide),4.552859633,0.675047066,-0.253469141,0.522079177,-0.19150986,0.894363875,-3.43791955,0.44835065,3.818747445,1,124
HVO_B0089 [D4GP91] (dppF12) ABC-type transport system ATP-binding protein (probable substrate dipeptide/oligopeptide),-1.173871353,0.715826329,0.749286805,0.641025352,-0.744252573,0.891863667,2.35376292,0.000375006,11.83329937,1,125
HVO_B0087 [D4GP89] homolog to mandelate racemase / homolog to muconate lactonizing enzyme,0.033004217,0.797135475,0.680656945,0.004144936,-0.179253006,0.937136549,0.779309706,0.058884136,0.203192484,0.655081823,126
HVO_B0086 [D4GP88] AlkP-core domain protein,0,1,0,1,0,1,0,1,0,1,127
HVO_B0085 [D4GP87] glycoside hydrolase domain protein,1.379976644,0.749992115,1.133417094,0.701027323,0.916922797,0.933393041,0.299100804,0.459847163,-1.660994654,0.542803567,128
HVO_B0084 [D4GP86] DUF336 family protein,0.282427856,0.748234532,0.654626995,0.648229625,0.442066318,0.898435436,1.693817814,0.344161276,1.245397826,0.510335592,129
HVO_B0082 [D4GP84] (dppA11) ABC-type transport system periplasmic substrate-binding protein (probable substrate dipeptide/oligopeptide),-1.577999994,0.001086455,-0.120473085,0.756160263,-0.178336455,0.928492904,1.484692401,0.001875341,1.662485528,0.000549208,130
HVO_B0081 [D4GP83] (dppB11) ABC-type transport system permease protein (probable substrate dipeptide/oligopeptide),-0.628803258,0.715550433,-1.161547064,0.656864999,-0.670128479,0.900530446,-1.339353009,0.416745073,-0.715474451,0.560656547,131
HVO_B0080 [D4GP82] (dppC11) ABC-type transport system permease protein (probable substrate dipeptide/oligopeptide),0,1,0,1,0,1,0,1,0,1,132
HVO_B0079 [D4GP81] (dppD11) ABC-type transport system ATP-binding protein (probable substrate dipeptide/oligopeptide),0,1,0,1,0,1,0,1,0,1,133
HVO_B0078 [D4GP80] (dppF11) ABC-type transport system ATP-binding protein (probable substrate dipeptide/oligopeptide),-1.384041034,0.706326751,1.330421128,0.599341383,0.650041693,0.890926394,2.825068646,0.305830806,2.02234198,0.509282005,134
HVO_B0076 [D4GP78] (hyuA4) N-methylhydantoinase (ATP-hydrolyzing) A,-1.162848782,0.712779899,0.569381343,1,-0.395721352,0.893055874,2.074228931,1,5.957530599,1,135
HVO_B0075 [D4GP77] DUF917 family protein,0,1,0,1,0,1,2.167144356,0.458834012,8.272089885,1,136
HVO_B0074 [D4GP76] DUF917 family protein,0,1,0,1,0,1,0,1,0,1,137
HVO_B0072 [D4GP74] HTH-10 family transcription regulator,-2.296626964,0.694535473,-2.889537529,0.589344805,0.078550079,0.876191412,0.025667746,0.436483521,0.068834413,0.552275228,138
HVO_B0071 [D4GP73] (adh2) alcohol dehydrogenase (NADP),0.069105236,0.782227301,-0.455229774,0.659305497,-0.105463236,0.939406255,-0.847961579,0.246627944,-1.675873146,0.001647461,139
HVO_B0070 [D4GP72] pyridoxal phosphate-dependent aminotransferase,0.306267158,0.749741577,0.746453446,0.613162898,-0.00742894,0.922898603,0.777498237,0.44326878,-0.913000388,0.499040708,140
HVO_B0069 [D4GP71] (gabD) succinate-semialdehyde dehydrogenase,0,1,0,1,0,1,0,1,0,1,141
HVO_B0067 [D4GP69] (cat7) transport protein (probable substrate cationic amino acids),-0.568911647,0.672887524,3.001535237,0.496390181,1.519529391,0.877884325,3.681973556,0.353864044,1.933287854,0.552275228,142
HVO_B0066 [D4GP68] Lrp/AsnC family transcription regulator,0.772001203,0.72696037,-0.610876984,0.710719353,-0.045088577,0.950547993,-1.15143619,0.427986749,-0.427872532,0.615513497,143
HVO_B0064 [D4GP66] CbtA family protein,1.688493564,0.676888473,1.145402417,0.601386588,3.3724121,0.349401957,2.636900862,0.193080517,1.74221788,0.505056707,144
HVO_B0062 [D4GP64] (cbiT) cobalt-precorrin-6B C15-methyltransferase (decarboxylating),1.364933843,0.494986773,-0.061507963,0.740470993,1.555745537,0.004000598,-0.320239818,0.538468235,0.806820428,0.420536026,145
HVO_B0061 [D4GP63] (cbiL) cobalt-factor-II C20-methyltransferase,0.973245806,0.686263253,0.060384924,0.721829069,1.429079425,0.027409947,0.20247114,0.526186071,1.554062247,0.37837981,146
HVO_B0060 [D4GP62] (cbiF) cobalt-precorrin-4 C11-methyltransferase,0,1,0,1,0,1,2.536194509,1,2.691001481,1,147
