"Protein.ID","H26_vs_DksgA","H26_vs_DksgA_KsgA","H26_vs_DksgA_ksgA_E84A"
"53","HVO_B0324 [D4GPX1] conserved hypothetical protein",-0.094595589,-0.802556267,-0.689227004
"54","HVO_B0321 [D4GPW8] GFO family oxidoreductase",0.867894753,-1.444121435,-2.07807755
"55","HVO_B0319 [D4GPW6] IclR family transcription regulator",0,0,0
"56","HVO_B0318 [D4GPW5] (tsgA13) ABC-type transport system periplasmic substrate-binding protein (substrate glucose)",-0.100259172,1.634205138,1.296626583
"57","HVO_B0317 [D4GPW4] (adeC) adenine deaminase",0,0,0
"58","HVO_B0308 [D4GPV5] (coxS) molybdopterin-containing oxidoreductase small subunit",0,0,0
"59","HVO_B0306 [D4GPV3] (amaB4) amidase (hydantoinase/carbamoylase family)",-1.02694831,0.13323799,-0.390912052
"60","HVO_B0305 [D4GPV2] conserved hypothetical protein",-0.808014024,2.212332598,1.947384335
"61","HVO_B0301 [D4GPU8] (pucL2) 2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase",-0.506353845,3.311017422,2.947385289
"62","HVO_B0300 [D4GPU7] (pucL1) uricase",-0.55361831,2.335820095,1.58286157
"63","HVO_B0299 [D4GPU6] (pucM) 5-hydroxyisourate hydrolase",3.114877371,4.340582743,2.252511032
"64","HVO_B0295 [D4GPU2] (ugpC) ABC-type transport system ATP-binding protein (probable substrate glycerol-3-phosphate)",2.316615309,1.300196699,1.458678434
"65","HVO_B0292 [D4GPT9] (ugpB) ABC-type transport system periplasmic substrate-binding protein (probable substrate glycerol-3-phosphate)",0.698437165,1.205151007,1.299289545
"66","HVO_B0291 [D4GPT8] (glpQ2) glycerophosphodiester phosphodiesterase",0,0,0
"67","HVO_B0287 [D4GPT4] TRAM domain protein",0.166475899,0.746659884,0.842020497
"68","HVO_B0286 [D4GPT3] conserved hypothetical protein",0,0,0
"69","HVO_B0284 [D4GPT1] (tif1b) translation initiation factor aIF-1 (SUI1 protein, bacterial-type IF3)",0.375681426,2.964464098,3.370579591
"70","HVO_B0283 [D4GPT0] HTH-10 family transcription regulator",-0.094248377,-1.075528386,-0.766289437
"71","HVO_B0279 [D4GPS6] probable S-adenosylmethionine-dependent methyltransferase",-0.497887867,0.769734039,0.622727047
"72","HVO_B0277 [D4GPS4] HTH domain protein",-0.266357466,1.910017357,2.012218611
"73","HVO_B0273 [D4GPS0] sensor box histidine kinase",0,0,0
"74","HVO_B0268 [D4GPR5] monooxygenase (homolog to alkanesulfonate monooxygenase)",0.197406075,0.675234317,0.980035747
"75","HVO_B0266 [D4GPR3] (gdhA3) glutamate dehydrogenase (NAD)",-0.513497081,-1.81707949,-2.06797471
"76","HVO_B0264 [D4GPR1] (serA4) probable D-2-hydroxyacid dehydrogenase",-0.288173745,-0.394422764,-0.19234254
"77","HVO_B0261 [D4GPQ8] pyridoxal phosphate-dependent aminotransferase",0.074947996,-0.077644447,-0.934596681
"78","HVO_B0259 [D4GPQ6] conserved hypothetical protein",-0.413521802,0.40490634,0.529352011
"79","HVO_B0257 [D4GPQ4] pyridoxal phosphate-dependent aminotransferase",0.520636593,-0.732549268,-0.629673733
"80","HVO_B0256 [D4GPQ3] (aor3) aldehyde ferredoxin oxidoreductase",0.140949417,-0.959272148,-0.954686571
"81","HVO_B0253 [D4GPQ1] (suhB3) probable inositol-1(or 4)-monophosphatase / fructose-1,6-bisphosphatase, archaeal-type",0.326380174,-0.353061635,-0.336398074
"82","HVO_B0248 [D4GPP7] probable oxidoreductase (short-chain dehydrogenase family)",1.18783675,2.390145971,2.383364295
"83","HVO_B0245 [D4GPP6] (mobA1) molybdenum cofactor guanylyltransferase",-0.026028682,-1.26907882,0.872572776
"84","HVO_B0244 [D4GPP5] (aor1) aldehyde ferredoxin oxidoreductase",0,0,0
"85","HVO_B0237 [D4GPN8] conserved hypothetical protein",0.04570238,3.259441025,0.817927949
"86","HVO_B0233 [D4GPN4] (xsa) alpha-L-arabinofuranosidase",0.062512563,0.069677201,0.394318478
"87","HVO_B0227 [D4GPM8] (tsgD9) ABC-type transport system ATP-binding protein (probable substrate sugar)",-0.380534355,0.983541708,1.498367264
"88","HVO_B0226 [D4GPM7] auxin permease family transport protein",0,0,0
"89","HVO_B0224 [D4GPM5] cupin 2 barrel domain protein",11.80099768,4.420871318,6.618523791
"90","HVO_B0223 [D4GPM4] conserved hypothetical protein",0.267362721,-0.87005612,-0.738816492
"91","HVO_B0217 [D4GPL8] (livJ6) ABC-type transport system periplasmic substrate-binding protein (probable substrate branched-chain amino acids)",-0.434437191,0.224698262,0.195242199
"92","HVO_B0216 [D4GPL7] UPF0261 family protein",-0.46913873,-0.266943081,-0.651865356
"93","HVO_B0207 [D4GPK8] hypothetical protein",0,0,0
"94","HVO_B0202 [D4GPK3] sensor box protein",0.235726994,-1.259061791,0.985223789
"95","HVO_B0201 [D4GPK2] IclR family transcription regulator",0.391714107,-1.649107735,-0.701310146
"96","HVO_B0200 [D4GPK1] (aceB2) bifunctional malyl-CoA synthase / malyl-CoA thioesterase",0.242898709,-0.21531927,0.359102371
"97","HVO_B0199 [D4GPK0] deaminase domain protein",-0.663864192,-0.151270207,-1.553975405
"98","HVO_B0198 [D4GPJ9] ABC-type transport system periplasmic substrate-binding protein",-0.517768266,0.801164158,0.414490109
"99","HVO_B0197 [D4GPJ8] ABC-type transport system permease protein",-0.2529273,0.241828879,0.07862221
"100","HVO_B0194 [D4GPJ5] LppX domain protein",0.379546203,-0.515834858,-0.997429751
"101","HVO_B0186 [D4GPI7] (dppC14) ABC-type transport system permease protein (probable substrate dipeptide/oligopeptide)",0.60675384,0.033045147,6.959986741
"102","HVO_B0185 [D4GPI6] (dppB14) ABC-type transport system permease protein (probable substrate dipeptide/oligopeptide)",0.601574947,-0.682885244,-1.223516343
"103","HVO_B0184 [D4GPI5] (dppA14) ABC-type transport system periplasmic substrate-binding protein (probable substrate dipeptide/oligopeptide)",-0.524516178,-2.105426919,-2.195529854
"104","HVO_B0183 [D4GPI4] probable amino acid racemase (homolog to homoserine racemase)",0.19953565,-0.153365336,-0.367937011
"105","HVO_B0182 [D4GPI3] (dhs2) deoxyhypusine synthase",-0.66948602,-0.63888082,-0.861171434
"106","HVO_B0174 [D4GPH5] conserved hypothetical protein",0.549314015,-0.047039639,0.863770488
"107","HVO_B0173 [D4GPH4] (sph4) Smc-like protein Sph4",-0.19528581,1.003649642,0.694183673
"108","HVO_B0159 [D4GPG1] (narO) HTH-10 family transcription regulator NarO",0.215734632,0.883155064,0.608441366
"109","HVO_B0156 [D4GPF8] conserved hypothetical protein",-0.136788322,1.428924353,1.52969656
"110","HVO_B0154 [D4GPF6] receiver/sensor box histidine kinase",0.596075734,0.501820398,0.880298021
"111","HVO_B0153B [L9VGF7] receiver box response regulator",-0.478433762,1.614970725,1.606536825
"112","HVO_B0153 [D4GPF4] CapB domain protein",0.808468449,-1.067355692,-0.67216377
"113","HVO_B0151 [D4GPF2] NikR family transcription regulator",0.299251607,-0.058830436,-0.025487575
"114","HVO_B0149 [D4GPF0] (ohyA) oleate hydratase",0.863568418,-0.515371357,-1.230122616
"115","HVO_B0146 [D4GPE7] aminotransferase class V",0.64828626,-0.642566212,-0.695875283
"116","HVO_B0144 [D4GPE5] ABC-type transport system periplasmic substrate-binding protein",-0.523937275,1.365059178,0.810188485
"117","HVO_B0143 [D4GPE4] receiver/sensor box histidine kinase",-0.223364098,0.333247791,0.23908955
"118","HVO_B0142 [D4GPE3] ARM/HEAT repeat protein",-0.247485052,-0.467815478,-0.229712671
"119","HVO_B0139 [D4GPE0] PQQ repeat protein",0.074832476,1.961589896,2.321353212
"120","HVO_B0138 [D4GPD9] PQQ repeat protein",0.278201467,2.804577343,2.261728953
"121","HVO_B0136 [D4GPD7] alpha/beta hydrolase fold protein",-0.073951746,0.763205141,1.54512335
"122","HVO_B0135 [D4GPD6] conserved hypothetical protein",-0.259853061,-1.119501725,-0.818466836
"123","HVO_B0134 [D4GPD5] ABC-type transport system ATP-binding protein",-0.326179696,-0.105187728,0.065033775
"124","HVO_B0132 [D4GPD3] PQQ repeat protein",0.272019198,-2.22277567,-1.203493361
"125","HVO_B0131 [D4GPD2] HTH domain protein",-0.2035962,-1.364210633,-1.254753726
"126","HVO_B0130 [D4GPD1] DUF296 family protein",-1.12412992,1.096907839,0.782976071
"127","HVO_B0127 [D4GPC8] oxidoreductase (luciferase family protein)",-0.281912505,-0.665500359,-0.792404176
"128","HVO_B0119 [D4GPC0] IclR family transcription regulator",0.19300857,0.089258622,-0.327417507
"129","HVO_B0118 [D4GPB9] (sph2) Smc-like protein Sph2",0.057037182,0.396290094,0.41574746
"130","HVO_B0117 [D4GPB8] conserved hypothetical protein",-0.580239593,0.92653134,0.474544096
"131","HVO_B0116 [D4GPB7] probable oxidoreductase (short-chain dehydrogenase family)",0.186499773,-1.472809407,-2.204503834
"132","HVO_B0115 [D4GPB6] fumarylacetoacetase family protein",-0.644940485,-1.452738126,-1.587418965
"133","HVO_B0114 [D4GPB5] IclR family transcription regulator",-0.0044809,-1.981581323,-2.158220315
"134","HVO_B0113 [D4GPB4] probable F420-dependent oxidoreductase",-0.009969817,-1.242874629,-1.114970469
"135","HVO_B0111 [D4GPB3] homolog to mandelate racemase / homolog to muconate lactonizing enzyme",0.087744945,-1.047317752,-1.47053465
"136","HVO_B0103 [D4GPA5] GFO family oxidoreductase",-1.051230477,-0.289989595,-0.13717292
"137","HVO_B0102 [D4GPA4] glycoside hydrolase domain protein",0.3186764,-1.294690262,-1.053966759
"138","HVO_B0101 [D4GPA3] IclR family transcription regulator",0.152585599,-0.43486131,-0.484458704
"139","HVO_B0100 [D4GPA2] (aldH3) alpha-ketoglutarate semialdehyde dehydrogenase",-0.734416634,-0.937409059,2.451415444
"140","HVO_B0096 [D4GP98] homolog to sugar epimerase/dehydratase",0.00134558,-0.973257786,-0.840020296
"141","HVO_B0095 [D4GP97] UspA domain protein",-0.260069545,3.352508864,3.148411946
"142","HVO_B0094 [D4GP96] conserved hypothetical protein",0,0,0
"143","HVO_B0093 [D4GP95] (dppA12) ABC-type transport system periplasmic substrate-binding protein (probable substrate dipeptide/oligopeptide)",0.238906523,-0.816421698,-1.120185436
"144","HVO_B0090 [D4GP92] (dppD12) ABC-type transport system ATP-binding protein (probable substrate dipeptide/oligopeptide)",0.963327392,0.731208379,0.131325734
"145","HVO_B0089 [D4GP91] (dppF12) ABC-type transport system ATP-binding protein (probable substrate dipeptide/oligopeptide)",0.203141948,-0.448360423,-0.376475518
"146","HVO_B0087 [D4GP89] homolog to mandelate racemase / homolog to muconate lactonizing enzyme",-0.202183508,0.363582634,0.433002787
"147","HVO_B0085 [D4GP87] glycoside hydrolase domain protein",-0.299796645,0.882823311,0.737999807
"148","HVO_B0084 [D4GP86] DUF336 family protein",-1.056788751,2.529900304,2.29693066
"149","HVO_B0083 [D4GP85] gluconolactonase family protein",-0.046600675,1.599029134,1.565476709
"150","HVO_B0082 [D4GP84] (dppA11) ABC-type transport system periplasmic substrate-binding protein (probable substrate dipeptide/oligopeptide)",0.383131297,-0.243742932,-0.185093673
"151","HVO_B0081 [D4GP83] (dppB11) ABC-type transport system permease protein (probable substrate dipeptide/oligopeptide)",1.237334199,-0.480196292,0.28939445
"152","HVO_B0080 [D4GP82] (dppC11) ABC-type transport system permease protein (probable substrate dipeptide/oligopeptide)",1.22742556,0.799811761,0.582171995
"153","HVO_B0079 [D4GP81] (dppD11) ABC-type transport system ATP-binding protein (probable substrate dipeptide/oligopeptide)",0.382112062,-0.217328858,-0.089900248
"154","HVO_B0078 [D4GP80] (dppF11) ABC-type transport system ATP-binding protein (probable substrate dipeptide/oligopeptide)",0.424410491,-0.150260742,0.010773652
"155","HVO_B0077 [D4GP79] DUF917 family protein",0.318968789,-0.131758045,0.147626737
"156","HVO_B0076 [D4GP78] (hyuA4) N-methylhydantoinase (ATP-hydrolyzing) A",0.169271331,0.731363906,0.903243599
"157","HVO_B0075 [D4GP77] DUF917 family protein",-0.078073579,0.120465628,0.268676491
"158","HVO_B0074 [D4GP76] DUF917 family protein",-0.353254477,0.078967634,0.228746795
"159","HVO_B0073 [D4GP75] Lrp/AsnC family transcription regulator",-0.052821666,0.383983531,0.557838224
"160","HVO_B0072 [D4GP74] HTH-10 family transcription regulator",-0.324848363,-0.856095376,-0.522680761
"161","HVO_B0071 [D4GP73] (adh2) alcohol dehydrogenase (NADP)",1.723401594,1.899360042,2.45747234
"162","HVO_B0070 [D4GP72] pyridoxal phosphate-dependent aminotransferase",1.055380778,-2.510960427,-2.715326067
"163","HVO_B0069 [D4GP71] (gabD) succinate-semialdehyde dehydrogenase",0.774099341,-1.578484728,-1.683393623
"164","HVO_B0066 [D4GP68] Lrp/AsnC family transcription regulator",0.147209283,0.418451254,0.515976016
"165","HVO_B0065 [D4GP67] thioredoxin domain protein",-0.070286512,1.050653927,1.390687516
"166","HVO_B0064 [D4GP66] CbtA family protein",1.067554348,1.99003857,2.024552805
"167","HVO_B0063 [D4GP65] CbtB family protein",0.181297216,0.284677047,-0.123419257
"168","HVO_B0062 [D4GP64] (cbiT) cobalt-precorrin-6B C15-methyltransferase (decarboxylating)",0.430897797,-0.400734154,-0.300457848
"169","HVO_B0061 [D4GP63] (cbiL) cobalt-factor-II C20-methyltransferase",-0.016274699,0.754350495,0.872796426
"170","HVO_B0060 [D4GP62] (cbiF) cobalt-precorrin-4 C11-methyltransferase",-0.521559249,1.393486619,1.63566225
"171","HVO_B0059 [D4GP61] (cbiG) cobalt-precorrin-5A hydrolase",-0.324496932,-0.694464622,-0.721817363
"172","HVO_B0058 [D4GP60] (cbiH1) cobalt-factor-III C17-methyltransferase",-0.56497492,0.270921029,0.389013099
"173","HVO_B0057 [D4GP59] (cbiH2) cobalt-factor-III C17-methyltransferase",-0.681169955,0.451202589,0.432683839
"174","HVO_B0056 [D4GP58] probable ferredoxin (4Fe-4S)",-0.606738776,0.15256199,0.205104817
"175","HVO_B0055 [D4GP57] conserved hypothetical protein",-0.295026266,-0.546875958,-0.360893901
"176","HVO_B0054 [D4GP56] (cbiX1) sirohydrochlorin cobaltochelatase",-0.47522235,-0.409346843,-0.223197513
"177","HVO_B0053 [D4GP55] DUF3209 family protein",-1.099631863,1.204584835,1.480530151
"178","HVO_B0052 [D4GP54] PQQ repeat protein",0.062894265,-1.662045507,-1.410197221
"179","HVO_B0051 [D4GP53] (chlID) ATP-dependent cobaltochelatase subunit ChlID",-0.119326687,-0.049523944,0.152938319
"180","HVO_B0050 [D4GP52] (cobN) ATP-dependent cobaltochelatase subunit CobN",0.124088731,-0.611326545,-0.337020897
"181","HVO_B0049 [D4GP51] (cbiC) cobalt-precorrin-8 methylmutase",-0.32199728,-0.225650265,0.308859521
"182","HVO_B0048 [D4GP50] (cbiE) cobalt-precorrin-7 C5-methyltransferase",-0.178718067,-0.663710167,-0.330597565
"183","HVO_B0047 [D4GP49] ABC-type transport system periplasmic substrate-binding protein",-0.862514963,0.565822097,-0.066760099
"184","HVO_B0046 [D4GP48] (dat) diaminobutyrate--2-oxoglutarate aminotransferase",1.043136133,-0.775688795,1.785264178
"185","HVO_B0044 [D4GP46] (iucA) siderophore biosynthesis protein IucA",-1.179516854,-1.544560332,-1.84956962
"186","HVO_B0043 [D4GP45] (iucB) probable N4-hydroxy-1-aminopropane O-acetyltransferase",-1.324645938,0.527393068,1.288818337
"187","HVO_B0041 [D4GP43] (iucC) siderophore biosynthesis protein IucC",-1.226535785,-1.064022283,-1.532169287
"188","HVO_B0040 [D4GP42] (xacR) IclR family transcription regulator XacR",-0.277511786,0.950079745,1.034965555
"189","HVO_B0039 [D4GP41] (xacF) alpha-ketoglutarate semialdehyde dehydrogenase",0.092742905,0.265410792,0.39209323
"190","HVO_B0038A [D4GP40] (xacD) D-xylonate dehydratase / D-gluconate dehydratase",1.748454338,5.612125274,8.870113573
"191","HVO_B0031 [D4GP32] probable oxidoreductase (short-chain dehydrogenase family)",-0.144491223,-1.587462777,-1.296833319
"192","HVO_B0029 [D4GP30] probable sugar dehydrogenase (NADP)",-0.022265472,-1.058598353,-0.978320962
"193","HVO_B0026 [D4GP27] probable oxidoreductase (short-chain dehydrogenase family)",-0.507477595,-0.800683882,-0.570627544
"194","HVO_B0020 [D4GP21] HTH-10 family transcription regulator",-0.333760693,0.788861959,0.662624012
"195","HVO_B0018 [D4GP19] (parA2) ParA domain protein",0.087475375,-0.369792674,-0.08618406
"196","HVO_B0017 [D4GP18] conserved hypothetical protein",-0.519021438,0.639585851,0.402204831
"197","HVO_B0016 [D4GP17] conserved hypothetical protein",-0.901127252,2.644707773,2.550125282
"198","HVO_B0011 [D4GP12] (soxA1) sarcosine oxidase",-0.06512163,3.185074274,0.481826008
"199","HVO_B0007 [D4GP08] HTH-10 family transcription regulator",0.541204382,10.25240165,7.126225871
"200","HVO_B0004 [D4GP05] (glyA2) serine hydroxymethyltransferase",-1.283449569,-0.232884132,-0.897648362
"201","HVO_B0003 [D4GP04] DUF336 family protein",0.261226859,0.130620625,0.299735509
"202","HVO_B0002 [D4GP03] M20 family amidohydrolase (homolog to succinyl-diaminopimelate desuccinylase)",-0.047852094,1.458671937,0.280700632
"203","HVO_B0001 [D4GP02] (orc6) Orc1-type DNA replication protein",0.399301221,-1.139669231,-0.865700321
"204","HVO_A0637 [D4GRU5] (tif1A2) translation initiation factor aIF-1A",0.310121627,1.913204043,2.314876696
"205","HVO_A0636 [D4GRU4] (ybaK) YbaK domain protein",0.109269683,1.113728689,1.197184771
"206","HVO_A0635 [D4GRU3] (sufS2) probable cysteine desulfurase",-0.212580676,-0.493043048,-0.730897222
"207","HVO_A0633 [D4GRU1] (pilA6) pilin PilA",0.988052414,2.287197192,2.666543519
"208","HVO_A0632 [D4GRU0] (pilA5) pilin PilA",-0.496842627,-0.589328526,-0.095872321
"209","HVO_A0631 [D4GRT9] conserved hypothetical protein",-0.155503706,-0.614387626,-0.95301758
"210","HVO_A0630 [D4GRT8] glyoxalase domain protein",0.239814417,0.857371495,1.027831076
"211","HVO_A0629 [D4GRT7] sensor box histidine kinase",0.355579757,0.204834701,0.089398801
"212","HVO_A0627 [D4GRT5] conserved hypothetical protein",-0.227798505,-1.186594373,-1.1346296
"213","HVO_A0626 [D4GRT4] conserved hypothetical protein",-0.834822275,-0.187856301,-0.588974011
"214","HVO_A0625 [D4GRT3] conserved hypothetical protein",0.197266751,3.432194161,4.57150436
"215","HVO_A0624 [D4GRT2] (cadA) P-type transport ATPase (probable substrate zinc/cadmium)",0.160447633,0.496724118,0.764276534
"216","HVO_A0622 [D4GRT0] conserved hypothetical protein",0,0,0
"217","HVO_A0621 [D4GRS9] conserved hypothetical protein",-0.44807062,0.147733506,0.099486572
"218","HVO_A0620 [D4GRS8] conserved hypothetical protein",0.272635722,-0.636392152,-0.976090006
"219","HVO_A0619 [D4GRS7] conserved hypothetical protein",0.043012399,0.290289936,0.275494034
"220","HVO_A0618 [D4GRS6] flavin-dependent pyridine nucleotide oxidoreductase (homolog to coenzyme A disulfide reductase)",0.110817685,-1.274229422,-1.409880606
"221","HVO_A0616 [D4GRS4] TetR family transcription regulator",-0.256419357,-0.398199306,-0.555929306
"222","HVO_A0611 [D4GRS0] (znuA2) ABC-type transport system periplasmic substrate-binding protein (probable substrate zinc)",-0.847655266,0.939457803,0.786825761
"223","HVO_A0601 [D4GRR1] (nosL2) NosL family protein",-0.043225349,-0.273702361,-0.435251406
"224","HVO_A0591 [D4GRQ1] DICT domain protein",-0.616418804,-1.407221903,-1.637510878
"225","HVO_A0589 [D4GRP9] HxlR family transcription regulator",-0.110880506,1.891408453,1.928487581
"226","HVO_A0588 [D4GRP8] HTH domain protein",-0.400152458,0.597234305,0.047207764
"227","HVO_A0587 [D4GRP7] receiver/sensor box protein",0.708410281,-1.829040145,-2.1852129
"228","HVO_A0586 [D4GRP6] (graD3) sugar nucleotidyltransferase",0.596760447,-1.193577848,-1.431913518
"229","HVO_A0584 [D4GRP4] (guaB2) inosine-5'-monophosphate dehydrogenase",0.368701555,-0.149651449,-0.36535221
"230","HVO_A0583 [D4GRP3] IclR family transcription regulator",-0.028634492,-1.580927599,-1.520001323
"231","HVO_A0579 [D4GRN9] (livG5) ABC-type transport system ATP-binding protein (probable substrate branched-chain amino acids)",0,0,0
"232","HVO_A0569 [D4GRN0] family 3 CoA transferase",0,0,0
"233","HVO_A0566 [D4GRM7] (leuD2) 3-isopropylmalate dehydratase small subunit",0,0,0
"234","HVO_A0564 [D4GRM5] glyoxalase domain protein",-1.236184749,2.1624981,1.911213018
"235","HVO_A0562 [D4GRM3] (hutU) urocanate hydratase",0.403071027,-3.133245418,-3.427897379
"236","HVO_A0561 [D4GRM2] (hutG) formimidoylglutamase",-0.058934651,-2.885963861,-3.160294704
"237","HVO_A0560 [D4GRM1] (hutI) imidazolonepropionase",-0.001031654,-1.959805653,-2.406728115
"238","HVO_A0559 [D4GRM0] (hutH) histidine ammonia-lyase",-0.070742364,-2.594996092,-2.749821945
"239","HVO_A0558 [D4GRL9] ABC-type transport system periplasmic substrate-binding protein",0.357462129,0.37394574,1.294552753
"240","HVO_A0557 [D4GRL8] ABC-type transport system periplasmic substrate-binding protein",-0.362718203,-0.939045749,-1.321223106
"241","HVO_A0556 [D4GRL7] small CPxCG-related zinc finger protein",-0.021712383,0.754569414,1.045299759
"242","HVO_A0555 [D4GRL6] DUF162 family protein",-0.436710692,1.096398409,0.80584435
"243","HVO_A0554 [D4GRL5] major facilitator superfamily transport protein",0.915955427,-0.795807696,-1.861795234
"244","HVO_A0553 [D4GRL4] (cbiP) adenosylcobyrate synthase",0.270962462,-0.273049612,-0.070982862
"245","HVO_A0551 [D4GRL3] (acs9) acyl-CoA synthetase",-0.362327274,0.573456205,0.662056617
"246","HVO_A0550 [D4GRL2] receiver/sensor box histidine kinase",0.564378355,-0.076637966,0.064731066
"247","HVO_A0549 [D4GRL1] (nosL1) NosL family protein",-0.339316728,1.387186391,1.236078435
"248","HVO_A0547 [D4GRK9] DUF1028 family protein",0.185038622,1.066399846,1.176600788
