"Protein.ID","H53_EL_RM_vs_H53_LL_RM","X2174_EL_RM_vs_2174_LL_RM","X2176_EL_RM_vs_2176_LL_RM","H53_EL_RM_vs_2174_EL_RM","X2176_LL_RM_vs_H53_LL_RM","H53_EL_RM_vs_H53_EL_CM","X2176_EL_RM_vs_2176_EL_CM","H53_EL_RM_vs_2176_EL_RM","H53_EL_CM_vs_2176_EL_CM","H53_LL_RM_vs_H53_EL_CM","H26_Exponential_vs_H26_Stationary","H26_Exponential_vs_HVABI_Exponential","H26_Exponential_vs_HVLON3_Exponential","H26_Stationary_vs_HVABI_Stationary","H26_Stationary_vs_HVLON3_Stationary","H26_vs_DksgA","H26_vs_DksgA_KsgA","H26_vs_DksgA_ksgA_E84A"
"HVO_0058 [D4GYQ3] (dppF1) ABC-type transport system ATP-binding protein (probable substrate dipeptide/oligopeptide)<|>HVO_0627 [D4GSM3] (dppDF2) ABC-type transport system ATP-binding protein (probable substrate dipeptide/oligopeptide)<|>HVO_2444 [D4GT12] (dppF5) ABC-type transport system ATP-binding protein (probable substrate dipeptide/oligopeptide) (nonfunctional)",-0.344641137,-0.783235889,-0.286966642,0.518752924,-0.212411783,0.463024664,0.48382,0.142181844,0.167258592,0.761694492,NA,NA,NA,NA,NA,-0.355600006,-0.246004907,-0.652047048
"HVO_0059 [D4GYQ4] (dppD1) ABC-type transport system ATP-binding protein (probable substrate dipeptide/oligopeptide)",-0.523245576,-0.594608259,-0.337507195,0.281915899,-0.252413246,0.077069906,0.099183351,-0.011278341,0.021753876,0.647555013,-0.666044844563673,0.856371720647299,-0.419653285001002,1.29657679522958,0.678122197432406,-0.365911398,-0.875662022,-1.073645399
"HVO_0060 [D4GYQ5] (dppC1) ABC-type transport system permease protein (probable substrate dipeptide/oligopeptide)",-0.825724282,-0.783593036,-0.491322321,0.084133363,-0.286316061,0.056856991,0.202478516,-0.061913348,0.07284338,0.884616751,-0.690550740977234,1.33040762682,-0.0875964823663171,1.39568376291628,0.205480306732971,0.67876616,-0.290504328,-0.452388631
"HVO_0061 [D4GYQ6] (dppB1) ABC-type transport system permease protein (probable substrate dipeptide/oligopeptide)",-0.44065223,-0.761860736,-0.079492318,0.476646625,-0.270749864,0.419563155,0.030035188,-0.048570696,-0.285204341,0.849889052,-0.430717315111967,1.99617979863067,-0.209725587794656,2.43823781380599,1.05201229296383,0.453806102,-0.856449386,-0.719250022
"HVO_0062 [D4GYQ7] (dppA1) ABC-type transport system periplasmic substrate-binding protein (probable substrate dipeptide/oligopeptide)",0.989711028,0.997949044,1.370080019,0.180910162,-0.107504995,0.439565339,0.645518635,-0.16004217,0.09166632,-0.496621582,-1.54673963169067,0.505145471127721,-0.174192362752174,2.02031935642076,1.59460095439943,-0.107933485,-1.239727604,-1.458190459
"HVO_0064 [D4GYQ9] DUF296 family protein",0.076963439,0.483359778,0.694204423,-0.655045213,0.16834428,-0.331620466,0.153811046,-0.822014924,-0.341316042,-0.373695564,0.468400992258301,0.346453315100747,-0.187880369038577,0.556981049565354,-0.219309427008178,-0.7621086,0.055057743,-0.361426464
"HVO_0065 [D4GYR0] (polD2) DNA-directed DNA polymerase D large subunit",-1.239206445,-1.203853559,-0.775125734,0.164020139,-0.431553658,0.233385923,0.213109582,0.025770485,-0.03821788,1.44278812,0.126974775397243,0.298319920711681,-0.668986980720638,0.0338900774290866,0.222100554760685,-0.376770667,-0.219019702,-0.650124418
"HVO_0066 [D4GYR1] PQQ repeat protein",-1.54852336,-1.240838911,-1.270777142,-0.154976753,-0.332624606,2.40352635,0.949869142,0.039948447,0,2.955578542,0.0475741742904639,-3.82842430355795,1.48300885318181,12.5279622358759,-0.788968710686299,NA,NA,NA
"HVO_0067 [D4GYR2] small CPxCG-related zinc finger protein",0,0,0,0,0.492317145,0,0,0,0,-0.065339329,NA,NA,NA,NA,NA,-0.376137479,1.766120543,1.645807316
"HVO_0068 [D4GYR3] (panE) 2-dehydropantoate 2-reductase",0.866312141,0.644591087,0.210209344,-0.047090181,0.478596839,0.18601684,-0.140923452,0.203588042,-0.126939385,-0.668297088,7.15773900725959,1.01199958511938,-1.43037909097039,0,0,0.19399359,-0.637601139,-0.765390087
"HVO_0069 [D4GYR4] AlkP-core domain protein",-0.221372903,-0.027876881,0.041045193,-0.103155829,-0.03499947,-0.264364079,-0.135060785,-0.039075975,0.142909634,-0.090088289,3.16897542192932,2.00748489049536,2.06588247282115,-0.0192936899766223,0.224990858881306,-0.224242512,-0.1977091,-0.529424561
"HVO_0070 [D4GYR5] NifU C-terminal domain protein",-0.224038875,0.16954593,0.464825023,-0.258204403,-0.141695985,-0.288575122,0.521324152,-0.563896841,0.139810188,-0.129325316,0,0,0,0,0,-1.031268375,0.676285224,0.141009664
"HVO_0071 [D4GYR6] conserved hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.238951384,1.1133429,0.699623446
"HVO_0073 [D4GYR9] (recJ1) single-stranded-DNA-specific exonuclease RecJ1",-0.205637655,0.025856397,-0.20005491,-0.335815101,-0.03824976,-0.3626395,-0.246203479,0.02830267,0.13188084,-0.185953743,0.677706166448521,-2.04003962735677,0.436425513554268,-2.27877785384261,-3.52563798062328,0.237418387,0.319124236,0.388951786
"HVO_0074 [D4GYR8] polyphosphate-dependent ADP phosphorylase",0.826601006,1.322428127,0.82166524,0.24970988,-0.024304412,0.234692935,0.233178038,0.012249565,-0.03218626,-0.598057802,NA,NA,NA,NA,NA,NA,NA,NA
"HVO_0075 [D4GYS0] major facilitator superfamily transport protein",-0.76454203,-1.083456266,-0.562411612,0.528619456,-0.461926886,0.477952321,0.316653861,0.234010978,0.014264032,1.265684774,3.40210005986513,1.29132149336118,3.65254805883612,-1.43312815994876,-2.70872728813683,0.577580006,8.718452531,0.298697332
"HVO_0076 [D4GYS1] (hemD) uroporphyrinogen-III synthase",0,0,0,0,0,0,0,0,0,4.865082342,NA,NA,NA,NA,NA,-0.70292722,0.969675358,1.022648893
"HVO_0077 [D4GYS2] (sirA) uroporphyrin-III C-methyltransferase",-0.681884938,-0.17377871,-0.229011547,-0.609661186,0.455055699,-0.71444199,0.11351909,-0.741821784,-0.004184202,0.040066887,NA,NA,NA,NA,NA,-0.387242221,1.615133629,1.652303349
"HVO_0078 [D4GYS3] (hemC) hydroxymethylbilane synthase (porphobilinogen deaminase)",-0.202717958,-0.388823787,-0.240400666,0.228744034,-0.067165841,0.116160843,0.039012548,0.108571381,0.038229296,0.276466449,0.331068106795758,0.0236890584077885,0.105183904143134,-0.838337514009176,-0.545137620075044,-0.087821781,-0.490882742,-0.444579754
"HVO_0079 [D4GYS4] conserved hypothetical protein",0,0,0,0,3.661050373,0,0,0,2.385809012,0,NA,NA,NA,NA,NA,NA,NA,NA
"HVO_0081 [D4GYS6] (hemL) glutamate-1-semialdehyde 2,1-aminomutase",0.362276699,0.495029223,0.458030316,-0.237594589,-0.054898234,-0.147689325,-0.067522113,-0.079291965,0.039664677,-0.527478867,-0.100653180142175,-0.218885829004252,0.285421139217094,-0.0309443623304763,0.724324243839414,0.227055481,-0.828124213,-0.650866629
"HVO_0083 [D4GYS8] GlnK-type ammonia transport regulator",0.139917865,0.288299883,0.131737958,-0.288401946,0.103491481,-0.265422813,-0.222746809,-0.102354054,-0.016530387,-0.415775742,1.67618228887978,2.33695061392722,2.0143569371344,1.83568816606385,2.96969191766382,-0.293958441,0.312316335,0.252907504
"HVO_0083 [D4GYS8] GlnK-type ammonia transport regulator<|>HVO_0085 [D4GYT0] GlnK-type ammonia transport regulator",-0.05658405,0.388254186,-0.082346889,-0.126258376,-0.028850944,-0.221257692,0.146666684,0.094088854,0.433294697,-0.189152515,-0.408669193389612,-0.0406405170451162,0.0731069476549839,1.05472894844537,2.96843966716682,0.946721038,1.232020874,-0.612289252
"HVO_0084 [D4GYS9] (amt1) transport protein (probable substrate ammonium)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.25125605831092,-0.451955717425588,1.53551484184701,1.93920898907164,5.84086637884305,NA,NA,NA
"HVO_0085 [D4GYT0] GlnK-type ammonia transport regulator",-0.902263585,-1.29859772,-1.144046129,0.541112266,-0.099112411,0.208230214,-0.005844721,0.37556031,0.156379146,1.094780354,1.32122257711396,1.06870794474899,13.207037452834,12.2950142322953,17.4539728109523,0.462498046,1.117673042,0.240995429
"HVO_0086 [D4GYT1] (amt2) transport protein (probable substrate ammonium)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA
"HVO_0087 [D4GYT2] (hemB) porphobilinogen synthase",-0.433638013,0.004003524,0.052921488,-0.352018246,-0.101594594,-0.484834284,0.022905102,-0.349037865,0.123566753,-0.136076694,0.0414362842764617,0.335378645495354,-0.131900098300398,0.129982539396277,0.0362997050303816,-0.666012856,-0.235912827,-0.213687447
"HVO_0090 [D4GYT5] conserved hypothetical protein",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,-0.589971821,1.688607121,1.543610673
"HVO_0091 [D4GYT6] PHP domain protein",0.770352702,0,0.87364314,2.2702676,0.317592527,2.268965419,0.110455163,-0.712471466,0,-1.143710273,NA,NA,NA,NA,NA,-0.151318842,0.625695004,0.364777435
"HVO_0092 [D4GYT7] conserved hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.808361545,-0.577835465,-1.296848091
"HVO_0093 [D4GYT8] conserved hypothetical protein",-0.188763184,-0.187856295,-0.243618195,-0.101427929,0.088741966,-0.264030571,-0.106430382,-0.044347519,-0.038550099,-0.069755164,NA,NA,NA,NA,NA,0.610015749,-2.159291256,-1.886821385
"HVO_0096 [D4GYU1] arNOG08307 family NADH-binding domain protein",0,0,0,0,-0.017836058,0,0,0,0,0.437664733,-0.799529528124173,-1.98669096659146,-1.534503887767,-0.701905141808783,1.57377705110187,NA,NA,NA
"HVO_0097 [D4GYU2] conserved hypothetical protein",0,0,0,0,0.122376787,0,0,0,0,-0.213758117,NA,NA,NA,NA,NA,-0.317050002,0.697106051,0.624619201
"HVO_0098 [D4GYU3] small CPxCG-related zinc finger protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.562242518,1.207421398,1.112299219
"HVO_0099 [D4GYU4] helicase domain protein",0.072305075,0.196795104,-0.03447696,-0.316978134,-0.328495603,0.209547251,0.296711185,0.064432471,0.318702205,0.110925626,11.1755600414215,0.237410460917053,1.05440999588863,0,0,0.130341737,-0.444606263,-0.28790576
"HVO_0099A [D4GYU5] conserved hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.099182359,0.800501361,0.20912714
"HVO_0100 [D4GYU6] NMD3 family protein",-0.535989399,-0.64712808,-0.728333669,0.081836656,0.032948823,-0.047133433,-0.090218926,0.050009007,-0.019964542,0.509349799,0.284554604980738,-1.08172748288759,-0.158218487161901,-3.02140586337896,-2.1616460261221,-0.073396536,0.890939785,0.772687392
"HVO_0101 [D4GYU7] (gptA1) probable phosphoribosyltransferase",1.304055186,1.345870468,0.683332731,-0.310584726,0.366099357,-0.090887412,-0.122888412,0.199539465,0.235450742,-1.268030988,0,0,0,0,0,-0.326739881,0.564194802,0.24599983
